game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020004,2022-10-11,LAK,VGK,home,3,4,30,51,L,3,4,1,0,1,0,0,3,4,30,51,3.0,4.0,30.0,51.0,0.0
2022020020,2022-10-13,LAK,SEA,home,1,4,27,22,L,1,4,2,0,2,0,0,4,8,57,73,2.0,4.0,28.5,36.5,0.0
2022020034,2022-10-15,LAK,MIN,away,7,6,34,35,W,7,6,3,1,2,0,2,11,14,91,108,3.67,4.67,30.33,36.0,0.333
2022020044,2022-10-17,LAK,DET,away,5,4,36,33,W,5,4,4,2,2,0,4,16,18,127,141,4.0,4.5,31.75,35.25,0.5
2022020052,2022-10-18,LAK,NSH,away,4,3,35,32,W,4,3,5,3,2,0,6,20,21,162,173,4.0,4.2,32.4,34.6,0.6
2022020062,2022-10-20,LAK,PIT,away,1,6,40,34,L,1,6,6,3,3,0,6,21,27,202,207,3.5,4.5,33.67,34.5,0.5
2022020079,2022-10-22,LAK,WSH,away,3,4,26,32,L,3,4,7,3,4,0,6,24,31,228,239,3.43,4.43,32.57,34.14,0.429
2022020106,2022-10-25,LAK,TBL,home,4,2,33,25,W,4,2,8,4,4,0,8,28,33,261,264,3.5,4.12,32.62,33.0,0.5
2022020120,2022-10-27,LAK,WPG,home,4,6,44,19,L,4,6,9,4,5,0,8,32,39,305,283,3.56,4.33,33.89,31.44,0.444
2022020134,2022-10-29,LAK,TOR,home,4,2,29,28,W,4,2,10,5,5,0,10,36,41,334,311,3.6,4.1,33.4,31.1,0.5
2022020146,2022-10-31,LAK,STL,away,5,1,30,28,W,5,1,11,6,5,0,12,41,42,364,339,3.73,3.82,33.09,30.82,0.545
2022020153,2022-11-01,LAK,DAL,away,2,5,32,40,L,2,5,12,6,6,0,12,43,47,396,379,3.58,3.92,33.0,31.58,0.5
2022020168,2022-11-03,LAK,CHI,away,1,2,33,19,L,1,2,13,6,7,0,12,44,49,429,398,3.38,3.77,33.0,30.62,0.462
2022020189,2022-11-05,LAK,FLA,home,5,4,39,38,W,5,4,14,7,7,0,14,49,53,468,436,3.5,3.79,33.43,31.14,0.5
2022020206,2022-11-08,LAK,MIN,home,1,0,30,21,W,1,0,15,8,7,0,16,50,53,498,457,3.33,3.53,33.2,30.47,0.533
2022020220,2022-11-10,LAK,CHI,home,2,1,35,32,W,2,1,16,9,7,0,18,52,54,533,489,3.25,3.38,33.31,30.56,0.562
2022020237,2022-11-12,LAK,DET,home,4,3,21,21,W,4,3,17,10,7,0,20,56,57,554,510,3.29,3.35,32.59,30.0,0.588
2022020246,2022-11-14,LAK,CGY,away,5,6,29,30,L,5,6,18,10,8,0,20,61,63,583,540,3.39,3.5,32.39,30.0,0.556
2022020259,2022-11-16,LAK,EDM,away,3,1,32,23,W,3,1,19,11,8,0,22,64,64,615,563,3.37,3.37,32.37,29.63,0.579
2022020273,2022-11-18,LAK,VAN,away,1,4,38,25,L,1,4,20,11,9,0,22,65,68,653,588,3.25,3.4,32.65,29.4,0.55
2022020286,2022-11-19,LAK,SEA,away,2,3,29,29,L,2,3,21,11,10,0,22,67,71,682,617,3.19,3.38,32.48,29.38,0.524
2022020302,2022-11-22,LAK,NYR,home,3,5,38,25,L,3,5,22,11,11,0,22,70,76,720,642,3.18,3.45,32.73,29.18,0.5
2022020331,2022-11-25,LAK,SJS,away,5,2,29,31,W,5,2,23,12,11,0,24,75,78,749,673,3.26,3.39,32.57,29.26,0.522
2022020345,2022-11-27,LAK,OTT,home,2,3,27,39,L,2,3,24,12,12,0,24,77,81,776,712,3.21,3.38,32.33,29.67,0.5
2022020360,2022-11-29,LAK,SEA,home,8,9,35,30,L,8,9,25,12,13,0,24,85,90,811,742,3.4,3.6,32.44,29.68,0.48
2023020008,2023-10-11,LAK,COL,home,2,5,36,37,L,2,5,26,12,14,0,24,87,95,847,779,3.35,3.65,32.58,29.96,0.462
2023020032,2023-10-14,LAK,CAR,home,5,6,30,19,L,5,6,27,12,15,0,24,92,101,877,798,3.41,3.74,32.48,29.56,0.444
2023020045,2023-10-17,LAK,WPG,away,5,1,29,27,W,5,1,28,13,15,0,26,97,102,906,825,3.46,3.64,32.36,29.46,0.464
2023020056,2023-10-19,LAK,MIN,away,7,3,27,32,W,7,3,29,14,15,0,28,104,105,933,857,3.59,3.62,32.17,29.55,0.483
2023020079,2023-10-21,LAK,BOS,home,2,4,34,25,L,2,4,30,14,16,0,28,106,109,967,882,3.53,3.63,32.23,29.4,0.467
2023020097,2023-10-24,LAK,ARI,home,6,3,28,27,W,6,3,31,15,16,0,30,112,112,995,909,3.61,3.61,32.1,29.32,0.484
2023020115,2023-10-27,LAK,ARI,away,5,4,41,24,W,5,4,32,16,16,0,32,117,116,1036,933,3.66,3.62,32.38,29.16,0.5
2023020125,2023-10-28,LAK,VGK,home,3,4,40,30,L,3,4,33,16,17,0,32,120,120,1076,963,3.64,3.64,32.61,29.18,0.485
2023020139,2023-10-31,LAK,TOR,away,4,1,27,30,W,4,1,34,17,17,0,34,124,121,1103,993,3.65,3.56,32.44,29.21,0.5
2023020149,2023-11-02,LAK,OTT,away,3,2,38,26,W,3,2,35,18,17,0,36,127,123,1141,1019,3.63,3.51,32.6,29.11,0.514
2023020163,2023-11-04,LAK,PHI,away,5,0,30,24,W,5,0,36,19,17,0,38,132,123,1171,1043,3.67,3.42,32.53,28.97,0.528
2023020192,2023-11-08,LAK,VGK,away,4,1,33,38,W,4,1,37,20,17,0,40,136,124,1204,1081,3.68,3.35,32.54,29.22,0.541
2023020202,2023-11-09,LAK,PIT,home,3,4,36,20,L,3,4,38,20,18,0,40,139,128,1240,1101,3.66,3.37,32.63,28.97,0.526
2023020221,2023-11-11,LAK,PHI,home,2,4,37,26,L,2,4,39,20,19,0,40,141,132,1277,1127,3.62,3.38,32.74,28.9,0.513
2023020249,2023-11-16,LAK,FLA,home,2,1,27,31,W,2,1,40,21,19,0,42,143,133,1304,1158,3.58,3.32,32.6,28.95,0.525
2023020266,2023-11-18,LAK,STL,home,5,1,31,30,W,5,1,41,22,19,0,44,148,134,1335,1188,3.61,3.27,32.56,28.98,0.537
2023020276,2023-11-20,LAK,ARI,away,4,1,25,31,W,4,1,42,23,19,0,46,152,135,1360,1219,3.62,3.21,32.38,29.02,0.548
2023020299,2023-11-24,LAK,ANA,away,5,2,31,31,W,5,2,43,24,19,0,48,157,137,1391,1250,3.65,3.19,32.35,29.07,0.558
2023020309,2023-11-25,LAK,MTL,home,4,0,30,18,W,4,0,44,25,19,0,50,161,137,1421,1268,3.66,3.11,32.3,28.82,0.568
2023020339,2023-11-29,LAK,WSH,home,1,2,39,15,L,1,2,45,25,20,0,50,162,139,1460,1283,3.6,3.09,32.44,28.51,0.556
2023020373,2023-12-03,LAK,COL,home,4,1,38,21,W,4,1,46,26,20,0,52,166,140,1498,1304,3.61,3.04,32.57,28.35,0.565
2023020381,2023-12-05,LAK,CBJ,away,4,3,39,29,W,4,3,47,27,20,0,54,170,143,1537,1333,3.62,3.04,32.7,28.36,0.574
2023020394,2023-12-07,LAK,MTL,away,4,0,42,24,W,4,0,48,28,20,0,56,174,143,1579,1357,3.62,2.98,32.9,28.27,0.583
2023020415,2023-12-09,LAK,NYI,away,2,3,35,30,L,2,3,49,28,21,0,56,176,146,1614,1387,3.59,2.98,32.94,28.31,0.571
2023020424,2023-12-10,LAK,NYR,away,1,4,26,27,L,1,4,50,28,22,0,56,177,150,1640,1414,3.54,3.0,32.8,28.28,0.56
2023020446,2023-12-13,LAK,WPG,home,2,5,34,29,L,2,5,51,28,23,0,56,179,155,1674,1443,3.51,3.04,32.82,28.29,0.549
2023020473,2023-12-16,LAK,SEA,away,3,2,38,19,W,3,2,52,29,23,0,58,182,157,1712,1462,3.5,3.02,32.92,28.12,0.558
2023020494,2023-12-19,LAK,SJS,away,4,1,39,16,W,4,1,53,30,23,0,60,186,158,1751,1478,3.51,2.98,33.04,27.89,0.566
2023020497,2023-12-20,LAK,SEA,home,1,2,43,30,L,1,2,54,30,24,0,60,187,160,1794,1508,3.46,2.96,33.22,27.93,0.556
2023020526,2023-12-23,LAK,CGY,home,5,3,34,32,W,5,3,55,31,24,0,62,192,163,1828,1540,3.49,2.96,33.24,28.0,0.564
2023020541,2023-12-27,LAK,SJS,home,5,1,43,25,W,5,1,56,32,24,0,64,197,164,1871,1565,3.52,2.93,33.41,27.95,0.571
2023020544,2023-12-28,LAK,VGK,away,2,3,34,32,L,2,3,57,32,25,0,64,199,167,1905,1597,3.49,2.93,33.42,28.02,0.561
2023020563,2023-12-30,LAK,EDM,home,2,3,28,26,L,2,3,58,32,26,0,64,201,170,1933,1623,3.47,2.93,33.33,27.98,0.552
2023020585,2024-01-02,LAK,TOR,home,0,3,31,29,L,0,3,59,32,27,0,64,201,173,1964,1652,3.41,2.93,33.29,28.0,0.542
2023020600,2024-01-04,LAK,DET,home,3,4,43,27,L,3,4,60,32,28,0,64,204,177,2007,1679,3.4,2.95,33.45,27.98,0.533
2023020618,2024-01-07,LAK,WSH,away,3,4,41,34,L,3,4,61,32,29,0,64,207,181,2048,1713,3.39,2.97,33.57,28.08,0.525
2023020626,2024-01-09,LAK,TBL,away,2,3,22,29,L,2,3,62,32,30,0,64,209,184,2070,1742,3.37,2.97,33.39,28.1,0.516
2023020641,2024-01-11,LAK,FLA,away,2,3,33,41,L,2,3,63,32,31,0,64,211,187,2103,1783,3.35,2.97,33.38,28.3,0.508
2023020659,2024-01-13,LAK,DET,away,3,5,36,30,L,3,5,64,32,32,0,64,214,192,2139,1813,3.34,3.0,33.42,28.33,0.5
2023020675,2024-01-15,LAK,CAR,away,5,2,26,32,W,5,2,65,33,32,0,66,219,194,2165,1845,3.37,2.98,33.31,28.38,0.508
2023020684,2024-01-16,LAK,DAL,away,1,5,32,28,L,1,5,66,33,33,0,66,220,199,2197,1873,3.33,3.02,33.29,28.38,0.5
2023020699,2024-01-18,LAK,NSH,home,1,2,34,33,L,1,2,67,33,34,0,66,221,201,2231,1906,3.3,3.0,33.3,28.45,0.493
2023020717,2024-01-20,LAK,NYR,home,2,1,26,23,W,2,1,68,34,34,0,68,223,202,2257,1929,3.28,2.97,33.19,28.37,0.5
2023020729,2024-01-22,LAK,SJS,home,3,4,47,27,L,3,4,69,34,35,0,68,226,206,2304,1956,3.28,2.99,33.39,28.35,0.493
2023020745,2024-01-24,LAK,BUF,home,3,5,40,37,L,3,5,70,34,36,0,68,229,211,2344,1993,3.27,3.01,33.49,28.47,0.486
2023020757,2024-01-26,LAK,COL,away,1,5,27,31,L,1,5,71,34,37,0,68,230,216,2371,2024,3.24,3.04,33.39,28.51,0.479
2023020773,2024-01-28,LAK,STL,away,3,4,33,32,L,3,4,72,34,38,0,68,233,220,2404,2056,3.24,3.06,33.39,28.56,0.472
2023020779,2024-01-31,LAK,NSH,away,4,2,24,42,W,4,2,73,35,38,0,70,237,222,2428,2098,3.25,3.04,33.26,28.74,0.479
