team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kraken,Maple Leafs,home,D,Will Borgen D,19:10,0,0,-2,0,0,0,0,1,0/0
Kraken,Maple Leafs,home,D,Ryker Evans D,25:31,0,1,-1,1,4,0,0,0,0/0
Kraken,Maple Leafs,home,D,Cale Fleury D,11:47,0,0,0,1,2,0,2,1,0/0
Kraken,Maple Leafs,home,D,Adam Larsson D,21:39,0,0,-1,1,2,2,0,0,0/0
Kraken,Maple Leafs,home,D,Joshua Mahura D,13:03,0,0,0,1,0,0,1,0,0/0
Kraken,Maple Leafs,home,D,Jamie Oleksiak D,20:01,0,0,-2,2,2,0,0,3,0/0
Kraken,Maple Leafs,home,D,Will Borgen D,19:10,0,0,-2,0,0,0,0,1,0/0
Kraken,Maple Leafs,home,D,Ryker Evans D,25:31,0,1,-1,1,4,0,0,0,0/0
Kraken,Maple Leafs,home,D,Cale Fleury D,11:47,0,0,0,1,2,0,2,1,0/0
Kraken,Maple Leafs,home,D,Adam Larsson D,21:39,0,0,-1,1,2,2,0,0,0/0
Kraken,Maple Leafs,home,D,Joshua Mahura D,13:03,0,0,0,1,0,0,1,0,0/0
Kraken,Maple Leafs,home,D,Jamie Oleksiak D,20:01,0,0,-2,2,2,0,0,3,0/0
Kraken,Maple Leafs,home,F,Matty Beniers C,16:55,0,1,0,1,1,2,0,0,3/16
Kraken,Maple Leafs,home,F,Oliver Bjorkstrand R,16:46,0,0,-1,4,2,0,1,3,0/0
Kraken,Maple Leafs,home,F,Andre Burakovsky L,13:30,0,0,-2,0,1,0,0,1,1/1
Kraken,Maple Leafs,home,F,Jordan Eberle R,17:59,0,0,-2,2,1,0,0,0,0/0
Kraken,Maple Leafs,home,F,Yanni Gourde C,15:19,0,0,-1,0,3,0,0,0,6/12
Kraken,Maple Leafs,home,F,Tye Kartye L,10:44,0,0,0,1,0,0,0,1,0/1
Kraken,Maple Leafs,home,F,Jared McCann L,18:37,0,0,-2,5,0,0,0,1,0/1
Kraken,Maple Leafs,home,F,Jaden Schwartz C,17:49,0,0,0,2,1,0,1,1,0/0
Kraken,Maple Leafs,home,F,Chandler Stephenson C,18:31,0,0,-2,1,0,0,0,1,11/19
Kraken,Maple Leafs,home,F,Brandon Tanev L,14:20,0,0,0,0,2,0,0,0,0/0
Kraken,Maple Leafs,home,F,Eeli Tolvanen R,14:43,1,0,0,2,1,0,0,0,0/0
Kraken,Maple Leafs,home,F,Shane Wright C,13:09,0,0,1,1,1,0,0,5,3/4
Kraken,Maple Leafs,home,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Maple Leafs,home,F,Will Borgen D,19:10,0,0,-2,0,0,0,0,1,0/0
Kraken,Maple Leafs,home,F,Ryker Evans D,25:31,0,1,-1,1,4,0,0,0,0/0
Kraken,Maple Leafs,home,F,Cale Fleury D,11:47,0,0,0,1,2,0,2,1,0/0
Kraken,Maple Leafs,home,F,Adam Larsson D,21:39,0,0,-1,1,2,2,0,0,0/0
Kraken,Maple Leafs,home,F,Joshua Mahura D,13:03,0,0,0,1,0,0,1,0,0/0
Kraken,Maple Leafs,home,F,Jamie Oleksiak D,20:01,0,0,-2,2,2,0,0,3,0/0
Kraken,Maple Leafs,home,F,Matty Beniers C,16:55,0,1,0,1,1,2,0,0,3/16
Kraken,Maple Leafs,home,F,Oliver Bjorkstrand R,16:46,0,0,-1,4,2,0,1,3,0/0
Kraken,Maple Leafs,home,F,Andre Burakovsky L,13:30,0,0,-2,0,1,0,0,1,1/1
Kraken,Maple Leafs,home,F,Jordan Eberle R,17:59,0,0,-2,2,1,0,0,0,0/0
Kraken,Maple Leafs,home,F,Yanni Gourde C,15:19,0,0,-1,0,3,0,0,0,6/12
Kraken,Maple Leafs,home,F,Tye Kartye L,10:44,0,0,0,1,0,0,0,1,0/1
Kraken,Maple Leafs,home,F,Jared McCann L,18:37,0,0,-2,5,0,0,0,1,0/1
Kraken,Maple Leafs,home,F,Jaden Schwartz C,17:49,0,0,0,2,1,0,1,1,0/0
Kraken,Maple Leafs,home,F,Chandler Stephenson C,18:31,0,0,-2,1,0,0,0,1,11/19
Kraken,Maple Leafs,home,F,Brandon Tanev L,14:20,0,0,0,0,2,0,0,0,0/0
Kraken,Maple Leafs,home,F,Eeli Tolvanen R,14:43,1,0,0,2,1,0,0,0,0/0
Kraken,Maple Leafs,home,F,Shane Wright C,13:09,0,0,1,1,1,0,0,5,3/4
Kraken,Maple Leafs,home,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Maple Leafs,home,F,Will Borgen D,19:10,0,0,-2,0,0,0,0,1,0/0
Kraken,Maple Leafs,home,F,Ryker Evans D,25:31,0,1,-1,1,4,0,0,0,0/0
Kraken,Maple Leafs,home,F,Cale Fleury D,11:47,0,0,0,1,2,0,2,1,0/0
Kraken,Maple Leafs,home,F,Adam Larsson D,21:39,0,0,-1,1,2,2,0,0,0/0
Kraken,Maple Leafs,home,F,Joshua Mahura D,13:03,0,0,0,1,0,0,1,0,0/0
Kraken,Maple Leafs,home,F,Jamie Oleksiak D,20:01,0,0,-2,2,2,0,0,3,0/0
