team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kraken,Blackhawks,away,D,Will Borgen D,15:20,0,0,0,0,0,0,0,0,0/0
Kraken,Blackhawks,away,D,Ryker Evans D,24:33,0,1,0,1,2,0,0,1,0/0
Kraken,Blackhawks,away,D,Adam Larsson D,22:48,0,0,1,2,0,2,1,1,0/0
Kraken,Blackhawks,away,D,Joshua Mahura D,13:28,0,0,0,0,1,0,0,0,0/0
Kraken,Blackhawks,away,D,Brandon Montour D,22:01,0,0,0,3,1,0,1,0,0/0
Kraken,Blackhawks,away,D,Jamie Oleksiak D,18:09,0,0,1,0,1,0,0,1,0/0
Kraken,Blackhawks,away,D,Will Borgen D,15:20,0,0,0,0,0,0,0,0,0/0
Kraken,Blackhawks,away,D,Ryker Evans D,24:33,0,1,0,1,2,0,0,1,0/0
Kraken,Blackhawks,away,D,Adam Larsson D,22:48,0,0,1,2,0,2,1,1,0/0
Kraken,Blackhawks,away,D,Joshua Mahura D,13:28,0,0,0,0,1,0,0,0,0/0
Kraken,Blackhawks,away,D,Brandon Montour D,22:01,0,0,0,3,1,0,1,0,0/0
Kraken,Blackhawks,away,D,Jamie Oleksiak D,18:09,0,0,1,0,1,0,0,1,0/0
Kraken,Blackhawks,away,F,Matty Beniers C,19:21,1,0,1,3,0,0,1,0,9/19
Kraken,Blackhawks,away,F,Oliver Bjorkstrand R,18:27,0,1,0,1,1,0,0,0,0/0
Kraken,Blackhawks,away,F,Andre Burakovsky L,12:05,0,0,0,1,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Jordan Eberle R,06:22,0,0,0,2,0,0,1,1,0/0
Kraken,Blackhawks,away,F,Yanni Gourde C,16:03,0,0,-1,1,1,0,1,0,4/8
Kraken,Blackhawks,away,F,Tye Kartye L,09:31,0,0,-1,1,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Jared McCann L,19:10,0,1,2,1,2,0,1,2,0/0
Kraken,Blackhawks,away,F,Jaden Schwartz C,19:22,1,0,0,3,1,0,0,0,0/1
Kraken,Blackhawks,away,F,Chandler Stephenson C,20:15,0,1,1,2,0,0,0,0,7/12
Kraken,Blackhawks,away,F,Brandon Tanev L,16:22,1,0,1,2,2,0,2,0,1/3
Kraken,Blackhawks,away,F,Eeli Tolvanen R,13:49,0,0,0,2,0,0,0,2,0/0
Kraken,Blackhawks,away,F,Shane Wright C,10:54,0,0,0,1,0,0,0,0,8/13
Kraken,Blackhawks,away,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Blackhawks,away,F,Will Borgen D,15:20,0,0,0,0,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Ryker Evans D,24:33,0,1,0,1,2,0,0,1,0/0
Kraken,Blackhawks,away,F,Adam Larsson D,22:48,0,0,1,2,0,2,1,1,0/0
Kraken,Blackhawks,away,F,Joshua Mahura D,13:28,0,0,0,0,1,0,0,0,0/0
Kraken,Blackhawks,away,F,Brandon Montour D,22:01,0,0,0,3,1,0,1,0,0/0
Kraken,Blackhawks,away,F,Jamie Oleksiak D,18:09,0,0,1,0,1,0,0,1,0/0
Kraken,Blackhawks,away,F,Matty Beniers C,19:21,1,0,1,3,0,0,1,0,9/19
Kraken,Blackhawks,away,F,Oliver Bjorkstrand R,18:27,0,1,0,1,1,0,0,0,0/0
Kraken,Blackhawks,away,F,Andre Burakovsky L,12:05,0,0,0,1,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Jordan Eberle R,06:22,0,0,0,2,0,0,1,1,0/0
Kraken,Blackhawks,away,F,Yanni Gourde C,16:03,0,0,-1,1,1,0,1,0,4/8
Kraken,Blackhawks,away,F,Tye Kartye L,09:31,0,0,-1,1,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Jared McCann L,19:10,0,1,2,1,2,0,1,2,0/0
Kraken,Blackhawks,away,F,Jaden Schwartz C,19:22,1,0,0,3,1,0,0,0,0/1
Kraken,Blackhawks,away,F,Chandler Stephenson C,20:15,0,1,1,2,0,0,0,0,7/12
Kraken,Blackhawks,away,F,Brandon Tanev L,16:22,1,0,1,2,2,0,2,0,1/3
Kraken,Blackhawks,away,F,Eeli Tolvanen R,13:49,0,0,0,2,0,0,0,2,0/0
Kraken,Blackhawks,away,F,Shane Wright C,10:54,0,0,0,1,0,0,0,0,8/13
Kraken,Blackhawks,away,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Blackhawks,away,F,Will Borgen D,15:20,0,0,0,0,0,0,0,0,0/0
Kraken,Blackhawks,away,F,Ryker Evans D,24:33,0,1,0,1,2,0,0,1,0/0
Kraken,Blackhawks,away,F,Adam Larsson D,22:48,0,0,1,2,0,2,1,1,0/0
Kraken,Blackhawks,away,F,Joshua Mahura D,13:28,0,0,0,0,1,0,0,0,0/0
Kraken,Blackhawks,away,F,Brandon Montour D,22:01,0,0,0,3,1,0,1,0,0/0
Kraken,Blackhawks,away,F,Jamie Oleksiak D,18:09,0,0,1,0,1,0,0,1,0/0
