team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Kraken,Islanders,away,D,Will Borgen D,12:58,0,0,0,1,1,0,0,0,0/0
Kraken,Islanders,away,D,Ryker Evans D,22:15,0,1,0,0,1,0,0,0,0/0
Kraken,Islanders,away,D,Adam Larsson D,20:09,0,0,2,1,1,0,1,0,0/0
Kraken,Islanders,away,D,Joshua Mahura D,12:11,0,0,0,0,0,0,0,0,0/0
Kraken,Islanders,away,D,Brandon Montour D,25:51,0,0,0,5,0,0,0,1,0/0
Kraken,Islanders,away,D,Jamie Oleksiak D,20:54,1,0,1,2,1,0,1,1,0/0
Kraken,Islanders,away,D,Will Borgen D,12:58,0,0,0,1,1,0,0,0,0/0
Kraken,Islanders,away,D,Ryker Evans D,22:15,0,1,0,0,1,0,0,0,0/0
Kraken,Islanders,away,D,Adam Larsson D,20:09,0,0,2,1,1,0,1,0,0/0
Kraken,Islanders,away,D,Joshua Mahura D,12:11,0,0,0,0,0,0,0,0,0/0
Kraken,Islanders,away,D,Brandon Montour D,25:51,0,0,0,5,0,0,0,1,0/0
Kraken,Islanders,away,D,Jamie Oleksiak D,20:54,1,0,1,2,1,0,1,1,0/0
Kraken,Islanders,away,F,Matty Beniers C,16:07,0,0,0,2,0,0,0,0,5/17
Kraken,Islanders,away,F,Oliver Bjorkstrand R,20:08,0,0,-1,2,0,0,0,1,0/0
Kraken,Islanders,away,F,Andre Burakovsky L,16:47,0,1,0,3,0,0,0,0,0/0
Kraken,Islanders,away,F,Yanni Gourde C,15:51,1,1,2,2,0,0,0,0,10/18
Kraken,Islanders,away,F,Tye Kartye L,11:07,0,1,2,1,0,0,0,0,0/0
Kraken,Islanders,away,F,Jared McCann L,17:43,1,0,1,2,0,0,0,1,0/0
Kraken,Islanders,away,F,Jaden Schwartz C,21:40,0,0,-1,6,2,2,0,1,0/1
Kraken,Islanders,away,F,Daniel Sprong R,10:55,0,0,-1,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Chandler Stephenson C,20:00,0,0,-1,0,0,0,2,0,6/13
Kraken,Islanders,away,F,Brandon Tanev L,14:10,0,2,2,0,0,0,0,2,1/1
Kraken,Islanders,away,F,Eeli Tolvanen R,10:40,0,0,-1,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Shane Wright C,08:34,0,0,0,0,2,0,0,0,2/7
Kraken,Islanders,away,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Islanders,away,F,Will Borgen D,12:58,0,0,0,1,1,0,0,0,0/0
Kraken,Islanders,away,F,Ryker Evans D,22:15,0,1,0,0,1,0,0,0,0/0
Kraken,Islanders,away,F,Adam Larsson D,20:09,0,0,2,1,1,0,1,0,0/0
Kraken,Islanders,away,F,Joshua Mahura D,12:11,0,0,0,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Brandon Montour D,25:51,0,0,0,5,0,0,0,1,0/0
Kraken,Islanders,away,F,Jamie Oleksiak D,20:54,1,0,1,2,1,0,1,1,0/0
Kraken,Islanders,away,F,Matty Beniers C,16:07,0,0,0,2,0,0,0,0,5/17
Kraken,Islanders,away,F,Oliver Bjorkstrand R,20:08,0,0,-1,2,0,0,0,1,0/0
Kraken,Islanders,away,F,Andre Burakovsky L,16:47,0,1,0,3,0,0,0,0,0/0
Kraken,Islanders,away,F,Yanni Gourde C,15:51,1,1,2,2,0,0,0,0,10/18
Kraken,Islanders,away,F,Tye Kartye L,11:07,0,1,2,1,0,0,0,0,0/0
Kraken,Islanders,away,F,Jared McCann L,17:43,1,0,1,2,0,0,0,1,0/0
Kraken,Islanders,away,F,Jaden Schwartz C,21:40,0,0,-1,6,2,2,0,1,0/1
Kraken,Islanders,away,F,Daniel Sprong R,10:55,0,0,-1,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Chandler Stephenson C,20:00,0,0,-1,0,0,0,2,0,6/13
Kraken,Islanders,away,F,Brandon Tanev L,14:10,0,2,2,0,0,0,0,2,1/1
Kraken,Islanders,away,F,Eeli Tolvanen R,10:40,0,0,-1,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Shane Wright C,08:34,0,0,0,0,2,0,0,0,2/7
Kraken,Islanders,away,F,Kraken Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOWill
Kraken,Islanders,away,F,Will Borgen D,12:58,0,0,0,1,1,0,0,0,0/0
Kraken,Islanders,away,F,Ryker Evans D,22:15,0,1,0,0,1,0,0,0,0/0
Kraken,Islanders,away,F,Adam Larsson D,20:09,0,0,2,1,1,0,1,0,0/0
Kraken,Islanders,away,F,Joshua Mahura D,12:11,0,0,0,0,0,0,0,0,0/0
Kraken,Islanders,away,F,Brandon Montour D,25:51,0,0,0,5,0,0,0,1,0/0
Kraken,Islanders,away,F,Jamie Oleksiak D,20:54,1,0,1,2,1,0,1,1,0/0
