,,,,,,,,,Team,Team,Team,Team,Team,,Opponent,Opponent,Opponent,Opponent,Opponent,,Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength),Advanced (at Even Strength)
GP,Date,,Opponent,GF,GA,,,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,,CF,CA,CF%,FF,FA,FF%,FOW,FOL,FO%,oZS%,PDO
1,2024-10-08,,St. Louis Blues,2,3,L,,,32,13,0,1,0,,25,11,1,2,0,,66,53,55.5,46,38,54.8,29,35,45.3,50.0,98.0
2,2024-10-12,@,Minnesota Wild,5,4,W,SO,,34,4,1,2,0,,38,4,1,2,0,,49,52,48.5,39,37,51.3,28,27,50.9,34.5,101.3
3,2024-10-13,@,Dallas Stars,0,2,L,,,25,8,0,4,0,,23,10,0,3,0,,51,40,56.0,38,28,57.6,18,22,45.0,58.4,90.0
4,2024-10-15,@,Nashville Predators,7,3,W,,,35,6,0,2,0,,33,6,0,2,0,,43,48,47.3,37,32,53.6,19,31,38.0,40.2,112.5
5,2024-10-17,,Philadelphia Flyers,6,4,W,,,29,17,1,5,0,,25,19,1,4,0,,50,51,49.5,34,35,49.3,17,28,37.8,50.0,109.5
6,2024-10-19,,Calgary Flames,2,1,W,OT,,23,6,1,6,0,,22,12,1,3,0,,45,47,48.9,30,38,44.1,29,21,58.0,71.3,105.3
7,2024-10-22,,Colorado Avalanche,2,3,L,,,27,6,1,1,0,,28,2,1,3,0,,63,51,55.3,38,36,51.4,31,17,64.6,52.9,96.7
8,2024-10-24,,Winnipeg Jets,3,4,L,OT,,32,2,0,2,0,,36,4,0,1,0,,55,50,52.4,42,35,54.5,32,36,47.1,41.2,97.9
9,2024-10-26,,Carolina Hurricanes,1,4,L,,,19,12,0,3,0,,39,6,1,6,0,,20,66,23.3,15,46,24.6,20,21,48.8,37.5,95.5
10,2024-10-29,@,Montreal Canadiens,8,2,W,,,23,12,3,6,0,,30,26,0,4,0,,34,52,39.5,22,38,36.7,27,21,56.3,40.0,124.6
11,2024-10-31,@,Toronto Maple Leafs,1,4,L,,,25,4,0,3,0,,30,6,0,2,0,,45,55,45.0,32,34,48.5,22,26,45.8,26.1,89.2
12,2024-11-02,@,Ottawa Senators,0,3,L,,,22,6,0,4,0,,23,8,0,3,0,,46,37,55.4,32,24,57.1,15,20,42.9,75.4,81.3
13,2024-11-03,@,Boston Bruins,0,2,L,,,23,15,0,3,0,,33,11,1,5,0,,49,50,49.5,29,40,42.0,16,25,39.0,61.3,95.8
14,2024-11-05,@,Colorado Avalanche,3,6,L,,,20,20,1,3,0,,32,6,3,5,0,,49,40,55.1,27,27,50.0,18,14,56.3,55.8,96.7
15,2024-11-08,,Vegas Golden Knights,4,3,W,OT,,32,8,0,1,0,,24,2,1,4,0,,48,42,53.3,39,29,57.4,24,20,54.5,41.9,104.3
16,2024-11-12,,Columbus Blue Jackets,5,2,W,,,33,2,1,3,0,,40,6,0,1,0,,54,68,44.3,41,54,43.2,24,26,48.0,51.3,108.4
17,2024-11-14,,Chicago Blackhawks,3,1,W,,,26,2,1,3,0,,19,6,0,1,0,,62,35,63.9,46,26,63.9,27,24,52.9,48.3,103.5
18,2024-11-16,,New York Islanders,3,2,W,,,27,2,0,4,0,,24,8,0,1,1,,50,46,52.1,36,39,48.0,21,24,46.7,57.1,109.3
19,2024-11-17,,New York Rangers,0,2,L,,,24,0,0,1,0,,23,2,0,0,0,,61,55,52.6,40,38,51.3,20,26,43.5,54.8,90.9
20,2024-11-20,,Nashville Predators,3,0,W,,,37,6,0,4,0,,24,8,0,3,0,,45,63,41.7,34,42,44.7,16,26,38.1,30.8,111.5
21,2024-11-23,@,Los Angeles Kings,1,2,L,,,20,4,0,3,0,,21,8,1,1,0,,38,46,45.2,24,32,42.9,20,20,50.0,52.9,100.7
22,2024-11-25,@,Anaheim Ducks,3,2,W,,,28,6,0,3,0,,23,10,0,1,0,,55,38,59.1,41,27,60.3,24,19,55.8,57.7,102.5
23,2024-11-27,,Anaheim Ducks,2,5,L,,,44,6,0,5,0,,33,22,1,2,0,,55,54,50.5,44,39,53.0,33,21,61.1,47.4,92.0
24,2024-11-29,@,San Jose Sharks,5,8,L,,,31,7,2,6,0,,27,17,0,1,0,,51,46,52.6,39,32,54.9,21,28,42.9,37.9,78.3
25,2024-11-30,,San Jose Sharks,2,4,L,,,38,2,0,2,0,,23,4,0,1,0,,80,52,60.6,58,39,59.8,25,26,49.0,69.7,86.4
26,2024-12-03,@,Carolina Hurricanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
