team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Senators,home,D,Erik Cernak D,19:49,0,1,1,0,4,0,0,2,0/0
Lightning,Senators,home,D,Victor Hedman D,25:16,0,0,0,5,3,0,2,0,0/0
Lightning,Senators,home,D,Ryan McDonagh D,21:52,0,1,1,0,3,0,0,1,0/0
Lightning,Senators,home,D,Janis Moser D,21:10,0,0,2,0,2,2,0,1,0/0
Lightning,Senators,home,D,Nick Perbix D,11:36,0,1,0,0,0,2,0,2,0/0
Lightning,Senators,home,D,Darren Raddysh D,16:21,0,0,-2,3,0,0,0,2,0/0
Lightning,Senators,home,D,Erik Cernak D,19:49,0,1,1,0,4,0,0,2,0/0
Lightning,Senators,home,D,Victor Hedman D,25:16,0,0,0,5,3,0,2,0,0/0
Lightning,Senators,home,D,Ryan McDonagh D,21:52,0,1,1,0,3,0,0,1,0/0
Lightning,Senators,home,D,Janis Moser D,21:10,0,0,2,0,2,2,0,1,0/0
Lightning,Senators,home,D,Nick Perbix D,11:36,0,1,0,0,0,2,0,2,0/0
Lightning,Senators,home,D,Darren Raddysh D,16:21,0,0,-2,3,0,0,0,2,0/0
Lightning,Senators,home,F,Mitchell Chaffee R,09:34,1,0,1,1,1,0,0,0,0/0
Lightning,Senators,home,F,Anthony Cirelli C,16:56,0,2,2,1,0,6,0,0,5/11
Lightning,Senators,home,F,Michael Eyssimont C,09:42,0,0,-1,2,0,0,0,0,0/0
Lightning,Senators,home,F,Conor Geekie C,13:57,0,0,-1,1,1,0,0,0,3/7
Lightning,Senators,home,F,Zemgus Girgensons C,10:05,0,0,0,2,1,0,0,0,2/2
Lightning,Senators,home,F,Luke Glendening C,10:52,0,0,0,0,1,0,0,2,13/22
Lightning,Senators,home,F,Jake Guentzel C,20:02,1,0,0,2,1,0,0,1,3/8
Lightning,Senators,home,F,Brandon Hagel L,19:03,0,1,2,2,0,0,0,3,0/0
Lightning,Senators,home,F,Nikita Kucherov R,19:44,1,1,0,6,2,0,0,0,0/0
Lightning,Senators,home,F,Nicholas Paul L,16:26,1,0,1,3,1,4,0,0,6/9
Lightning,Senators,home,F,Brayden Point C,20:56,0,1,0,1,0,0,0,3,4/8
Lightning,Senators,home,F,Conor Sheary L,11:09,0,0,-1,0,0,0,0,0,0/0
Lightning,Senators,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Senators,home,F,Erik Cernak D,19:49,0,1,1,0,4,0,0,2,0/0
Lightning,Senators,home,F,Victor Hedman D,25:16,0,0,0,5,3,0,2,0,0/0
Lightning,Senators,home,F,Ryan McDonagh D,21:52,0,1,1,0,3,0,0,1,0/0
Lightning,Senators,home,F,Janis Moser D,21:10,0,0,2,0,2,2,0,1,0/0
Lightning,Senators,home,F,Nick Perbix D,11:36,0,1,0,0,0,2,0,2,0/0
Lightning,Senators,home,F,Darren Raddysh D,16:21,0,0,-2,3,0,0,0,2,0/0
Lightning,Senators,home,F,Mitchell Chaffee R,09:34,1,0,1,1,1,0,0,0,0/0
Lightning,Senators,home,F,Anthony Cirelli C,16:56,0,2,2,1,0,6,0,0,5/11
Lightning,Senators,home,F,Michael Eyssimont C,09:42,0,0,-1,2,0,0,0,0,0/0
Lightning,Senators,home,F,Conor Geekie C,13:57,0,0,-1,1,1,0,0,0,3/7
Lightning,Senators,home,F,Zemgus Girgensons C,10:05,0,0,0,2,1,0,0,0,2/2
Lightning,Senators,home,F,Luke Glendening C,10:52,0,0,0,0,1,0,0,2,13/22
Lightning,Senators,home,F,Jake Guentzel C,20:02,1,0,0,2,1,0,0,1,3/8
Lightning,Senators,home,F,Brandon Hagel L,19:03,0,1,2,2,0,0,0,3,0/0
Lightning,Senators,home,F,Nikita Kucherov R,19:44,1,1,0,6,2,0,0,0,0/0
Lightning,Senators,home,F,Nicholas Paul L,16:26,1,0,1,3,1,4,0,0,6/9
Lightning,Senators,home,F,Brayden Point C,20:56,0,1,0,1,0,0,0,3,4/8
Lightning,Senators,home,F,Conor Sheary L,11:09,0,0,-1,0,0,0,0,0,0/0
Lightning,Senators,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Senators,home,F,Erik Cernak D,19:49,0,1,1,0,4,0,0,2,0/0
Lightning,Senators,home,F,Victor Hedman D,25:16,0,0,0,5,3,0,2,0,0/0
Lightning,Senators,home,F,Ryan McDonagh D,21:52,0,1,1,0,3,0,0,1,0/0
Lightning,Senators,home,F,Janis Moser D,21:10,0,0,2,0,2,2,0,1,0/0
Lightning,Senators,home,F,Nick Perbix D,11:36,0,1,0,0,0,2,0,2,0/0
Lightning,Senators,home,F,Darren Raddysh D,16:21,0,0,-2,3,0,0,0,2,0/0
