team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Maple Leafs,home,D,Erik Cernak D,18:26,0,0,-1,0,2,0,0,0,0/0
Lightning,Maple Leafs,home,D,Victor Hedman D,24:19,0,2,1,3,2,0,0,0,0/0
Lightning,Maple Leafs,home,D,Emil Lilleberg D,13:18,0,0,-3,0,2,2,0,0,0/0
Lightning,Maple Leafs,home,D,Ryan McDonagh D,18:09,0,0,0,2,1,0,2,3,0/0
Lightning,Maple Leafs,home,D,Janis Moser D,21:52,0,0,0,2,1,0,1,1,0/0
Lightning,Maple Leafs,home,D,Darren Raddysh D,15:45,0,0,-3,1,0,2,0,0,0/0
Lightning,Maple Leafs,home,D,Erik Cernak D,18:26,0,0,-1,0,2,0,0,0,0/0
Lightning,Maple Leafs,home,D,Victor Hedman D,24:19,0,2,1,3,2,0,0,0,0/0
Lightning,Maple Leafs,home,D,Emil Lilleberg D,13:18,0,0,-3,0,2,2,0,0,0/0
Lightning,Maple Leafs,home,D,Ryan McDonagh D,18:09,0,0,0,2,1,0,2,3,0/0
Lightning,Maple Leafs,home,D,Janis Moser D,21:52,0,0,0,2,1,0,1,1,0/0
Lightning,Maple Leafs,home,D,Darren Raddysh D,15:45,0,0,-3,1,0,2,0,0,0/0
Lightning,Maple Leafs,home,F,Cameron Atkinson R,09:29,0,0,-3,1,1,0,0,0,0/0
Lightning,Maple Leafs,home,F,Mitchell Chaffee R,13:30,0,1,0,1,0,2,0,1,0/0
Lightning,Maple Leafs,home,F,Anthony Cirelli C,16:50,0,0,0,2,2,0,0,0,7/11
Lightning,Maple Leafs,home,F,Michael Eyssimont C,11:11,0,0,0,5,0,0,0,0,0/0
Lightning,Maple Leafs,home,F,Conor Geekie C,13:34,0,0,-3,0,1,0,0,0,2/4
Lightning,Maple Leafs,home,F,Zemgus Girgensons C,08:32,0,0,0,2,0,5,0,0,0/0
Lightning,Maple Leafs,home,F,Luke Glendening C,09:26,0,0,0,0,0,0,0,0,4/6
Lightning,Maple Leafs,home,F,Jake Guentzel C,20:19,0,0,-1,3,2,2,0,2,1/1
Lightning,Maple Leafs,home,F,Brandon Hagel L,21:39,0,0,0,5,0,0,1,1,1/1
Lightning,Maple Leafs,home,F,Nikita Kucherov R,21:39,0,1,0,4,1,0,0,1,0/0
Lightning,Maple Leafs,home,F,Nicholas Paul L,15:24,1,0,-1,2,0,0,0,1,3/9
Lightning,Maple Leafs,home,F,Brayden Point C,21:55,1,0,-1,1,0,0,0,0,11/14
Lightning,Maple Leafs,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Maple Leafs,home,F,Erik Cernak D,18:26,0,0,-1,0,2,0,0,0,0/0
Lightning,Maple Leafs,home,F,Victor Hedman D,24:19,0,2,1,3,2,0,0,0,0/0
Lightning,Maple Leafs,home,F,Emil Lilleberg D,13:18,0,0,-3,0,2,2,0,0,0/0
Lightning,Maple Leafs,home,F,Ryan McDonagh D,18:09,0,0,0,2,1,0,2,3,0/0
Lightning,Maple Leafs,home,F,Janis Moser D,21:52,0,0,0,2,1,0,1,1,0/0
Lightning,Maple Leafs,home,F,Darren Raddysh D,15:45,0,0,-3,1,0,2,0,0,0/0
Lightning,Maple Leafs,home,F,Cameron Atkinson R,09:29,0,0,-3,1,1,0,0,0,0/0
Lightning,Maple Leafs,home,F,Mitchell Chaffee R,13:30,0,1,0,1,0,2,0,1,0/0
Lightning,Maple Leafs,home,F,Anthony Cirelli C,16:50,0,0,0,2,2,0,0,0,7/11
Lightning,Maple Leafs,home,F,Michael Eyssimont C,11:11,0,0,0,5,0,0,0,0,0/0
Lightning,Maple Leafs,home,F,Conor Geekie C,13:34,0,0,-3,0,1,0,0,0,2/4
Lightning,Maple Leafs,home,F,Zemgus Girgensons C,08:32,0,0,0,2,0,5,0,0,0/0
Lightning,Maple Leafs,home,F,Luke Glendening C,09:26,0,0,0,0,0,0,0,0,4/6
Lightning,Maple Leafs,home,F,Jake Guentzel C,20:19,0,0,-1,3,2,2,0,2,1/1
Lightning,Maple Leafs,home,F,Brandon Hagel L,21:39,0,0,0,5,0,0,1,1,1/1
Lightning,Maple Leafs,home,F,Nikita Kucherov R,21:39,0,1,0,4,1,0,0,1,0/0
Lightning,Maple Leafs,home,F,Nicholas Paul L,15:24,1,0,-1,2,0,0,0,1,3/9
Lightning,Maple Leafs,home,F,Brayden Point C,21:55,1,0,-1,1,0,0,0,0,11/14
Lightning,Maple Leafs,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Maple Leafs,home,F,Erik Cernak D,18:26,0,0,-1,0,2,0,0,0,0/0
Lightning,Maple Leafs,home,F,Victor Hedman D,24:19,0,2,1,3,2,0,0,0,0/0
Lightning,Maple Leafs,home,F,Emil Lilleberg D,13:18,0,0,-3,0,2,2,0,0,0/0
Lightning,Maple Leafs,home,F,Ryan McDonagh D,18:09,0,0,0,2,1,0,2,3,0/0
Lightning,Maple Leafs,home,F,Janis Moser D,21:52,0,0,0,2,1,0,1,1,0/0
Lightning,Maple Leafs,home,F,Darren Raddysh D,15:45,0,0,-3,1,0,2,0,0,0/0
