team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Wild,away,D,Erik Cernak D,20:57,0,1,-1,1,1,2,0,1,0/0
Lightning,Wild,away,D,Victor Hedman D,23:05,0,0,-2,4,4,2,0,1,0/0
Lightning,Wild,away,D,Emil Lilleberg D,15:25,0,0,2,0,1,0,0,2,0/0
Lightning,Wild,away,D,Ryan McDonagh D,21:58,0,0,-1,2,2,0,1,1,0/0
Lightning,Wild,away,D,J.J. Moser D,21:26,0,0,0,2,0,0,0,2,0/0
Lightning,Wild,away,D,Nick Perbix D,14:36,0,1,1,1,1,0,1,1,0/0
Lightning,Wild,away,D,Erik Cernak D,20:57,0,1,-1,1,1,2,0,1,0/0
Lightning,Wild,away,D,Victor Hedman D,23:05,0,0,-2,4,4,2,0,1,0/0
Lightning,Wild,away,D,Emil Lilleberg D,15:25,0,0,2,0,1,0,0,2,0/0
Lightning,Wild,away,D,Ryan McDonagh D,21:58,0,0,-1,2,2,0,1,1,0/0
Lightning,Wild,away,D,J.J. Moser D,21:26,0,0,0,2,0,0,0,2,0/0
Lightning,Wild,away,D,Nick Perbix D,14:36,0,1,1,1,1,0,1,1,0/0
Lightning,Wild,away,F,Cam Atkinson R,08:41,0,0,0,1,0,0,0,0,0/0
Lightning,Wild,away,F,Mitchell Chaffee R,12:02,0,0,-1,0,2,0,0,0,0/0
Lightning,Wild,away,F,Anthony Cirelli C,17:57,0,1,-1,2,0,0,0,2,8/19
Lightning,Wild,away,F,Michael Eyssimont C,11:41,0,0,0,2,2,0,0,1,0/1
Lightning,Wild,away,F,Conor Geekie C,11:26,0,0,-1,1,0,0,0,4,0/0
Lightning,Wild,away,F,Zemgus Girgensons C,10:42,0,0,0,2,0,0,1,0,0/2
Lightning,Wild,away,F,Luke Glendening C,10:33,0,0,0,2,0,0,0,0,2/5
Lightning,Wild,away,F,Jake Guentzel C,19:02,0,0,-1,1,2,0,0,1,4/5
Lightning,Wild,away,F,Brandon Hagel L,20:43,1,0,-1,2,0,0,1,1,0/1
Lightning,Wild,away,F,Nikita Kucherov R,20:57,1,0,0,1,0,0,0,5,0/0
Lightning,Wild,away,F,Nick Paul L,13:33,0,1,0,1,0,2,1,1,3/9
Lightning,Wild,away,F,Brayden Point C,19:59,0,0,-1,0,3,0,2,0,6/10
Lightning,Wild,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Wild,away,F,Erik Cernak D,20:57,0,1,-1,1,1,2,0,1,0/0
Lightning,Wild,away,F,Victor Hedman D,23:05,0,0,-2,4,4,2,0,1,0/0
Lightning,Wild,away,F,Emil Lilleberg D,15:25,0,0,2,0,1,0,0,2,0/0
Lightning,Wild,away,F,Ryan McDonagh D,21:58,0,0,-1,2,2,0,1,1,0/0
Lightning,Wild,away,F,J.J. Moser D,21:26,0,0,0,2,0,0,0,2,0/0
Lightning,Wild,away,F,Nick Perbix D,14:36,0,1,1,1,1,0,1,1,0/0
Lightning,Wild,away,F,Cam Atkinson R,08:41,0,0,0,1,0,0,0,0,0/0
Lightning,Wild,away,F,Mitchell Chaffee R,12:02,0,0,-1,0,2,0,0,0,0/0
Lightning,Wild,away,F,Anthony Cirelli C,17:57,0,1,-1,2,0,0,0,2,8/19
Lightning,Wild,away,F,Michael Eyssimont C,11:41,0,0,0,2,2,0,0,1,0/1
Lightning,Wild,away,F,Conor Geekie C,11:26,0,0,-1,1,0,0,0,4,0/0
Lightning,Wild,away,F,Zemgus Girgensons C,10:42,0,0,0,2,0,0,1,0,0/2
Lightning,Wild,away,F,Luke Glendening C,10:33,0,0,0,2,0,0,0,0,2/5
Lightning,Wild,away,F,Jake Guentzel C,19:02,0,0,-1,1,2,0,0,1,4/5
Lightning,Wild,away,F,Brandon Hagel L,20:43,1,0,-1,2,0,0,1,1,0/1
Lightning,Wild,away,F,Nikita Kucherov R,20:57,1,0,0,1,0,0,0,5,0/0
Lightning,Wild,away,F,Nick Paul L,13:33,0,1,0,1,0,2,1,1,3/9
Lightning,Wild,away,F,Brayden Point C,19:59,0,0,-1,0,3,0,2,0,6/10
Lightning,Wild,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Wild,away,F,Erik Cernak D,20:57,0,1,-1,1,1,2,0,1,0/0
Lightning,Wild,away,F,Victor Hedman D,23:05,0,0,-2,4,4,2,0,1,0/0
Lightning,Wild,away,F,Emil Lilleberg D,15:25,0,0,2,0,1,0,0,2,0/0
Lightning,Wild,away,F,Ryan McDonagh D,21:58,0,0,-1,2,2,0,1,1,0/0
Lightning,Wild,away,F,J.J. Moser D,21:26,0,0,0,2,0,0,0,2,0/0
Lightning,Wild,away,F,Nick Perbix D,14:36,0,1,1,1,1,0,1,1,0/0
