team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Avalanche,home,D,Erik Cernak D,12:06,0,0,1,2,1,2,0,0,0/0
Lightning,Avalanche,home,D,Victor Hedman D,25:22,0,1,2,2,3,0,1,1,0/0
Lightning,Avalanche,home,D,Emil Lilleberg D,13:05,0,0,-1,0,0,4,0,1,0/0
Lightning,Avalanche,home,D,Ryan McDonagh D,19:28,0,1,2,1,2,0,0,2,0/0
Lightning,Avalanche,home,D,J.J. Moser D,24:52,0,0,3,2,3,0,0,0,0/0
Lightning,Avalanche,home,D,Darren Raddysh D,18:45,0,0,1,0,3,0,0,3,0/0
Lightning,Avalanche,home,D,Erik Cernak D,12:06,0,0,1,2,1,2,0,0,0/0
Lightning,Avalanche,home,D,Victor Hedman D,25:22,0,1,2,2,3,0,1,1,0/0
Lightning,Avalanche,home,D,Emil Lilleberg D,13:05,0,0,-1,0,0,4,0,1,0/0
Lightning,Avalanche,home,D,Ryan McDonagh D,19:28,0,1,2,1,2,0,0,2,0/0
Lightning,Avalanche,home,D,J.J. Moser D,24:52,0,0,3,2,3,0,0,0,0/0
Lightning,Avalanche,home,D,Darren Raddysh D,18:45,0,0,1,0,3,0,0,3,0/0
Lightning,Avalanche,home,F,Cam Atkinson R,10:53,0,0,0,0,0,2,0,0,0/0
Lightning,Avalanche,home,F,Mitchell Chaffee R,15:26,0,0,0,0,0,0,0,0,0/0
Lightning,Avalanche,home,F,Anthony Cirelli C,19:15,1,1,1,2,0,2,0,2,5/9
Lightning,Avalanche,home,F,Michael Eyssimont C,11:24,0,0,0,1,1,5,0,1,0/0
Lightning,Avalanche,home,F,Conor Geekie C,10:54,1,0,1,2,0,0,0,2,0/0
Lightning,Avalanche,home,F,Zemgus Girgensons C,07:57,0,0,0,0,0,0,1,2,1/1
Lightning,Avalanche,home,F,Luke Glendening C,09:28,0,0,0,0,1,0,0,0,4/6
Lightning,Avalanche,home,F,Jake Guentzel C,18:34,2,0,3,3,3,0,0,1,3/6
Lightning,Avalanche,home,F,Brandon Hagel L,21:25,0,2,1,3,0,0,0,1,1/2
Lightning,Avalanche,home,F,Nikita Kucherov R,16:36,1,2,2,2,1,0,0,2,0/0
Lightning,Avalanche,home,F,Nick Paul L,17:34,0,0,1,1,0,0,0,0,4/11
Lightning,Avalanche,home,F,Brayden Point C,18:10,0,2,3,0,0,0,0,0,10/12
Lightning,Avalanche,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Avalanche,home,F,Erik Cernak D,12:06,0,0,1,2,1,2,0,0,0/0
Lightning,Avalanche,home,F,Victor Hedman D,25:22,0,1,2,2,3,0,1,1,0/0
Lightning,Avalanche,home,F,Emil Lilleberg D,13:05,0,0,-1,0,0,4,0,1,0/0
Lightning,Avalanche,home,F,Ryan McDonagh D,19:28,0,1,2,1,2,0,0,2,0/0
Lightning,Avalanche,home,F,J.J. Moser D,24:52,0,0,3,2,3,0,0,0,0/0
Lightning,Avalanche,home,F,Darren Raddysh D,18:45,0,0,1,0,3,0,0,3,0/0
Lightning,Avalanche,home,F,Cam Atkinson R,10:53,0,0,0,0,0,2,0,0,0/0
Lightning,Avalanche,home,F,Mitchell Chaffee R,15:26,0,0,0,0,0,0,0,0,0/0
Lightning,Avalanche,home,F,Anthony Cirelli C,19:15,1,1,1,2,0,2,0,2,5/9
Lightning,Avalanche,home,F,Michael Eyssimont C,11:24,0,0,0,1,1,5,0,1,0/0
Lightning,Avalanche,home,F,Conor Geekie C,10:54,1,0,1,2,0,0,0,2,0/0
Lightning,Avalanche,home,F,Zemgus Girgensons C,07:57,0,0,0,0,0,0,1,2,1/1
Lightning,Avalanche,home,F,Luke Glendening C,09:28,0,0,0,0,1,0,0,0,4/6
Lightning,Avalanche,home,F,Jake Guentzel C,18:34,2,0,3,3,3,0,0,1,3/6
Lightning,Avalanche,home,F,Brandon Hagel L,21:25,0,2,1,3,0,0,0,1,1/2
Lightning,Avalanche,home,F,Nikita Kucherov R,16:36,1,2,2,2,1,0,0,2,0/0
Lightning,Avalanche,home,F,Nick Paul L,17:34,0,0,1,1,0,0,0,0,4/11
Lightning,Avalanche,home,F,Brayden Point C,18:10,0,2,3,0,0,0,0,0,10/12
Lightning,Avalanche,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Avalanche,home,F,Erik Cernak D,12:06,0,0,1,2,1,2,0,0,0/0
Lightning,Avalanche,home,F,Victor Hedman D,25:22,0,1,2,2,3,0,1,1,0/0
Lightning,Avalanche,home,F,Emil Lilleberg D,13:05,0,0,-1,0,0,4,0,1,0/0
Lightning,Avalanche,home,F,Ryan McDonagh D,19:28,0,1,2,1,2,0,0,2,0/0
Lightning,Avalanche,home,F,J.J. Moser D,24:52,0,0,3,2,3,0,0,0,0/0
Lightning,Avalanche,home,F,Darren Raddysh D,18:45,0,0,1,0,3,0,0,3,0/0
