team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Wild,home,D,Erik Cernak D,20:57,0,1,-1,3,0,0,1,1,0/0
Lightning,Wild,home,D,Victor Hedman D,24:58,0,2,-2,3,2,0,0,1,0/0
Lightning,Wild,home,D,Emil Lilleberg D,13:01,0,0,-1,1,0,0,0,1,0/0
Lightning,Wild,home,D,Ryan McDonagh D,19:09,0,1,-1,0,1,0,0,0,0/0
Lightning,Wild,home,D,J.J. Moser D,21:54,0,0,-1,1,2,0,0,0,0/0
Lightning,Wild,home,D,Nick Perbix D,13:32,0,0,-1,0,2,0,1,0,0/0
Lightning,Wild,home,D,Erik Cernak D,20:57,0,1,-1,3,0,0,1,1,0/0
Lightning,Wild,home,D,Victor Hedman D,24:58,0,2,-2,3,2,0,0,1,0/0
Lightning,Wild,home,D,Emil Lilleberg D,13:01,0,0,-1,1,0,0,0,1,0/0
Lightning,Wild,home,D,Ryan McDonagh D,19:09,0,1,-1,0,1,0,0,0,0/0
Lightning,Wild,home,D,J.J. Moser D,21:54,0,0,-1,1,2,0,0,0,0/0
Lightning,Wild,home,D,Nick Perbix D,13:32,0,0,-1,0,2,0,1,0,0/0
Lightning,Wild,home,F,Cam Atkinson R,10:32,0,0,0,0,1,0,0,0,0/0
Lightning,Wild,home,F,Mitchell Chaffee R,09:17,0,0,0,0,0,0,0,0,0/0
Lightning,Wild,home,F,Anthony Cirelli C,19:47,0,0,-2,0,0,0,0,0,9/16
Lightning,Wild,home,F,Michael Eyssimont C,08:41,0,0,-1,1,0,5,0,0,0/0
Lightning,Wild,home,F,Conor Geekie C,13:22,0,0,0,2,1,2,0,1,1/1
Lightning,Wild,home,F,Zemgus Girgensons C,09:18,0,0,0,1,1,0,0,0,0/0
Lightning,Wild,home,F,Luke Glendening C,10:27,0,0,0,0,1,0,0,0,5/7
Lightning,Wild,home,F,Jake Guentzel C,22:39,1,0,-2,2,0,0,0,0,6/8
Lightning,Wild,home,F,Brandon Hagel L,22:25,0,1,-3,4,0,0,0,2,0/0
Lightning,Wild,home,F,Nikita Kucherov R,22:41,0,1,-3,8,1,0,1,1,0/0
Lightning,Wild,home,F,Nick Paul L,13:07,1,0,-2,1,0,0,0,0,4/9
Lightning,Wild,home,F,Brayden Point C,23:10,1,0,-1,3,1,0,0,0,4/13
Lightning,Wild,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Wild,home,F,Erik Cernak D,20:57,0,1,-1,3,0,0,1,1,0/0
Lightning,Wild,home,F,Victor Hedman D,24:58,0,2,-2,3,2,0,0,1,0/0
Lightning,Wild,home,F,Emil Lilleberg D,13:01,0,0,-1,1,0,0,0,1,0/0
Lightning,Wild,home,F,Ryan McDonagh D,19:09,0,1,-1,0,1,0,0,0,0/0
Lightning,Wild,home,F,J.J. Moser D,21:54,0,0,-1,1,2,0,0,0,0/0
Lightning,Wild,home,F,Nick Perbix D,13:32,0,0,-1,0,2,0,1,0,0/0
Lightning,Wild,home,F,Cam Atkinson R,10:32,0,0,0,0,1,0,0,0,0/0
Lightning,Wild,home,F,Mitchell Chaffee R,09:17,0,0,0,0,0,0,0,0,0/0
Lightning,Wild,home,F,Anthony Cirelli C,19:47,0,0,-2,0,0,0,0,0,9/16
Lightning,Wild,home,F,Michael Eyssimont C,08:41,0,0,-1,1,0,5,0,0,0/0
Lightning,Wild,home,F,Conor Geekie C,13:22,0,0,0,2,1,2,0,1,1/1
Lightning,Wild,home,F,Zemgus Girgensons C,09:18,0,0,0,1,1,0,0,0,0/0
Lightning,Wild,home,F,Luke Glendening C,10:27,0,0,0,0,1,0,0,0,5/7
Lightning,Wild,home,F,Jake Guentzel C,22:39,1,0,-2,2,0,0,0,0,6/8
Lightning,Wild,home,F,Brandon Hagel L,22:25,0,1,-3,4,0,0,0,2,0/0
Lightning,Wild,home,F,Nikita Kucherov R,22:41,0,1,-3,8,1,0,1,1,0/0
Lightning,Wild,home,F,Nick Paul L,13:07,1,0,-2,1,0,0,0,0,4/9
Lightning,Wild,home,F,Brayden Point C,23:10,1,0,-1,3,1,0,0,0,4/13
Lightning,Wild,home,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Wild,home,F,Erik Cernak D,20:57,0,1,-1,3,0,0,1,1,0/0
Lightning,Wild,home,F,Victor Hedman D,24:58,0,2,-2,3,2,0,0,1,0/0
Lightning,Wild,home,F,Emil Lilleberg D,13:01,0,0,-1,1,0,0,0,1,0/0
Lightning,Wild,home,F,Ryan McDonagh D,19:09,0,1,-1,0,1,0,0,0,0/0
Lightning,Wild,home,F,J.J. Moser D,21:54,0,0,-1,1,2,0,0,0,0/0
Lightning,Wild,home,F,Nick Perbix D,13:32,0,0,-1,0,2,0,1,0,0/0
