team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Jets,away,D,Erik Cernak D,19:38,0,1,2,0,3,2,2,0,0/0
Lightning,Jets,away,D,Victor Hedman D,21:28,0,1,-1,1,1,0,1,4,0/0
Lightning,Jets,away,D,Emil Lilleberg D,13:03,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,D,Ryan McDonagh D,21:36,0,1,2,0,3,0,1,0,0/0
Lightning,Jets,away,D,J.J. Moser D,15:51,0,0,-1,1,2,0,0,0,0/0
Lightning,Jets,away,D,Nick Perbix D,12:40,0,0,0,0,0,0,0,0,0/0
Lightning,Jets,away,D,Darren Raddysh D,11:50,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,D,Erik Cernak D,19:38,0,1,2,0,3,2,2,0,0/0
Lightning,Jets,away,D,Victor Hedman D,21:28,0,1,-1,1,1,0,1,4,0/0
Lightning,Jets,away,D,Emil Lilleberg D,13:03,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,D,Ryan McDonagh D,21:36,0,1,2,0,3,0,1,0,0/0
Lightning,Jets,away,D,J.J. Moser D,15:51,0,0,-1,1,2,0,0,0,0/0
Lightning,Jets,away,D,Nick Perbix D,12:40,0,0,0,0,0,0,0,0,0/0
Lightning,Jets,away,D,Darren Raddysh D,11:50,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,F,Mitchell Chaffee R,14:26,0,0,1,1,0,0,0,2,1/2
Lightning,Jets,away,F,Anthony Cirelli C,22:49,1,0,2,2,1,0,0,1,13/23
Lightning,Jets,away,F,Michael Eyssimont C,09:52,0,0,-1,3,1,4,0,0,0/0
Lightning,Jets,away,F,Conor Geekie C,10:00,0,0,0,1,0,0,0,0,1/3
Lightning,Jets,away,F,Zemgus Girgensons C,13:21,0,0,0,0,2,0,0,0,0/0
Lightning,Jets,away,F,Luke Glendening C,12:27,0,0,-1,2,2,0,0,0,7/13
Lightning,Jets,away,F,Gage Goncalves C,11:01,0,0,0,1,1,0,0,1,0/0
Lightning,Jets,away,F,Jake Guentzel C,20:31,2,0,2,2,2,2,1,2,1/1
Lightning,Jets,away,F,Brandon Hagel L,22:08,1,0,1,5,0,0,0,1,0/1
Lightning,Jets,away,F,Nikita Kucherov R,22:47,0,1,1,5,1,0,0,1,0/0
Lightning,Jets,away,F,Nick Paul L,16:30,0,1,1,3,1,0,1,0,10/15
Lightning,Jets,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Jets,away,F,Erik Cernak D,19:38,0,1,2,0,3,2,2,0,0/0
Lightning,Jets,away,F,Victor Hedman D,21:28,0,1,-1,1,1,0,1,4,0/0
Lightning,Jets,away,F,Emil Lilleberg D,13:03,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,F,Ryan McDonagh D,21:36,0,1,2,0,3,0,1,0,0/0
Lightning,Jets,away,F,J.J. Moser D,15:51,0,0,-1,1,2,0,0,0,0/0
Lightning,Jets,away,F,Nick Perbix D,12:40,0,0,0,0,0,0,0,0,0/0
Lightning,Jets,away,F,Darren Raddysh D,11:50,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,F,Mitchell Chaffee R,14:26,0,0,1,1,0,0,0,2,1/2
Lightning,Jets,away,F,Anthony Cirelli C,22:49,1,0,2,2,1,0,0,1,13/23
Lightning,Jets,away,F,Michael Eyssimont C,09:52,0,0,-1,3,1,4,0,0,0/0
Lightning,Jets,away,F,Conor Geekie C,10:00,0,0,0,1,0,0,0,0,1/3
Lightning,Jets,away,F,Zemgus Girgensons C,13:21,0,0,0,0,2,0,0,0,0/0
Lightning,Jets,away,F,Luke Glendening C,12:27,0,0,-1,2,2,0,0,0,7/13
Lightning,Jets,away,F,Gage Goncalves C,11:01,0,0,0,1,1,0,0,1,0/0
Lightning,Jets,away,F,Jake Guentzel C,20:31,2,0,2,2,2,2,1,2,1/1
Lightning,Jets,away,F,Brandon Hagel L,22:08,1,0,1,5,0,0,0,1,0/1
Lightning,Jets,away,F,Nikita Kucherov R,22:47,0,1,1,5,1,0,0,1,0/0
Lightning,Jets,away,F,Nick Paul L,16:30,0,1,1,3,1,0,1,0,10/15
Lightning,Jets,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Jets,away,F,Erik Cernak D,19:38,0,1,2,0,3,2,2,0,0/0
Lightning,Jets,away,F,Victor Hedman D,21:28,0,1,-1,1,1,0,1,4,0/0
Lightning,Jets,away,F,Emil Lilleberg D,13:03,0,1,1,1,0,0,0,0,0/0
Lightning,Jets,away,F,Ryan McDonagh D,21:36,0,1,2,0,3,0,1,0,0/0
Lightning,Jets,away,F,J.J. Moser D,15:51,0,0,-1,1,2,0,0,0,0/0
Lightning,Jets,away,F,Nick Perbix D,12:40,0,0,0,0,0,0,0,0,0/0
Lightning,Jets,away,F,Darren Raddysh D,11:50,0,1,1,1,0,0,0,0,0/0
