team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Lightning,Devils,away,D,Erik Cernak D,20:37,0,0,0,0,2,0,0,1,0/0
Lightning,Devils,away,D,Victor Hedman D,22:08,1,1,2,1,3,2,1,1,0/0
Lightning,Devils,away,D,Emil Lilleberg D,13:56,0,1,1,1,2,0,0,2,0/0
Lightning,Devils,away,D,Ryan McDonagh D,20:55,0,0,0,1,0,0,0,1,0/0
Lightning,Devils,away,D,J.J. Moser D,17:38,0,0,1,2,2,0,2,1,0/0
Lightning,Devils,away,D,Nick Perbix D,10:07,0,0,0,2,2,0,0,2,0/0
Lightning,Devils,away,D,Darren Raddysh D,10:29,1,0,2,2,1,0,0,1,0/0
Lightning,Devils,away,D,Erik Cernak D,20:37,0,0,0,0,2,0,0,1,0/0
Lightning,Devils,away,D,Victor Hedman D,22:08,1,1,2,1,3,2,1,1,0/0
Lightning,Devils,away,D,Emil Lilleberg D,13:56,0,1,1,1,2,0,0,2,0/0
Lightning,Devils,away,D,Ryan McDonagh D,20:55,0,0,0,1,0,0,0,1,0/0
Lightning,Devils,away,D,J.J. Moser D,17:38,0,0,1,2,2,0,2,1,0/0
Lightning,Devils,away,D,Nick Perbix D,10:07,0,0,0,2,2,0,0,2,0/0
Lightning,Devils,away,D,Darren Raddysh D,10:29,1,0,2,2,1,0,0,1,0/0
Lightning,Devils,away,F,Mitchell Chaffee R,13:02,0,0,0,0,1,0,1,0,0/0
Lightning,Devils,away,F,Anthony Cirelli C,20:49,1,1,2,2,0,0,0,0,12/22
Lightning,Devils,away,F,Michael Eyssimont C,11:08,0,0,0,2,1,0,0,1,0/0
Lightning,Devils,away,F,Conor Geekie C,13:42,0,0,0,2,2,0,1,0,5/14
Lightning,Devils,away,F,Zemgus Girgensons C,09:11,0,0,0,0,2,0,0,0,0/0
Lightning,Devils,away,F,Luke Glendening C,08:44,0,0,0,0,0,2,0,0,4/9
Lightning,Devils,away,F,Gage Goncalves C,15:32,0,0,1,1,0,0,1,1,0/0
Lightning,Devils,away,F,Jake Guentzel C,23:10,0,2,1,4,0,0,1,1,0/0
Lightning,Devils,away,F,Brandon Hagel L,21:38,0,1,2,3,1,4,0,0,0/1
Lightning,Devils,away,F,Nikita Kucherov R,19:39,0,2,1,2,0,0,1,2,0/0
Lightning,Devils,away,F,Nick Paul L,20:01,1,0,2,1,1,0,0,1,11/18
Lightning,Devils,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Devils,away,F,Erik Cernak D,20:37,0,0,0,0,2,0,0,1,0/0
Lightning,Devils,away,F,Victor Hedman D,22:08,1,1,2,1,3,2,1,1,0/0
Lightning,Devils,away,F,Emil Lilleberg D,13:56,0,1,1,1,2,0,0,2,0/0
Lightning,Devils,away,F,Ryan McDonagh D,20:55,0,0,0,1,0,0,0,1,0/0
Lightning,Devils,away,F,J.J. Moser D,17:38,0,0,1,2,2,0,2,1,0/0
Lightning,Devils,away,F,Nick Perbix D,10:07,0,0,0,2,2,0,0,2,0/0
Lightning,Devils,away,F,Darren Raddysh D,10:29,1,0,2,2,1,0,0,1,0/0
Lightning,Devils,away,F,Mitchell Chaffee R,13:02,0,0,0,0,1,0,1,0,0/0
Lightning,Devils,away,F,Anthony Cirelli C,20:49,1,1,2,2,0,0,0,0,12/22
Lightning,Devils,away,F,Michael Eyssimont C,11:08,0,0,0,2,1,0,0,1,0/0
Lightning,Devils,away,F,Conor Geekie C,13:42,0,0,0,2,2,0,1,0,5/14
Lightning,Devils,away,F,Zemgus Girgensons C,09:11,0,0,0,0,2,0,0,0,0/0
Lightning,Devils,away,F,Luke Glendening C,08:44,0,0,0,0,0,2,0,0,4/9
Lightning,Devils,away,F,Gage Goncalves C,15:32,0,0,1,1,0,0,1,1,0/0
Lightning,Devils,away,F,Jake Guentzel C,23:10,0,2,1,4,0,0,1,1,0/0
Lightning,Devils,away,F,Brandon Hagel L,21:38,0,1,2,3,1,4,0,0,0/1
Lightning,Devils,away,F,Nikita Kucherov R,19:39,0,2,1,2,0,0,1,2,0/0
Lightning,Devils,away,F,Nick Paul L,20:01,1,0,2,1,1,0,0,1,11/18
Lightning,Devils,away,F,Lightning Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOErik
Lightning,Devils,away,F,Erik Cernak D,20:37,0,0,0,0,2,0,0,1,0/0
Lightning,Devils,away,F,Victor Hedman D,22:08,1,1,2,1,3,2,1,1,0/0
Lightning,Devils,away,F,Emil Lilleberg D,13:56,0,1,1,1,2,0,0,2,0/0
Lightning,Devils,away,F,Ryan McDonagh D,20:55,0,0,0,1,0,0,0,1,0/0
Lightning,Devils,away,F,J.J. Moser D,17:38,0,0,1,2,2,0,2,1,0/0
Lightning,Devils,away,F,Nick Perbix D,10:07,0,0,0,2,2,0,0,2,0/0
Lightning,Devils,away,F,Darren Raddysh D,10:29,1,0,2,2,1,0,0,1,0/0
