team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Devils,home,D,Simon Benoit D,15:52,0,0,1,1,5,4,0,1,0/0
Maple Leafs,Devils,home,D,Oliver Ekman-Larsson D,20:34,0,1,2,3,3,0,0,0,0/0
Maple Leafs,Devils,home,D,Jake McCabe D,23:25,0,1,1,0,6,0,1,2,0/0
Maple Leafs,Devils,home,D,Morgan Rielly D,20:13,0,0,1,1,2,0,0,1,0/0
Maple Leafs,Devils,home,D,Chris Tanev D,21:51,0,0,1,0,3,0,0,1,0/0
Maple Leafs,Devils,home,D,Conor Timmins D,14:58,0,1,0,1,1,2,0,0,0/0
Maple Leafs,Devils,home,D,Simon Benoit D,15:52,0,0,1,1,5,4,0,1,0/0
Maple Leafs,Devils,home,D,Oliver Ekman-Larsson D,20:34,0,1,2,3,3,0,0,0,0/0
Maple Leafs,Devils,home,D,Jake McCabe D,23:25,0,1,1,0,6,0,1,2,0/0
Maple Leafs,Devils,home,D,Morgan Rielly D,20:13,0,0,1,1,2,0,0,1,0/0
Maple Leafs,Devils,home,D,Chris Tanev D,21:51,0,0,1,0,3,0,0,1,0/0
Maple Leafs,Devils,home,D,Conor Timmins D,14:58,0,1,0,1,1,2,0,0,0/0
Maple Leafs,Devils,home,F,Max Domi C,13:51,0,1,1,0,1,0,0,0,2/4
Maple Leafs,Devils,home,F,Pontus Holmberg R,14:24,0,1,1,0,4,0,1,1,8/14
Maple Leafs,Devils,home,F,David Kampf C,11:58,0,1,1,1,0,0,0,2,3/6
Maple Leafs,Devils,home,F,Matthew Knies L,15:44,0,0,0,3,0,0,0,0,0/0
Maple Leafs,Devils,home,F,Steven Lorentz C,15:07,1,1,1,2,2,0,1,0,0/0
Maple Leafs,Devils,home,F,Mitch Marner R,21:20,0,0,-1,1,0,0,1,1,0/0
Maple Leafs,Devils,home,F,Auston Matthews C,21:04,0,0,0,1,1,0,0,2,8/16
Maple Leafs,Devils,home,F,Bobby McMann C,10:20,1,0,2,3,0,0,0,0,0/0
Maple Leafs,Devils,home,F,William Nylander R,15:35,0,0,1,0,0,2,0,3,0/0
Maple Leafs,Devils,home,F,Max Pacioretty L,09:36,1,0,1,2,0,0,0,0,1/1
Maple Leafs,Devils,home,F,Nicholas Robertson L,10:16,0,0,1,1,1,0,0,1,0/0
Maple Leafs,Devils,home,F,John Tavares C,15:04,1,0,1,2,0,2,0,2,4/13
Maple Leafs,Devils,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Devils,home,F,Simon Benoit D,15:52,0,0,1,1,5,4,0,1,0/0
Maple Leafs,Devils,home,F,Oliver Ekman-Larsson D,20:34,0,1,2,3,3,0,0,0,0/0
Maple Leafs,Devils,home,F,Jake McCabe D,23:25,0,1,1,0,6,0,1,2,0/0
Maple Leafs,Devils,home,F,Morgan Rielly D,20:13,0,0,1,1,2,0,0,1,0/0
Maple Leafs,Devils,home,F,Chris Tanev D,21:51,0,0,1,0,3,0,0,1,0/0
Maple Leafs,Devils,home,F,Conor Timmins D,14:58,0,1,0,1,1,2,0,0,0/0
Maple Leafs,Devils,home,F,Max Domi C,13:51,0,1,1,0,1,0,0,0,2/4
Maple Leafs,Devils,home,F,Pontus Holmberg R,14:24,0,1,1,0,4,0,1,1,8/14
Maple Leafs,Devils,home,F,David Kampf C,11:58,0,1,1,1,0,0,0,2,3/6
Maple Leafs,Devils,home,F,Matthew Knies L,15:44,0,0,0,3,0,0,0,0,0/0
Maple Leafs,Devils,home,F,Steven Lorentz C,15:07,1,1,1,2,2,0,1,0,0/0
Maple Leafs,Devils,home,F,Mitch Marner R,21:20,0,0,-1,1,0,0,1,1,0/0
Maple Leafs,Devils,home,F,Auston Matthews C,21:04,0,0,0,1,1,0,0,2,8/16
Maple Leafs,Devils,home,F,Bobby McMann C,10:20,1,0,2,3,0,0,0,0,0/0
Maple Leafs,Devils,home,F,William Nylander R,15:35,0,0,1,0,0,2,0,3,0/0
Maple Leafs,Devils,home,F,Max Pacioretty L,09:36,1,0,1,2,0,0,0,0,1/1
Maple Leafs,Devils,home,F,Nicholas Robertson L,10:16,0,0,1,1,1,0,0,1,0/0
Maple Leafs,Devils,home,F,John Tavares C,15:04,1,0,1,2,0,2,0,2,4/13
Maple Leafs,Devils,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Devils,home,F,Simon Benoit D,15:52,0,0,1,1,5,4,0,1,0/0
Maple Leafs,Devils,home,F,Oliver Ekman-Larsson D,20:34,0,1,2,3,3,0,0,0,0/0
Maple Leafs,Devils,home,F,Jake McCabe D,23:25,0,1,1,0,6,0,1,2,0/0
Maple Leafs,Devils,home,F,Morgan Rielly D,20:13,0,0,1,1,2,0,0,1,0/0
Maple Leafs,Devils,home,F,Chris Tanev D,21:51,0,0,1,0,3,0,0,1,0/0
Maple Leafs,Devils,home,F,Conor Timmins D,14:58,0,1,0,1,1,2,0,0,0/0
