team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Blue Jackets,home,D,Simon Benoit D,16:44,0,1,0,0,2,0,0,2,0/0
Maple Leafs,Blue Jackets,home,D,Oliver Ekman-Larsson D,20:02,0,0,-3,1,1,0,1,1,0/0
Maple Leafs,Blue Jackets,home,D,Jake McCabe D,21:08,0,0,-1,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,D,Morgan Rielly D,21:33,0,0,-3,3,1,0,0,1,0/0
Maple Leafs,Blue Jackets,home,D,Chris Tanev D,19:52,0,0,-3,0,3,0,1,2,0/0
Maple Leafs,Blue Jackets,home,D,Conor Timmins D,17:23,0,0,2,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,D,Simon Benoit D,16:44,0,1,0,0,2,0,0,2,0/0
Maple Leafs,Blue Jackets,home,D,Oliver Ekman-Larsson D,20:02,0,0,-3,1,1,0,1,1,0/0
Maple Leafs,Blue Jackets,home,D,Jake McCabe D,21:08,0,0,-1,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,D,Morgan Rielly D,21:33,0,0,-3,3,1,0,0,1,0/0
Maple Leafs,Blue Jackets,home,D,Chris Tanev D,19:52,0,0,-3,0,3,0,1,2,0/0
Maple Leafs,Blue Jackets,home,D,Conor Timmins D,17:23,0,0,2,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,F,Max Domi C,09:31,0,0,-2,0,0,2,0,0,1/10
Maple Leafs,Blue Jackets,home,F,Pontus Holmberg R,13:47,0,0,-1,2,2,0,0,0,10/15
Maple Leafs,Blue Jackets,home,F,Matthew Knies L,16:56,1,0,-3,5,1,0,1,0,0/0
Maple Leafs,Blue Jackets,home,F,Steven Lorentz C,12:59,0,0,-1,3,0,0,0,1,1/1
Maple Leafs,Blue Jackets,home,F,Mitch Marner R,19:20,0,0,-3,5,0,0,0,2,0/0
Maple Leafs,Blue Jackets,home,F,Auston Matthews C,19:51,0,0,-3,2,2,0,1,1,10/24
Maple Leafs,Blue Jackets,home,F,Bobby McMann C,15:22,0,0,-1,0,0,0,0,1,0/0
Maple Leafs,Blue Jackets,home,F,William Nylander R,16:25,0,0,0,1,0,0,0,1,1/3
Maple Leafs,Blue Jackets,home,F,Max Pacioretty L,09:58,0,0,0,0,0,2,1,0,0/0
Maple Leafs,Blue Jackets,home,F,Ryan Reaves R,08:06,0,0,-1,0,0,4,0,1,0/0
Maple Leafs,Blue Jackets,home,F,Nicholas Robertson L,13:51,1,0,1,1,1,2,0,0,0/1
Maple Leafs,Blue Jackets,home,F,John Tavares C,17:31,0,1,2,5,0,2,1,2,9/16
Maple Leafs,Blue Jackets,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Blue Jackets,home,F,Simon Benoit D,16:44,0,1,0,0,2,0,0,2,0/0
Maple Leafs,Blue Jackets,home,F,Oliver Ekman-Larsson D,20:02,0,0,-3,1,1,0,1,1,0/0
Maple Leafs,Blue Jackets,home,F,Jake McCabe D,21:08,0,0,-1,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,F,Morgan Rielly D,21:33,0,0,-3,3,1,0,0,1,0/0
Maple Leafs,Blue Jackets,home,F,Chris Tanev D,19:52,0,0,-3,0,3,0,1,2,0/0
Maple Leafs,Blue Jackets,home,F,Conor Timmins D,17:23,0,0,2,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,F,Max Domi C,09:31,0,0,-2,0,0,2,0,0,1/10
Maple Leafs,Blue Jackets,home,F,Pontus Holmberg R,13:47,0,0,-1,2,2,0,0,0,10/15
Maple Leafs,Blue Jackets,home,F,Matthew Knies L,16:56,1,0,-3,5,1,0,1,0,0/0
Maple Leafs,Blue Jackets,home,F,Steven Lorentz C,12:59,0,0,-1,3,0,0,0,1,1/1
Maple Leafs,Blue Jackets,home,F,Mitch Marner R,19:20,0,0,-3,5,0,0,0,2,0/0
Maple Leafs,Blue Jackets,home,F,Auston Matthews C,19:51,0,0,-3,2,2,0,1,1,10/24
Maple Leafs,Blue Jackets,home,F,Bobby McMann C,15:22,0,0,-1,0,0,0,0,1,0/0
Maple Leafs,Blue Jackets,home,F,William Nylander R,16:25,0,0,0,1,0,0,0,1,1/3
Maple Leafs,Blue Jackets,home,F,Max Pacioretty L,09:58,0,0,0,0,0,2,1,0,0/0
Maple Leafs,Blue Jackets,home,F,Ryan Reaves R,08:06,0,0,-1,0,0,4,0,1,0/0
Maple Leafs,Blue Jackets,home,F,Nicholas Robertson L,13:51,1,0,1,1,1,2,0,0,0/1
Maple Leafs,Blue Jackets,home,F,John Tavares C,17:31,0,1,2,5,0,2,1,2,9/16
Maple Leafs,Blue Jackets,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Blue Jackets,home,F,Simon Benoit D,16:44,0,1,0,0,2,0,0,2,0/0
Maple Leafs,Blue Jackets,home,F,Oliver Ekman-Larsson D,20:02,0,0,-3,1,1,0,1,1,0/0
Maple Leafs,Blue Jackets,home,F,Jake McCabe D,21:08,0,0,-1,0,2,0,0,0,0/0
Maple Leafs,Blue Jackets,home,F,Morgan Rielly D,21:33,0,0,-3,3,1,0,0,1,0/0
Maple Leafs,Blue Jackets,home,F,Chris Tanev D,19:52,0,0,-3,0,3,0,1,2,0/0
Maple Leafs,Blue Jackets,home,F,Conor Timmins D,17:23,0,0,2,0,2,0,0,0,0/0
