team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Kraken,away,D,Simon Benoit D,13:35,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Kraken,away,D,Oliver Ekman-Larsson D,21:29,0,0,1,3,1,0,1,3,0/0
Maple Leafs,Kraken,away,D,Jake McCabe D,23:37,0,0,0,1,2,0,0,4,0/0
Maple Leafs,Kraken,away,D,Morgan Rielly D,20:48,0,1,3,0,2,0,0,2,0/0
Maple Leafs,Kraken,away,D,Chris Tanev D,19:42,0,0,1,0,2,0,0,0,0/0
Maple Leafs,Kraken,away,D,Conor Timmins D,17:31,0,0,1,0,0,0,0,3,0/0
Maple Leafs,Kraken,away,D,Simon Benoit D,13:35,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Kraken,away,D,Oliver Ekman-Larsson D,21:29,0,0,1,3,1,0,1,3,0/0
Maple Leafs,Kraken,away,D,Jake McCabe D,23:37,0,0,0,1,2,0,0,4,0/0
Maple Leafs,Kraken,away,D,Morgan Rielly D,20:48,0,1,3,0,2,0,0,2,0/0
Maple Leafs,Kraken,away,D,Chris Tanev D,19:42,0,0,1,0,2,0,0,0,0/0
Maple Leafs,Kraken,away,D,Conor Timmins D,17:31,0,0,1,0,0,0,0,3,0/0
Maple Leafs,Kraken,away,F,Max Domi C,14:07,0,0,0,1,0,0,1,2,7/15
Maple Leafs,Kraken,away,F,Pontus Holmberg R,08:08,0,0,-1,2,0,0,0,0,0/0
Maple Leafs,Kraken,away,F,David Kampf C,12:43,0,0,0,1,0,0,1,1,2/4
Maple Leafs,Kraken,away,F,Matthew Knies L,18:30,1,0,0,2,1,2,0,2,0/0
Maple Leafs,Kraken,away,F,Steven Lorentz C,10:05,0,0,-1,0,0,0,1,0,0/1
Maple Leafs,Kraken,away,F,Mitch Marner R,20:46,0,1,2,1,1,0,0,2,0/1
Maple Leafs,Kraken,away,F,Auston Matthews C,19:50,1,1,2,4,2,2,0,0,11/17
Maple Leafs,Kraken,away,F,Bobby McMann C,14:54,0,0,1,3,1,0,1,1,0/0
Maple Leafs,Kraken,away,F,William Nylander R,17:34,2,0,2,6,0,2,0,0,0/1
Maple Leafs,Kraken,away,F,Max Pacioretty L,14:22,0,1,2,1,0,0,0,0,1/1
Maple Leafs,Kraken,away,F,Nicholas Robertson L,11:36,0,0,0,1,1,0,1,1,0/0
Maple Leafs,Kraken,away,F,John Tavares C,15:01,0,2,2,3,0,0,0,1,9/14
Maple Leafs,Kraken,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Kraken,away,F,Simon Benoit D,13:35,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Kraken,away,F,Oliver Ekman-Larsson D,21:29,0,0,1,3,1,0,1,3,0/0
Maple Leafs,Kraken,away,F,Jake McCabe D,23:37,0,0,0,1,2,0,0,4,0/0
Maple Leafs,Kraken,away,F,Morgan Rielly D,20:48,0,1,3,0,2,0,0,2,0/0
Maple Leafs,Kraken,away,F,Chris Tanev D,19:42,0,0,1,0,2,0,0,0,0/0
Maple Leafs,Kraken,away,F,Conor Timmins D,17:31,0,0,1,0,0,0,0,3,0/0
Maple Leafs,Kraken,away,F,Max Domi C,14:07,0,0,0,1,0,0,1,2,7/15
Maple Leafs,Kraken,away,F,Pontus Holmberg R,08:08,0,0,-1,2,0,0,0,0,0/0
Maple Leafs,Kraken,away,F,David Kampf C,12:43,0,0,0,1,0,0,1,1,2/4
Maple Leafs,Kraken,away,F,Matthew Knies L,18:30,1,0,0,2,1,2,0,2,0/0
Maple Leafs,Kraken,away,F,Steven Lorentz C,10:05,0,0,-1,0,0,0,1,0,0/1
Maple Leafs,Kraken,away,F,Mitch Marner R,20:46,0,1,2,1,1,0,0,2,0/1
Maple Leafs,Kraken,away,F,Auston Matthews C,19:50,1,1,2,4,2,2,0,0,11/17
Maple Leafs,Kraken,away,F,Bobby McMann C,14:54,0,0,1,3,1,0,1,1,0/0
Maple Leafs,Kraken,away,F,William Nylander R,17:34,2,0,2,6,0,2,0,0,0/1
Maple Leafs,Kraken,away,F,Max Pacioretty L,14:22,0,1,2,1,0,0,0,0,1/1
Maple Leafs,Kraken,away,F,Nicholas Robertson L,11:36,0,0,0,1,1,0,1,1,0/0
Maple Leafs,Kraken,away,F,John Tavares C,15:01,0,2,2,3,0,0,0,1,9/14
Maple Leafs,Kraken,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Kraken,away,F,Simon Benoit D,13:35,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Kraken,away,F,Oliver Ekman-Larsson D,21:29,0,0,1,3,1,0,1,3,0/0
Maple Leafs,Kraken,away,F,Jake McCabe D,23:37,0,0,0,1,2,0,0,4,0/0
Maple Leafs,Kraken,away,F,Morgan Rielly D,20:48,0,1,3,0,2,0,0,2,0/0
Maple Leafs,Kraken,away,F,Chris Tanev D,19:42,0,0,1,0,2,0,0,0,0/0
Maple Leafs,Kraken,away,F,Conor Timmins D,17:31,0,0,1,0,0,0,0,3,0/0
