team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Blues,home,D,Simon Benoit D,15:33,0,0,0,1,1,0,2,0,0/0
Maple Leafs,Blues,home,D,Oliver Ekman-Larsson D,22:13,0,0,-1,1,2,0,0,1,0/0
Maple Leafs,Blues,home,D,Jake McCabe D,21:12,0,1,0,1,2,7,1,0,0/0
Maple Leafs,Blues,home,D,Morgan Rielly D,21:44,0,0,-2,2,3,0,1,2,0/0
Maple Leafs,Blues,home,D,Chris Tanev D,17:00,0,0,-2,1,1,2,0,0,0/0
Maple Leafs,Blues,home,D,Conor Timmins D,17:07,0,1,2,1,1,0,0,0,0/0
Maple Leafs,Blues,home,D,Simon Benoit D,15:33,0,0,0,1,1,0,2,0,0/0
Maple Leafs,Blues,home,D,Oliver Ekman-Larsson D,22:13,0,0,-1,1,2,0,0,1,0/0
Maple Leafs,Blues,home,D,Jake McCabe D,21:12,0,1,0,1,2,7,1,0,0/0
Maple Leafs,Blues,home,D,Morgan Rielly D,21:44,0,0,-2,2,3,0,1,2,0/0
Maple Leafs,Blues,home,D,Chris Tanev D,17:00,0,0,-2,1,1,2,0,0,0/0
Maple Leafs,Blues,home,D,Conor Timmins D,17:07,0,1,2,1,1,0,0,0,0/0
Maple Leafs,Blues,home,F,Max Domi C,13:16,0,0,0,2,0,0,0,0,3/7
Maple Leafs,Blues,home,F,Pontus Holmberg R,11:30,0,0,-1,2,0,5,0,1,0/1
Maple Leafs,Blues,home,F,David Kampf C,09:49,0,1,0,1,2,0,0,2,4/8
Maple Leafs,Blues,home,F,Matthew Knies L,19:21,0,0,0,2,0,0,0,1,0/0
Maple Leafs,Blues,home,F,Steven Lorentz C,08:07,1,0,1,1,1,0,0,1,1/1
Maple Leafs,Blues,home,F,Mitch Marner R,19:59,1,0,-1,6,0,4,0,1,0/0
Maple Leafs,Blues,home,F,Auston Matthews C,20:03,0,0,-1,2,0,2,0,2,14/19
Maple Leafs,Blues,home,F,Bobby McMann C,14:07,0,0,-1,3,0,0,0,0,0/0
Maple Leafs,Blues,home,F,William Nylander R,20:19,0,0,-3,4,1,0,2,0,1/1
Maple Leafs,Blues,home,F,Max Pacioretty L,15:33,0,0,-1,2,1,0,0,0,0/0
Maple Leafs,Blues,home,F,Ryan Reaves R,06:42,0,0,1,0,0,0,0,0,0/0
Maple Leafs,Blues,home,F,John Tavares C,19:21,0,0,-2,5,0,0,1,0,9/12
Maple Leafs,Blues,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Blues,home,F,Simon Benoit D,15:33,0,0,0,1,1,0,2,0,0/0
Maple Leafs,Blues,home,F,Oliver Ekman-Larsson D,22:13,0,0,-1,1,2,0,0,1,0/0
Maple Leafs,Blues,home,F,Jake McCabe D,21:12,0,1,0,1,2,7,1,0,0/0
Maple Leafs,Blues,home,F,Morgan Rielly D,21:44,0,0,-2,2,3,0,1,2,0/0
Maple Leafs,Blues,home,F,Chris Tanev D,17:00,0,0,-2,1,1,2,0,0,0/0
Maple Leafs,Blues,home,F,Conor Timmins D,17:07,0,1,2,1,1,0,0,0,0/0
Maple Leafs,Blues,home,F,Max Domi C,13:16,0,0,0,2,0,0,0,0,3/7
Maple Leafs,Blues,home,F,Pontus Holmberg R,11:30,0,0,-1,2,0,5,0,1,0/1
Maple Leafs,Blues,home,F,David Kampf C,09:49,0,1,0,1,2,0,0,2,4/8
Maple Leafs,Blues,home,F,Matthew Knies L,19:21,0,0,0,2,0,0,0,1,0/0
Maple Leafs,Blues,home,F,Steven Lorentz C,08:07,1,0,1,1,1,0,0,1,1/1
Maple Leafs,Blues,home,F,Mitch Marner R,19:59,1,0,-1,6,0,4,0,1,0/0
Maple Leafs,Blues,home,F,Auston Matthews C,20:03,0,0,-1,2,0,2,0,2,14/19
Maple Leafs,Blues,home,F,Bobby McMann C,14:07,0,0,-1,3,0,0,0,0,0/0
Maple Leafs,Blues,home,F,William Nylander R,20:19,0,0,-3,4,1,0,2,0,1/1
Maple Leafs,Blues,home,F,Max Pacioretty L,15:33,0,0,-1,2,1,0,0,0,0/0
Maple Leafs,Blues,home,F,Ryan Reaves R,06:42,0,0,1,0,0,0,0,0,0/0
Maple Leafs,Blues,home,F,John Tavares C,19:21,0,0,-2,5,0,0,1,0,9/12
Maple Leafs,Blues,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Blues,home,F,Simon Benoit D,15:33,0,0,0,1,1,0,2,0,0/0
Maple Leafs,Blues,home,F,Oliver Ekman-Larsson D,22:13,0,0,-1,1,2,0,0,1,0/0
Maple Leafs,Blues,home,F,Jake McCabe D,21:12,0,1,0,1,2,7,1,0,0/0
Maple Leafs,Blues,home,F,Morgan Rielly D,21:44,0,0,-2,2,3,0,1,2,0/0
Maple Leafs,Blues,home,F,Chris Tanev D,17:00,0,0,-2,1,1,2,0,0,0/0
Maple Leafs,Blues,home,F,Conor Timmins D,17:07,0,1,2,1,1,0,0,0,0/0
