team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Wild,home,D,Simon Benoit D,16:32,0,0,-1,1,3,0,0,2,0/0
Maple Leafs,Wild,home,D,Oliver Ekman-Larsson D,21:29,0,0,0,2,2,4,1,1,0/0
Maple Leafs,Wild,home,D,Jake McCabe D,22:20,0,0,-1,1,3,0,0,0,0/0
Maple Leafs,Wild,home,D,Morgan Rielly D,19:14,0,0,0,1,1,0,0,1,0/0
Maple Leafs,Wild,home,D,Chris Tanev D,20:24,0,0,0,1,4,2,0,0,0/0
Maple Leafs,Wild,home,D,Conor Timmins D,17:49,0,0,-1,2,2,0,0,3,0/0
Maple Leafs,Wild,home,D,Simon Benoit D,16:32,0,0,-1,1,3,0,0,2,0/0
Maple Leafs,Wild,home,D,Oliver Ekman-Larsson D,21:29,0,0,0,2,2,4,1,1,0/0
Maple Leafs,Wild,home,D,Jake McCabe D,22:20,0,0,-1,1,3,0,0,0,0/0
Maple Leafs,Wild,home,D,Morgan Rielly D,19:14,0,0,0,1,1,0,0,1,0/0
Maple Leafs,Wild,home,D,Chris Tanev D,20:24,0,0,0,1,4,2,0,0,0/0
Maple Leafs,Wild,home,D,Conor Timmins D,17:49,0,0,-1,2,2,0,0,3,0/0
Maple Leafs,Wild,home,F,Max Domi C,16:00,0,0,-1,2,1,0,0,0,6/10
Maple Leafs,Wild,home,F,David Kampf C,12:05,0,0,0,1,1,0,0,0,1/4
Maple Leafs,Wild,home,F,Matthew Knies L,19:43,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Wild,home,F,Steven Lorentz C,09:16,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Wild,home,F,Mitch Marner R,21:51,0,1,0,1,2,0,0,0,0/0
Maple Leafs,Wild,home,F,Auston Matthews C,22:12,0,1,0,3,2,0,0,0,11/20
Maple Leafs,Wild,home,F,Bobby McMann C,13:10,0,0,0,2,1,0,0,1,0/0
Maple Leafs,Wild,home,F,William Nylander R,17:46,1,0,-1,3,0,0,0,1,0/1
Maple Leafs,Wild,home,F,Max Pacioretty L,14:10,0,0,-2,3,2,0,0,1,0/1
Maple Leafs,Wild,home,F,Ryan Reaves R,06:26,0,0,0,1,1,2,0,0,0/0
Maple Leafs,Wild,home,F,Nicholas Robertson L,11:49,0,0,0,1,1,0,1,0,0/0
Maple Leafs,Wild,home,F,John Tavares C,16:26,0,0,-1,1,1,0,0,0,6/11
Maple Leafs,Wild,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Wild,home,F,Simon Benoit D,16:32,0,0,-1,1,3,0,0,2,0/0
Maple Leafs,Wild,home,F,Oliver Ekman-Larsson D,21:29,0,0,0,2,2,4,1,1,0/0
Maple Leafs,Wild,home,F,Jake McCabe D,22:20,0,0,-1,1,3,0,0,0,0/0
Maple Leafs,Wild,home,F,Morgan Rielly D,19:14,0,0,0,1,1,0,0,1,0/0
Maple Leafs,Wild,home,F,Chris Tanev D,20:24,0,0,0,1,4,2,0,0,0/0
Maple Leafs,Wild,home,F,Conor Timmins D,17:49,0,0,-1,2,2,0,0,3,0/0
Maple Leafs,Wild,home,F,Max Domi C,16:00,0,0,-1,2,1,0,0,0,6/10
Maple Leafs,Wild,home,F,David Kampf C,12:05,0,0,0,1,1,0,0,0,1/4
Maple Leafs,Wild,home,F,Matthew Knies L,19:43,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Wild,home,F,Steven Lorentz C,09:16,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Wild,home,F,Mitch Marner R,21:51,0,1,0,1,2,0,0,0,0/0
Maple Leafs,Wild,home,F,Auston Matthews C,22:12,0,1,0,3,2,0,0,0,11/20
Maple Leafs,Wild,home,F,Bobby McMann C,13:10,0,0,0,2,1,0,0,1,0/0
Maple Leafs,Wild,home,F,William Nylander R,17:46,1,0,-1,3,0,0,0,1,0/1
Maple Leafs,Wild,home,F,Max Pacioretty L,14:10,0,0,-2,3,2,0,0,1,0/1
Maple Leafs,Wild,home,F,Ryan Reaves R,06:26,0,0,0,1,1,2,0,0,0/0
Maple Leafs,Wild,home,F,Nicholas Robertson L,11:49,0,0,0,1,1,0,1,0,0/0
Maple Leafs,Wild,home,F,John Tavares C,16:26,0,0,-1,1,1,0,0,0,6/11
Maple Leafs,Wild,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Wild,home,F,Simon Benoit D,16:32,0,0,-1,1,3,0,0,2,0/0
Maple Leafs,Wild,home,F,Oliver Ekman-Larsson D,21:29,0,0,0,2,2,4,1,1,0/0
Maple Leafs,Wild,home,F,Jake McCabe D,22:20,0,0,-1,1,3,0,0,0,0/0
Maple Leafs,Wild,home,F,Morgan Rielly D,19:14,0,0,0,1,1,0,0,1,0/0
Maple Leafs,Wild,home,F,Chris Tanev D,20:24,0,0,0,1,4,2,0,0,0/0
Maple Leafs,Wild,home,F,Conor Timmins D,17:49,0,0,-1,2,2,0,0,3,0/0
