team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Bruins,away,D,Simon Benoit D,17:33,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Bruins,away,D,Oliver Ekman-Larsson D,18:57,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,D,Jake McCabe D,22:20,0,0,1,2,1,2,0,1,0/0
Maple Leafs,Bruins,away,D,Morgan Rielly D,19:57,1,2,0,2,0,0,1,1,0/0
Maple Leafs,Bruins,away,D,Chris Tanev D,16:51,0,1,1,0,3,4,0,0,0/0
Maple Leafs,Bruins,away,D,Conor Timmins D,17:13,0,0,0,0,1,0,0,0,0/0
Maple Leafs,Bruins,away,D,Simon Benoit D,17:33,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Bruins,away,D,Oliver Ekman-Larsson D,18:57,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,D,Jake McCabe D,22:20,0,0,1,2,1,2,0,1,0/0
Maple Leafs,Bruins,away,D,Morgan Rielly D,19:57,1,2,0,2,0,0,1,1,0/0
Maple Leafs,Bruins,away,D,Chris Tanev D,16:51,0,1,1,0,3,4,0,0,0/0
Maple Leafs,Bruins,away,D,Conor Timmins D,17:13,0,0,0,0,1,0,0,0,0/0
Maple Leafs,Bruins,away,F,Max Domi C,14:20,0,0,1,2,0,2,0,1,6/12
Maple Leafs,Bruins,away,F,Pontus Holmberg R,11:07,0,0,0,2,1,2,1,0,5/8
Maple Leafs,Bruins,away,F,David Kampf C,16:23,0,0,0,3,0,0,0,0,11/19
Maple Leafs,Bruins,away,F,Matthew Knies L,20:04,1,1,0,2,0,2,0,1,0/0
Maple Leafs,Bruins,away,F,Steven Lorentz C,12:12,1,0,1,1,1,0,0,0,1/1
Maple Leafs,Bruins,away,F,Mitch Marner R,20:17,0,2,0,0,1,0,1,1,0/0
Maple Leafs,Bruins,away,F,Bobby McMann C,11:00,0,0,0,1,1,0,1,1,0/3
Maple Leafs,Bruins,away,F,William Nylander R,18:47,1,1,0,3,1,0,0,0,0/2
Maple Leafs,Bruins,away,F,Max Pacioretty L,14:15,0,0,0,5,1,0,0,1,0/0
Maple Leafs,Bruins,away,F,Ryan Reaves R,08:31,0,0,1,0,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,Nicholas Robertson L,10:31,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,John Tavares C,18:03,0,0,0,2,0,0,0,1,11/17
Maple Leafs,Bruins,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Bruins,away,F,Simon Benoit D,17:33,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Bruins,away,F,Oliver Ekman-Larsson D,18:57,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,Jake McCabe D,22:20,0,0,1,2,1,2,0,1,0/0
Maple Leafs,Bruins,away,F,Morgan Rielly D,19:57,1,2,0,2,0,0,1,1,0/0
Maple Leafs,Bruins,away,F,Chris Tanev D,16:51,0,1,1,0,3,4,0,0,0/0
Maple Leafs,Bruins,away,F,Conor Timmins D,17:13,0,0,0,0,1,0,0,0,0/0
Maple Leafs,Bruins,away,F,Max Domi C,14:20,0,0,1,2,0,2,0,1,6/12
Maple Leafs,Bruins,away,F,Pontus Holmberg R,11:07,0,0,0,2,1,2,1,0,5/8
Maple Leafs,Bruins,away,F,David Kampf C,16:23,0,0,0,3,0,0,0,0,11/19
Maple Leafs,Bruins,away,F,Matthew Knies L,20:04,1,1,0,2,0,2,0,1,0/0
Maple Leafs,Bruins,away,F,Steven Lorentz C,12:12,1,0,1,1,1,0,0,0,1/1
Maple Leafs,Bruins,away,F,Mitch Marner R,20:17,0,2,0,0,1,0,1,1,0/0
Maple Leafs,Bruins,away,F,Bobby McMann C,11:00,0,0,0,1,1,0,1,1,0/3
Maple Leafs,Bruins,away,F,William Nylander R,18:47,1,1,0,3,1,0,0,0,0/2
Maple Leafs,Bruins,away,F,Max Pacioretty L,14:15,0,0,0,5,1,0,0,1,0/0
Maple Leafs,Bruins,away,F,Ryan Reaves R,08:31,0,0,1,0,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,Nicholas Robertson L,10:31,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,John Tavares C,18:03,0,0,0,2,0,0,0,1,11/17
Maple Leafs,Bruins,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Bruins,away,F,Simon Benoit D,17:33,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Bruins,away,F,Oliver Ekman-Larsson D,18:57,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Bruins,away,F,Jake McCabe D,22:20,0,0,1,2,1,2,0,1,0/0
Maple Leafs,Bruins,away,F,Morgan Rielly D,19:57,1,2,0,2,0,0,1,1,0/0
Maple Leafs,Bruins,away,F,Chris Tanev D,16:51,0,1,1,0,3,4,0,0,0/0
Maple Leafs,Bruins,away,F,Conor Timmins D,17:13,0,0,0,0,1,0,0,0,0/0
