team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Red Wings,away,D,Simon Benoit D,15:19,0,0,0,0,1,2,0,1,0/0
Maple Leafs,Red Wings,away,D,Oliver Ekman-Larsson D,19:43,0,0,1,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,D,Jake McCabe D,24:29,0,0,0,0,2,0,0,3,0/0
Maple Leafs,Red Wings,away,D,Morgan Rielly D,20:17,0,2,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,D,Chris Tanev D,22:27,0,0,1,1,4,0,0,2,0/0
Maple Leafs,Red Wings,away,D,Conor Timmins D,17:09,0,0,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,D,Simon Benoit D,15:19,0,0,0,0,1,2,0,1,0/0
Maple Leafs,Red Wings,away,D,Oliver Ekman-Larsson D,19:43,0,0,1,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,D,Jake McCabe D,24:29,0,0,0,0,2,0,0,3,0/0
Maple Leafs,Red Wings,away,D,Morgan Rielly D,20:17,0,2,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,D,Chris Tanev D,22:27,0,0,1,1,4,0,0,2,0/0
Maple Leafs,Red Wings,away,D,Conor Timmins D,17:09,0,0,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Max Domi C,16:49,0,0,0,2,1,0,0,1,8/19
Maple Leafs,Red Wings,away,F,Pontus Holmberg R,14:03,0,0,0,1,1,0,0,0,1/4
Maple Leafs,Red Wings,away,F,David Kampf C,12:29,0,0,0,1,0,0,0,0,5/12
Maple Leafs,Red Wings,away,F,Matthew Knies L,18:58,0,0,0,0,0,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Steven Lorentz C,08:58,0,0,0,0,0,0,1,0,0/1
Maple Leafs,Red Wings,away,F,Mitch Marner R,20:27,1,1,0,3,0,0,1,1,0/0
Maple Leafs,Red Wings,away,F,Bobby McMann C,13:36,0,0,0,2,0,2,0,0,1/1
Maple Leafs,Red Wings,away,F,William Nylander R,19:14,0,1,1,2,0,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Max Pacioretty L,13:41,0,0,1,1,1,0,0,1,0/0
Maple Leafs,Red Wings,away,F,Ryan Reaves R,08:37,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Nicholas Robertson L,11:52,0,0,0,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,F,John Tavares C,16:37,2,0,1,4,0,2,0,2,7/14
Maple Leafs,Red Wings,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Red Wings,away,F,Simon Benoit D,15:19,0,0,0,0,1,2,0,1,0/0
Maple Leafs,Red Wings,away,F,Oliver Ekman-Larsson D,19:43,0,0,1,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Jake McCabe D,24:29,0,0,0,0,2,0,0,3,0/0
Maple Leafs,Red Wings,away,F,Morgan Rielly D,20:17,0,2,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Chris Tanev D,22:27,0,0,1,1,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Conor Timmins D,17:09,0,0,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Max Domi C,16:49,0,0,0,2,1,0,0,1,8/19
Maple Leafs,Red Wings,away,F,Pontus Holmberg R,14:03,0,0,0,1,1,0,0,0,1/4
Maple Leafs,Red Wings,away,F,David Kampf C,12:29,0,0,0,1,0,0,0,0,5/12
Maple Leafs,Red Wings,away,F,Matthew Knies L,18:58,0,0,0,0,0,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Steven Lorentz C,08:58,0,0,0,0,0,0,1,0,0/1
Maple Leafs,Red Wings,away,F,Mitch Marner R,20:27,1,1,0,3,0,0,1,1,0/0
Maple Leafs,Red Wings,away,F,Bobby McMann C,13:36,0,0,0,2,0,2,0,0,1/1
Maple Leafs,Red Wings,away,F,William Nylander R,19:14,0,1,1,2,0,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Max Pacioretty L,13:41,0,0,1,1,1,0,0,1,0/0
Maple Leafs,Red Wings,away,F,Ryan Reaves R,08:37,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Nicholas Robertson L,11:52,0,0,0,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,F,John Tavares C,16:37,2,0,1,4,0,2,0,2,7/14
Maple Leafs,Red Wings,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Red Wings,away,F,Simon Benoit D,15:19,0,0,0,0,1,2,0,1,0/0
Maple Leafs,Red Wings,away,F,Oliver Ekman-Larsson D,19:43,0,0,1,1,1,0,0,0,0/0
Maple Leafs,Red Wings,away,F,Jake McCabe D,24:29,0,0,0,0,2,0,0,3,0/0
Maple Leafs,Red Wings,away,F,Morgan Rielly D,20:17,0,2,0,0,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Chris Tanev D,22:27,0,0,1,1,4,0,0,2,0/0
Maple Leafs,Red Wings,away,F,Conor Timmins D,17:09,0,0,0,0,4,0,0,2,0/0
