team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Senators,away,D,Simon Benoit D,16:33,0,0,0,0,1,0,2,2,0/0
Maple Leafs,Senators,away,D,Oliver Ekman-Larsson D,17:32,0,0,-3,2,1,2,0,1,0/0
Maple Leafs,Senators,away,D,Jake McCabe D,20:19,0,0,-1,0,0,0,0,0,0/0
Maple Leafs,Senators,away,D,Morgan Rielly D,22:10,0,0,-2,2,1,0,0,3,0/0
Maple Leafs,Senators,away,D,Chris Tanev D,17:39,0,0,0,1,1,0,0,2,0/0
Maple Leafs,Senators,away,D,Conor Timmins D,19:45,0,0,0,1,0,2,2,3,0/0
Maple Leafs,Senators,away,D,Simon Benoit D,16:33,0,0,0,0,1,0,2,2,0/0
Maple Leafs,Senators,away,D,Oliver Ekman-Larsson D,17:32,0,0,-3,2,1,2,0,1,0/0
Maple Leafs,Senators,away,D,Jake McCabe D,20:19,0,0,-1,0,0,0,0,0,0/0
Maple Leafs,Senators,away,D,Morgan Rielly D,22:10,0,0,-2,2,1,0,0,3,0/0
Maple Leafs,Senators,away,D,Chris Tanev D,17:39,0,0,0,1,1,0,0,2,0/0
Maple Leafs,Senators,away,D,Conor Timmins D,19:45,0,0,0,1,0,2,2,3,0/0
Maple Leafs,Senators,away,F,Connor Dewar C,08:31,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Senators,away,F,Max Domi C,17:04,0,0,-2,1,1,0,0,1,4/9
Maple Leafs,Senators,away,F,Pontus Holmberg R,10:43,0,0,0,0,1,2,0,1,6/8
Maple Leafs,Senators,away,F,David Kampf C,14:20,0,0,0,0,2,0,1,1,7/15
Maple Leafs,Senators,away,F,Matthew Knies L,20:22,0,0,-1,1,2,2,0,0,0/0
Maple Leafs,Senators,away,F,Steven Lorentz C,12:36,0,0,0,2,1,0,0,0,0/0
Maple Leafs,Senators,away,F,Mitch Marner R,21:27,0,0,-1,1,1,0,1,2,0/0
Maple Leafs,Senators,away,F,Bobby McMann C,15:02,0,0,-2,6,1,0,0,0,1/2
Maple Leafs,Senators,away,F,William Nylander R,21:48,0,0,-2,5,0,0,0,3,3/7
Maple Leafs,Senators,away,F,Ryan Reaves R,09:12,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Senators,away,F,Nicholas Robertson L,11:00,0,0,0,1,1,0,0,0,0/0
Maple Leafs,Senators,away,F,John Tavares C,20:02,0,0,-1,3,0,0,0,1,15/26
Maple Leafs,Senators,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Senators,away,F,Simon Benoit D,16:33,0,0,0,0,1,0,2,2,0/0
Maple Leafs,Senators,away,F,Oliver Ekman-Larsson D,17:32,0,0,-3,2,1,2,0,1,0/0
Maple Leafs,Senators,away,F,Jake McCabe D,20:19,0,0,-1,0,0,0,0,0,0/0
Maple Leafs,Senators,away,F,Morgan Rielly D,22:10,0,0,-2,2,1,0,0,3,0/0
Maple Leafs,Senators,away,F,Chris Tanev D,17:39,0,0,0,1,1,0,0,2,0/0
Maple Leafs,Senators,away,F,Conor Timmins D,19:45,0,0,0,1,0,2,2,3,0/0
Maple Leafs,Senators,away,F,Connor Dewar C,08:31,0,0,0,0,2,0,0,0,0/0
Maple Leafs,Senators,away,F,Max Domi C,17:04,0,0,-2,1,1,0,0,1,4/9
Maple Leafs,Senators,away,F,Pontus Holmberg R,10:43,0,0,0,0,1,2,0,1,6/8
Maple Leafs,Senators,away,F,David Kampf C,14:20,0,0,0,0,2,0,1,1,7/15
Maple Leafs,Senators,away,F,Matthew Knies L,20:22,0,0,-1,1,2,2,0,0,0/0
Maple Leafs,Senators,away,F,Steven Lorentz C,12:36,0,0,0,2,1,0,0,0,0/0
Maple Leafs,Senators,away,F,Mitch Marner R,21:27,0,0,-1,1,1,0,1,2,0/0
Maple Leafs,Senators,away,F,Bobby McMann C,15:02,0,0,-2,6,1,0,0,0,1/2
Maple Leafs,Senators,away,F,William Nylander R,21:48,0,0,-2,5,0,0,0,3,3/7
Maple Leafs,Senators,away,F,Ryan Reaves R,09:12,0,0,0,1,0,0,0,0,0/0
Maple Leafs,Senators,away,F,Nicholas Robertson L,11:00,0,0,0,1,1,0,0,0,0/0
Maple Leafs,Senators,away,F,John Tavares C,20:02,0,0,-1,3,0,0,0,1,15/26
Maple Leafs,Senators,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOSimon
Maple Leafs,Senators,away,F,Simon Benoit D,16:33,0,0,0,0,1,0,2,2,0/0
Maple Leafs,Senators,away,F,Oliver Ekman-Larsson D,17:32,0,0,-3,2,1,2,0,1,0/0
Maple Leafs,Senators,away,F,Jake McCabe D,20:19,0,0,-1,0,0,0,0,0,0/0
Maple Leafs,Senators,away,F,Morgan Rielly D,22:10,0,0,-2,2,1,0,0,3,0/0
Maple Leafs,Senators,away,F,Chris Tanev D,17:39,0,0,0,1,1,0,0,2,0/0
Maple Leafs,Senators,away,F,Conor Timmins D,19:45,0,0,0,1,0,2,2,3,0/0
