team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Capitals,home,D,Oliver Ekman-Larsson D,20:55,0,0,0,2,0,0,1,1,0/0
Maple Leafs,Capitals,home,D,Jani Hakanpää D,15:36,0,0,-1,2,1,0,0,2,0/0
Maple Leafs,Capitals,home,D,Jake McCabe D,24:01,0,0,0,1,3,0,0,0,0/0
Maple Leafs,Capitals,home,D,Morgan Rielly D,23:08,0,1,0,5,2,0,1,1,0/0
Maple Leafs,Capitals,home,D,Chris Tanev D,20:15,0,0,-1,0,4,0,0,0,0/0
Maple Leafs,Capitals,home,D,Conor Timmins D,16:44,0,0,1,0,1,0,0,0,0/0
Maple Leafs,Capitals,home,D,Oliver Ekman-Larsson D,20:55,0,0,0,2,0,0,1,1,0/0
Maple Leafs,Capitals,home,D,Jani Hakanpää D,15:36,0,0,-1,2,1,0,0,2,0/0
Maple Leafs,Capitals,home,D,Jake McCabe D,24:01,0,0,0,1,3,0,0,0,0/0
Maple Leafs,Capitals,home,D,Morgan Rielly D,23:08,0,1,0,5,2,0,1,1,0/0
Maple Leafs,Capitals,home,D,Chris Tanev D,20:15,0,0,-1,0,4,0,0,0,0/0
Maple Leafs,Capitals,home,D,Conor Timmins D,16:44,0,0,1,0,1,0,0,0,0/0
Maple Leafs,Capitals,home,F,Connor Dewar C,07:44,0,0,0,3,1,0,0,1,0/0
Maple Leafs,Capitals,home,F,Max Domi C,20:58,0,0,-1,2,0,0,1,1,4/10
Maple Leafs,Capitals,home,F,Pontus Holmberg R,14:38,0,1,0,0,0,2,0,0,0/0
Maple Leafs,Capitals,home,F,David Kampf C,14:21,0,0,0,0,0,0,0,0,5/9
Maple Leafs,Capitals,home,F,Matthew Knies L,20:33,0,1,-1,2,0,0,0,0,0/0
Maple Leafs,Capitals,home,F,Steven Lorentz C,08:34,0,0,0,1,0,0,1,1,0/2
Maple Leafs,Capitals,home,F,Mitch Marner R,22:24,1,1,1,2,0,0,1,2,0/1
Maple Leafs,Capitals,home,F,Bobby McMann C,18:24,1,0,0,8,1,0,0,1,0/0
Maple Leafs,Capitals,home,F,William Nylander R,22:16,1,1,-1,2,0,0,0,0,5/9
Maple Leafs,Capitals,home,F,Ryan Reaves R,06:22,0,0,0,0,0,0,0,0,0/0
Maple Leafs,Capitals,home,F,Alex Steeves C,14:09,0,0,0,3,1,0,0,0,0/0
Maple Leafs,Capitals,home,F,John Tavares C,20:56,1,1,1,1,1,0,0,0,11/23
Maple Leafs,Capitals,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOOliver
Maple Leafs,Capitals,home,F,Oliver Ekman-Larsson D,20:55,0,0,0,2,0,0,1,1,0/0
Maple Leafs,Capitals,home,F,Jani Hakanpää D,15:36,0,0,-1,2,1,0,0,2,0/0
Maple Leafs,Capitals,home,F,Jake McCabe D,24:01,0,0,0,1,3,0,0,0,0/0
Maple Leafs,Capitals,home,F,Morgan Rielly D,23:08,0,1,0,5,2,0,1,1,0/0
Maple Leafs,Capitals,home,F,Chris Tanev D,20:15,0,0,-1,0,4,0,0,0,0/0
Maple Leafs,Capitals,home,F,Conor Timmins D,16:44,0,0,1,0,1,0,0,0,0/0
Maple Leafs,Capitals,home,F,Connor Dewar C,07:44,0,0,0,3,1,0,0,1,0/0
Maple Leafs,Capitals,home,F,Max Domi C,20:58,0,0,-1,2,0,0,1,1,4/10
Maple Leafs,Capitals,home,F,Pontus Holmberg R,14:38,0,1,0,0,0,2,0,0,0/0
Maple Leafs,Capitals,home,F,David Kampf C,14:21,0,0,0,0,0,0,0,0,5/9
Maple Leafs,Capitals,home,F,Matthew Knies L,20:33,0,1,-1,2,0,0,0,0,0/0
Maple Leafs,Capitals,home,F,Steven Lorentz C,08:34,0,0,0,1,0,0,1,1,0/2
Maple Leafs,Capitals,home,F,Mitch Marner R,22:24,1,1,1,2,0,0,1,2,0/1
Maple Leafs,Capitals,home,F,Bobby McMann C,18:24,1,0,0,8,1,0,0,1,0/0
Maple Leafs,Capitals,home,F,William Nylander R,22:16,1,1,-1,2,0,0,0,0,5/9
Maple Leafs,Capitals,home,F,Ryan Reaves R,06:22,0,0,0,0,0,0,0,0,0/0
Maple Leafs,Capitals,home,F,Alex Steeves C,14:09,0,0,0,3,1,0,0,0,0/0
Maple Leafs,Capitals,home,F,John Tavares C,20:56,1,1,1,1,1,0,0,0,11/23
Maple Leafs,Capitals,home,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOOliver
Maple Leafs,Capitals,home,F,Oliver Ekman-Larsson D,20:55,0,0,0,2,0,0,1,1,0/0
Maple Leafs,Capitals,home,F,Jani Hakanpää D,15:36,0,0,-1,2,1,0,0,2,0/0
Maple Leafs,Capitals,home,F,Jake McCabe D,24:01,0,0,0,1,3,0,0,0,0/0
Maple Leafs,Capitals,home,F,Morgan Rielly D,23:08,0,1,0,5,2,0,1,1,0/0
Maple Leafs,Capitals,home,F,Chris Tanev D,20:15,0,0,-1,0,4,0,0,0,0/0
Maple Leafs,Capitals,home,F,Conor Timmins D,16:44,0,0,1,0,1,0,0,0,0/0
