team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Maple Leafs,Oilers,away,D,Oliver Ekman-Larsson D,22:28,0,1,2,1,2,0,1,3,0/0
Maple Leafs,Oilers,away,D,Jani Hakanpää D,12:34,0,0,0,0,3,0,0,4,0/0
Maple Leafs,Oilers,away,D,Jake McCabe D,22:45,0,0,0,1,5,0,0,1,0/0
Maple Leafs,Oilers,away,D,Morgan Rielly D,20:13,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Oilers,away,D,Chris Tanev D,19:14,0,0,0,1,8,0,0,1,0/0
Maple Leafs,Oilers,away,D,Conor Timmins D,17:52,0,0,1,2,0,0,1,1,0/0
Maple Leafs,Oilers,away,D,Oliver Ekman-Larsson D,22:28,0,1,2,1,2,0,1,3,0/0
Maple Leafs,Oilers,away,D,Jani Hakanpää D,12:34,0,0,0,0,3,0,0,4,0/0
Maple Leafs,Oilers,away,D,Jake McCabe D,22:45,0,0,0,1,5,0,0,1,0/0
Maple Leafs,Oilers,away,D,Morgan Rielly D,20:13,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Oilers,away,D,Chris Tanev D,19:14,0,0,0,1,8,0,0,1,0/0
Maple Leafs,Oilers,away,D,Conor Timmins D,17:52,0,0,1,2,0,0,1,1,0/0
Maple Leafs,Oilers,away,F,Connor Dewar C,08:40,0,0,0,0,0,0,0,1,0/0
Maple Leafs,Oilers,away,F,Max Domi C,14:42,0,0,0,1,1,0,1,2,1/3
Maple Leafs,Oilers,away,F,Pontus Holmberg R,13:02,0,0,-1,0,2,0,0,0,0/1
Maple Leafs,Oilers,away,F,David Kampf C,14:22,0,0,0,0,1,0,0,1,4/10
Maple Leafs,Oilers,away,F,Matthew Knies L,21:05,1,0,0,1,0,0,0,0,0/0
Maple Leafs,Oilers,away,F,Steven Lorentz C,06:46,0,0,0,0,0,0,0,0,0/1
Maple Leafs,Oilers,away,F,Mitch Marner R,24:00,1,1,3,3,0,0,1,0,0/0
Maple Leafs,Oilers,away,F,Bobby McMann C,19:06,2,0,2,3,2,0,0,0,0/1
Maple Leafs,Oilers,away,F,William Nylander R,21:18,0,0,-1,4,0,0,0,0,4/7
Maple Leafs,Oilers,away,F,Ryan Reaves R,03:54,0,0,0,0,0,15,0,0,0/0
Maple Leafs,Oilers,away,F,Nicholas Robertson L,12:05,0,0,0,3,0,0,0,0,0/0
Maple Leafs,Oilers,away,F,John Tavares C,22:35,0,1,2,1,1,2,0,0,10/20
Maple Leafs,Oilers,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOOliver
Maple Leafs,Oilers,away,F,Oliver Ekman-Larsson D,22:28,0,1,2,1,2,0,1,3,0/0
Maple Leafs,Oilers,away,F,Jani Hakanpää D,12:34,0,0,0,0,3,0,0,4,0/0
Maple Leafs,Oilers,away,F,Jake McCabe D,22:45,0,0,0,1,5,0,0,1,0/0
Maple Leafs,Oilers,away,F,Morgan Rielly D,20:13,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Oilers,away,F,Chris Tanev D,19:14,0,0,0,1,8,0,0,1,0/0
Maple Leafs,Oilers,away,F,Conor Timmins D,17:52,0,0,1,2,0,0,1,1,0/0
Maple Leafs,Oilers,away,F,Connor Dewar C,08:40,0,0,0,0,0,0,0,1,0/0
Maple Leafs,Oilers,away,F,Max Domi C,14:42,0,0,0,1,1,0,1,2,1/3
Maple Leafs,Oilers,away,F,Pontus Holmberg R,13:02,0,0,-1,0,2,0,0,0,0/1
Maple Leafs,Oilers,away,F,David Kampf C,14:22,0,0,0,0,1,0,0,1,4/10
Maple Leafs,Oilers,away,F,Matthew Knies L,21:05,1,0,0,1,0,0,0,0,0/0
Maple Leafs,Oilers,away,F,Steven Lorentz C,06:46,0,0,0,0,0,0,0,0,0/1
Maple Leafs,Oilers,away,F,Mitch Marner R,24:00,1,1,3,3,0,0,1,0,0/0
Maple Leafs,Oilers,away,F,Bobby McMann C,19:06,2,0,2,3,2,0,0,0,0/1
Maple Leafs,Oilers,away,F,William Nylander R,21:18,0,0,-1,4,0,0,0,0,4/7
Maple Leafs,Oilers,away,F,Ryan Reaves R,03:54,0,0,0,0,0,15,0,0,0/0
Maple Leafs,Oilers,away,F,Nicholas Robertson L,12:05,0,0,0,3,0,0,0,0,0/0
Maple Leafs,Oilers,away,F,John Tavares C,22:35,0,1,2,1,1,2,0,0,10/20
Maple Leafs,Oilers,away,F,Maple Leafs Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOOliver
Maple Leafs,Oilers,away,F,Oliver Ekman-Larsson D,22:28,0,1,2,1,2,0,1,3,0/0
Maple Leafs,Oilers,away,F,Jani Hakanpää D,12:34,0,0,0,0,3,0,0,4,0/0
Maple Leafs,Oilers,away,F,Jake McCabe D,22:45,0,0,0,1,5,0,0,1,0/0
Maple Leafs,Oilers,away,F,Morgan Rielly D,20:13,0,0,0,1,2,0,0,0,0/0
Maple Leafs,Oilers,away,F,Chris Tanev D,19:14,0,0,0,1,8,0,0,1,0/0
Maple Leafs,Oilers,away,F,Conor Timmins D,17:52,0,0,1,2,0,0,1,1,0/0
