team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Oilers,Flames,away,D,Evan Bouchard D,24:17,0,0,-1,1,3,0,1,4,0/0
Oilers,Flames,away,D,Travis Dermott D,16:57,0,0,-2,0,1,0,1,3,0/0
Oilers,Flames,away,D,Mattias Ekholm D,25:57,0,1,-2,3,1,0,0,1,0/0
Oilers,Flames,away,D,Brett Kulak D,15:20,0,0,0,1,0,0,1,2,0/0
Oilers,Flames,away,D,Darnell Nurse D,21:39,0,0,-1,3,5,0,0,1,0/0
Oilers,Flames,away,D,Troy Stecher D,14:58,0,0,0,1,2,0,1,0,0/0
Oilers,Flames,away,D,Evan Bouchard D,24:17,0,0,-1,1,3,0,1,4,0/0
Oilers,Flames,away,D,Travis Dermott D,16:57,0,0,-2,0,1,0,1,3,0/0
Oilers,Flames,away,D,Mattias Ekholm D,25:57,0,1,-2,3,1,0,0,1,0/0
Oilers,Flames,away,D,Brett Kulak D,15:20,0,0,0,1,0,0,1,2,0/0
Oilers,Flames,away,D,Darnell Nurse D,21:39,0,0,-1,3,5,0,0,1,0/0
Oilers,Flames,away,D,Troy Stecher D,14:58,0,0,0,1,2,0,1,0,0/0
Oilers,Flames,away,F,Viktor Arvidsson L,14:36,0,0,0,1,1,0,0,2,0/1
Oilers,Flames,away,F,Connor Brown R,13:35,0,0,-1,0,0,0,1,1,0/0
Oilers,Flames,away,F,Leon Draisaitl C,20:36,0,0,-1,1,2,2,0,2,10/13
Oilers,Flames,away,F,Adam Henrique C,14:49,0,0,-1,1,1,0,0,1,8/16
Oilers,Flames,away,F,Zach Hyman L,19:02,0,0,-2,2,0,2,0,1,0/1
Oilers,Flames,away,F,Mattias Janmark C,10:11,0,0,0,0,0,0,0,0,1/1
Oilers,Flames,away,F,Connor McDavid C,20:27,0,1,-2,5,0,0,0,0,5/12
Oilers,Flames,away,F,Ryan Nugent-Hopkins C,18:32,0,0,-1,1,0,0,1,2,1/2
Oilers,Flames,away,F,Corey Perry R,10:28,0,0,0,0,0,0,1,0,0/0
Oilers,Flames,away,F,Vasily Podkolzin R,11:55,0,0,-1,0,0,0,0,0,0/0
Oilers,Flames,away,F,Derek Ryan C,07:14,0,0,0,0,1,2,0,0,4/6
Oilers,Flames,away,F,Jeff Skinner C,15:38,1,0,-1,6,0,0,1,0,0/0
Oilers,Flames,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Flames,away,F,Evan Bouchard D,24:17,0,0,-1,1,3,0,1,4,0/0
Oilers,Flames,away,F,Travis Dermott D,16:57,0,0,-2,0,1,0,1,3,0/0
Oilers,Flames,away,F,Mattias Ekholm D,25:57,0,1,-2,3,1,0,0,1,0/0
Oilers,Flames,away,F,Brett Kulak D,15:20,0,0,0,1,0,0,1,2,0/0
Oilers,Flames,away,F,Darnell Nurse D,21:39,0,0,-1,3,5,0,0,1,0/0
Oilers,Flames,away,F,Troy Stecher D,14:58,0,0,0,1,2,0,1,0,0/0
Oilers,Flames,away,F,Viktor Arvidsson L,14:36,0,0,0,1,1,0,0,2,0/1
Oilers,Flames,away,F,Connor Brown R,13:35,0,0,-1,0,0,0,1,1,0/0
Oilers,Flames,away,F,Leon Draisaitl C,20:36,0,0,-1,1,2,2,0,2,10/13
Oilers,Flames,away,F,Adam Henrique C,14:49,0,0,-1,1,1,0,0,1,8/16
Oilers,Flames,away,F,Zach Hyman L,19:02,0,0,-2,2,0,2,0,1,0/1
Oilers,Flames,away,F,Mattias Janmark C,10:11,0,0,0,0,0,0,0,0,1/1
Oilers,Flames,away,F,Connor McDavid C,20:27,0,1,-2,5,0,0,0,0,5/12
Oilers,Flames,away,F,Ryan Nugent-Hopkins C,18:32,0,0,-1,1,0,0,1,2,1/2
Oilers,Flames,away,F,Corey Perry R,10:28,0,0,0,0,0,0,1,0,0/0
Oilers,Flames,away,F,Vasily Podkolzin R,11:55,0,0,-1,0,0,0,0,0,0/0
Oilers,Flames,away,F,Derek Ryan C,07:14,0,0,0,0,1,2,0,0,4/6
Oilers,Flames,away,F,Jeff Skinner C,15:38,1,0,-1,6,0,0,1,0,0/0
Oilers,Flames,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Flames,away,F,Evan Bouchard D,24:17,0,0,-1,1,3,0,1,4,0/0
Oilers,Flames,away,F,Travis Dermott D,16:57,0,0,-2,0,1,0,1,3,0/0
Oilers,Flames,away,F,Mattias Ekholm D,25:57,0,1,-2,3,1,0,0,1,0/0
Oilers,Flames,away,F,Brett Kulak D,15:20,0,0,0,1,0,0,1,2,0/0
Oilers,Flames,away,F,Darnell Nurse D,21:39,0,0,-1,3,5,0,0,1,0/0
Oilers,Flames,away,F,Troy Stecher D,14:58,0,0,0,1,2,0,1,0,0/0
