team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Oilers,Flames,home,D,Evan Bouchard D,24:46,0,0,2,1,3,0,0,2,0/0
Oilers,Flames,home,D,Travis Dermott D,12:37,0,0,0,0,3,0,0,0,0/0
Oilers,Flames,home,D,Mattias Ekholm D,24:40,0,0,3,1,3,2,1,0,0/0
Oilers,Flames,home,D,Ty Emberson D,13:12,0,0,-1,1,3,0,0,0,0/0
Oilers,Flames,home,D,Brett Kulak D,20:51,0,0,-1,1,1,0,0,3,0/0
Oilers,Flames,home,D,Darnell Nurse D,23:21,0,1,1,4,4,0,0,0,0/0
Oilers,Flames,home,D,Evan Bouchard D,24:46,0,0,2,1,3,0,0,2,0/0
Oilers,Flames,home,D,Travis Dermott D,12:37,0,0,0,0,3,0,0,0,0/0
Oilers,Flames,home,D,Mattias Ekholm D,24:40,0,0,3,1,3,2,1,0,0/0
Oilers,Flames,home,D,Ty Emberson D,13:12,0,0,-1,1,3,0,0,0,0/0
Oilers,Flames,home,D,Brett Kulak D,20:51,0,0,-1,1,1,0,0,3,0/0
Oilers,Flames,home,D,Darnell Nurse D,23:21,0,1,1,4,4,0,0,0,0/0
Oilers,Flames,home,F,Viktor Arvidsson L,16:52,0,0,1,3,0,2,0,0,0/1
Oilers,Flames,home,F,Connor Brown R,14:29,0,0,0,3,1,0,0,0,0/0
Oilers,Flames,home,F,Drake Caggiula L,06:44,0,0,0,1,1,0,0,1,1/1
Oilers,Flames,home,F,Leon Draisaitl C,21:23,1,2,2,3,0,0,0,1,15/25
Oilers,Flames,home,F,Adam Henrique C,13:23,0,0,1,0,2,2,0,0,5/13
Oilers,Flames,home,F,Zach Hyman L,20:00,1,1,1,3,1,0,0,0,0/0
Oilers,Flames,home,F,Mattias Janmark C,15:36,1,0,1,2,0,0,0,0,0/0
Oilers,Flames,home,F,Ryan Nugent-Hopkins C,21:09,0,1,0,2,0,0,1,1,7/11
Oilers,Flames,home,F,Corey Perry R,07:27,0,0,-1,0,2,0,0,0,0/0
Oilers,Flames,home,F,Noah Philp C,08:46,0,0,0,1,0,0,0,0,1/9
Oilers,Flames,home,F,Vasily Podkolzin R,16:03,0,1,1,4,0,0,0,1,0/2
Oilers,Flames,home,F,Jeff Skinner L,14:45,1,0,0,1,1,0,0,1,0/0
Oilers,Flames,home,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Flames,home,F,Evan Bouchard D,24:46,0,0,2,1,3,0,0,2,0/0
Oilers,Flames,home,F,Travis Dermott D,12:37,0,0,0,0,3,0,0,0,0/0
Oilers,Flames,home,F,Mattias Ekholm D,24:40,0,0,3,1,3,2,1,0,0/0
Oilers,Flames,home,F,Ty Emberson D,13:12,0,0,-1,1,3,0,0,0,0/0
Oilers,Flames,home,F,Brett Kulak D,20:51,0,0,-1,1,1,0,0,3,0/0
Oilers,Flames,home,F,Darnell Nurse D,23:21,0,1,1,4,4,0,0,0,0/0
Oilers,Flames,home,F,Viktor Arvidsson L,16:52,0,0,1,3,0,2,0,0,0/1
Oilers,Flames,home,F,Connor Brown R,14:29,0,0,0,3,1,0,0,0,0/0
Oilers,Flames,home,F,Drake Caggiula L,06:44,0,0,0,1,1,0,0,1,1/1
Oilers,Flames,home,F,Leon Draisaitl C,21:23,1,2,2,3,0,0,0,1,15/25
Oilers,Flames,home,F,Adam Henrique C,13:23,0,0,1,0,2,2,0,0,5/13
Oilers,Flames,home,F,Zach Hyman L,20:00,1,1,1,3,1,0,0,0,0/0
Oilers,Flames,home,F,Mattias Janmark C,15:36,1,0,1,2,0,0,0,0,0/0
Oilers,Flames,home,F,Ryan Nugent-Hopkins C,21:09,0,1,0,2,0,0,1,1,7/11
Oilers,Flames,home,F,Corey Perry R,07:27,0,0,-1,0,2,0,0,0,0/0
Oilers,Flames,home,F,Noah Philp C,08:46,0,0,0,1,0,0,0,0,1/9
Oilers,Flames,home,F,Vasily Podkolzin R,16:03,0,1,1,4,0,0,0,1,0/2
Oilers,Flames,home,F,Jeff Skinner L,14:45,1,0,0,1,1,0,0,1,0/0
Oilers,Flames,home,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Flames,home,F,Evan Bouchard D,24:46,0,0,2,1,3,0,0,2,0/0
Oilers,Flames,home,F,Travis Dermott D,12:37,0,0,0,0,3,0,0,0,0/0
Oilers,Flames,home,F,Mattias Ekholm D,24:40,0,0,3,1,3,2,1,0,0/0
Oilers,Flames,home,F,Ty Emberson D,13:12,0,0,-1,1,3,0,0,0,0/0
Oilers,Flames,home,F,Brett Kulak D,20:51,0,0,-1,1,1,0,0,3,0/0
Oilers,Flames,home,F,Darnell Nurse D,23:21,0,1,1,4,4,0,0,0,0/0
