team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Oilers,Golden Knights,away,D,Evan Bouchard D,21:36,0,0,-2,1,3,0,0,1,0/0
Oilers,Golden Knights,away,D,Mattias Ekholm D,22:28,0,0,-2,1,0,0,0,0,0/0
Oilers,Golden Knights,away,D,Ty Emberson D,13:57,0,0,0,0,0,0,1,0,0/0
Oilers,Golden Knights,away,D,Brett Kulak D,23:48,1,0,1,3,0,0,0,0,0/0
Oilers,Golden Knights,away,D,Darnell Nurse D,23:53,0,1,1,2,3,0,1,1,0/0
Oilers,Golden Knights,away,D,Troy Stecher D,12:57,0,0,0,2,1,2,0,2,0/0
Oilers,Golden Knights,away,D,Evan Bouchard D,21:36,0,0,-2,1,3,0,0,1,0/0
Oilers,Golden Knights,away,D,Mattias Ekholm D,22:28,0,0,-2,1,0,0,0,0,0/0
Oilers,Golden Knights,away,D,Ty Emberson D,13:57,0,0,0,0,0,0,1,0,0/0
Oilers,Golden Knights,away,D,Brett Kulak D,23:48,1,0,1,3,0,0,0,0,0/0
Oilers,Golden Knights,away,D,Darnell Nurse D,23:53,0,1,1,2,3,0,1,1,0/0
Oilers,Golden Knights,away,D,Troy Stecher D,12:57,0,0,0,2,1,2,0,2,0/0
Oilers,Golden Knights,away,F,Viktor Arvidsson L,13:50,0,0,0,5,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Connor Brown R,14:08,0,1,1,1,1,0,2,0,0/0
Oilers,Golden Knights,away,F,Leon Draisaitl C,19:58,0,0,-1,2,0,0,2,1,8/16
Oilers,Golden Knights,away,F,Adam Henrique C,14:49,0,0,1,2,1,0,0,1,1/2
Oilers,Golden Knights,away,F,Zach Hyman L,18:46,1,0,-2,1,1,0,0,0,0/0
Oilers,Golden Knights,away,F,Mattias Janmark C,10:34,0,0,0,0,0,0,1,0,0/1
Oilers,Golden Knights,away,F,Connor McDavid C,21:02,0,0,-1,2,0,0,1,0,8/13
Oilers,Golden Knights,away,F,Ryan Nugent-Hopkins C,15:44,0,0,0,3,1,2,0,0,5/10
Oilers,Golden Knights,away,F,Corey Perry R,11:43,0,0,0,0,1,0,0,0,0/0
Oilers,Golden Knights,away,F,Vasily Podkolzin R,12:37,0,0,-1,1,0,0,0,1,0/2
Oilers,Golden Knights,away,F,Derek Ryan C,11:07,0,0,0,0,0,0,0,0,6/11
Oilers,Golden Knights,away,F,Jeff Skinner L,14:10,0,0,-1,3,0,0,0,1,1/2
Oilers,Golden Knights,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Golden Knights,away,F,Evan Bouchard D,21:36,0,0,-2,1,3,0,0,1,0/0
Oilers,Golden Knights,away,F,Mattias Ekholm D,22:28,0,0,-2,1,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Ty Emberson D,13:57,0,0,0,0,0,0,1,0,0/0
Oilers,Golden Knights,away,F,Brett Kulak D,23:48,1,0,1,3,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Darnell Nurse D,23:53,0,1,1,2,3,0,1,1,0/0
Oilers,Golden Knights,away,F,Troy Stecher D,12:57,0,0,0,2,1,2,0,2,0/0
Oilers,Golden Knights,away,F,Viktor Arvidsson L,13:50,0,0,0,5,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Connor Brown R,14:08,0,1,1,1,1,0,2,0,0/0
Oilers,Golden Knights,away,F,Leon Draisaitl C,19:58,0,0,-1,2,0,0,2,1,8/16
Oilers,Golden Knights,away,F,Adam Henrique C,14:49,0,0,1,2,1,0,0,1,1/2
Oilers,Golden Knights,away,F,Zach Hyman L,18:46,1,0,-2,1,1,0,0,0,0/0
Oilers,Golden Knights,away,F,Mattias Janmark C,10:34,0,0,0,0,0,0,1,0,0/1
Oilers,Golden Knights,away,F,Connor McDavid C,21:02,0,0,-1,2,0,0,1,0,8/13
Oilers,Golden Knights,away,F,Ryan Nugent-Hopkins C,15:44,0,0,0,3,1,2,0,0,5/10
Oilers,Golden Knights,away,F,Corey Perry R,11:43,0,0,0,0,1,0,0,0,0/0
Oilers,Golden Knights,away,F,Vasily Podkolzin R,12:37,0,0,-1,1,0,0,0,1,0/2
Oilers,Golden Knights,away,F,Derek Ryan C,11:07,0,0,0,0,0,0,0,0,6/11
Oilers,Golden Knights,away,F,Jeff Skinner L,14:10,0,0,-1,3,0,0,0,1,1/2
Oilers,Golden Knights,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Golden Knights,away,F,Evan Bouchard D,21:36,0,0,-2,1,3,0,0,1,0/0
Oilers,Golden Knights,away,F,Mattias Ekholm D,22:28,0,0,-2,1,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Ty Emberson D,13:57,0,0,0,0,0,0,1,0,0/0
Oilers,Golden Knights,away,F,Brett Kulak D,23:48,1,0,1,3,0,0,0,0,0/0
Oilers,Golden Knights,away,F,Darnell Nurse D,23:53,0,1,1,2,3,0,1,1,0/0
Oilers,Golden Knights,away,F,Troy Stecher D,12:57,0,0,0,2,1,2,0,2,0/0
