team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Oilers,Canucks,home,D,Evan Bouchard D,21:36,0,0,0,3,0,2,0,2,0/0
Oilers,Canucks,home,D,Mattias Ekholm D,20:16,0,0,1,2,1,0,1,0,0/0
Oilers,Canucks,home,D,Ty Emberson D,15:14,0,1,1,0,0,0,1,1,0/0
Oilers,Canucks,home,D,Brett Kulak D,20:03,1,1,2,2,1,0,0,4,0/0
Oilers,Canucks,home,D,Darnell Nurse D,22:07,0,0,2,1,1,2,0,1,0/0
Oilers,Canucks,home,D,Troy Stecher D,16:46,0,0,1,0,0,0,0,2,0/0
Oilers,Canucks,home,D,Evan Bouchard D,21:36,0,0,0,3,0,2,0,2,0/0
Oilers,Canucks,home,D,Mattias Ekholm D,20:16,0,0,1,2,1,0,1,0,0/0
Oilers,Canucks,home,D,Ty Emberson D,15:14,0,1,1,0,0,0,1,1,0/0
Oilers,Canucks,home,D,Brett Kulak D,20:03,1,1,2,2,1,0,0,4,0/0
Oilers,Canucks,home,D,Darnell Nurse D,22:07,0,0,2,1,1,2,0,1,0/0
Oilers,Canucks,home,D,Troy Stecher D,16:46,0,0,1,0,0,0,0,2,0/0
Oilers,Canucks,home,F,Viktor Arvidsson L,13:51,1,0,1,2,0,0,0,0,0/1
Oilers,Canucks,home,F,Connor Brown R,15:01,2,0,2,5,0,0,0,1,0/1
Oilers,Canucks,home,F,Leon Draisaitl C,19:18,1,1,2,4,0,0,0,1,13/23
Oilers,Canucks,home,F,Adam Henrique C,14:00,0,1,2,0,1,0,0,0,3/3
Oilers,Canucks,home,F,Zach Hyman L,17:25,0,2,0,2,1,0,0,2,0/0
Oilers,Canucks,home,F,Mattias Janmark C,12:53,0,3,2,0,0,0,0,1,0/0
Oilers,Canucks,home,F,Connor McDavid C,19:56,1,2,1,4,0,0,0,1,4/13
Oilers,Canucks,home,F,Ryan Nugent-Hopkins C,19:17,0,1,1,2,1,0,1,1,5/10
Oilers,Canucks,home,F,Corey Perry R,12:54,1,0,1,1,1,0,0,0,0/1
Oilers,Canucks,home,F,Vasily Podkolzin R,13:50,0,0,1,1,0,0,0,2,0/0
Oilers,Canucks,home,F,Derek Ryan C,10:18,0,1,1,1,2,0,0,0,3/8
Oilers,Canucks,home,F,Jeff Skinner L,12:17,0,0,-1,1,0,0,0,0,0/0
Oilers,Canucks,home,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Canucks,home,F,Evan Bouchard D,21:36,0,0,0,3,0,2,0,2,0/0
Oilers,Canucks,home,F,Mattias Ekholm D,20:16,0,0,1,2,1,0,1,0,0/0
Oilers,Canucks,home,F,Ty Emberson D,15:14,0,1,1,0,0,0,1,1,0/0
Oilers,Canucks,home,F,Brett Kulak D,20:03,1,1,2,2,1,0,0,4,0/0
Oilers,Canucks,home,F,Darnell Nurse D,22:07,0,0,2,1,1,2,0,1,0/0
Oilers,Canucks,home,F,Troy Stecher D,16:46,0,0,1,0,0,0,0,2,0/0
Oilers,Canucks,home,F,Viktor Arvidsson L,13:51,1,0,1,2,0,0,0,0,0/1
Oilers,Canucks,home,F,Connor Brown R,15:01,2,0,2,5,0,0,0,1,0/1
Oilers,Canucks,home,F,Leon Draisaitl C,19:18,1,1,2,4,0,0,0,1,13/23
Oilers,Canucks,home,F,Adam Henrique C,14:00,0,1,2,0,1,0,0,0,3/3
Oilers,Canucks,home,F,Zach Hyman L,17:25,0,2,0,2,1,0,0,2,0/0
Oilers,Canucks,home,F,Mattias Janmark C,12:53,0,3,2,0,0,0,0,1,0/0
Oilers,Canucks,home,F,Connor McDavid C,19:56,1,2,1,4,0,0,0,1,4/13
Oilers,Canucks,home,F,Ryan Nugent-Hopkins C,19:17,0,1,1,2,1,0,1,1,5/10
Oilers,Canucks,home,F,Corey Perry R,12:54,1,0,1,1,1,0,0,0,0/1
Oilers,Canucks,home,F,Vasily Podkolzin R,13:50,0,0,1,1,0,0,0,2,0/0
Oilers,Canucks,home,F,Derek Ryan C,10:18,0,1,1,1,2,0,0,0,3/8
Oilers,Canucks,home,F,Jeff Skinner L,12:17,0,0,-1,1,0,0,0,0,0/0
Oilers,Canucks,home,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Canucks,home,F,Evan Bouchard D,21:36,0,0,0,3,0,2,0,2,0/0
Oilers,Canucks,home,F,Mattias Ekholm D,20:16,0,0,1,2,1,0,1,0,0/0
Oilers,Canucks,home,F,Ty Emberson D,15:14,0,1,1,0,0,0,1,1,0/0
Oilers,Canucks,home,F,Brett Kulak D,20:03,1,1,2,2,1,0,0,4,0/0
Oilers,Canucks,home,F,Darnell Nurse D,22:07,0,0,2,1,1,2,0,1,0/0
Oilers,Canucks,home,F,Troy Stecher D,16:46,0,0,1,0,0,0,0,2,0/0
