team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Oilers,Islanders,away,D,Evan Bouchard D,24:35,1,2,0,8,3,0,1,2,0/0
Oilers,Islanders,away,D,Mattias Ekholm D,24:38,0,1,-1,6,0,0,0,1,0/0
Oilers,Islanders,away,D,Ty Emberson D,12:34,0,0,0,0,0,0,0,0,0/0
Oilers,Islanders,away,D,Brett Kulak D,20:54,0,0,-1,0,0,0,0,0,0/0
Oilers,Islanders,away,D,Darnell Nurse D,23:27,0,0,0,2,2,0,1,2,0/0
Oilers,Islanders,away,D,Troy Stecher D,13:30,0,0,1,2,1,0,0,1,0/0
Oilers,Islanders,away,D,Evan Bouchard D,24:35,1,2,0,8,3,0,1,2,0/0
Oilers,Islanders,away,D,Mattias Ekholm D,24:38,0,1,-1,6,0,0,0,1,0/0
Oilers,Islanders,away,D,Ty Emberson D,12:34,0,0,0,0,0,0,0,0,0/0
Oilers,Islanders,away,D,Brett Kulak D,20:54,0,0,-1,0,0,0,0,0,0/0
Oilers,Islanders,away,D,Darnell Nurse D,23:27,0,0,0,2,2,0,1,2,0/0
Oilers,Islanders,away,D,Troy Stecher D,13:30,0,0,1,2,1,0,0,1,0/0
Oilers,Islanders,away,F,Viktor Arvidsson L,14:04,0,0,0,2,0,0,0,1,0/0
Oilers,Islanders,away,F,Connor Brown R,13:01,0,0,-1,0,3,0,0,0,0/0
Oilers,Islanders,away,F,Leon Draisaitl C,21:05,2,0,1,2,2,0,1,2,10/18
Oilers,Islanders,away,F,Adam Henrique C,13:16,0,0,-1,5,0,2,0,0,7/13
Oilers,Islanders,away,F,Zach Hyman L,19:58,0,0,1,2,2,0,1,2,0/0
Oilers,Islanders,away,F,Mattias Janmark C,14:11,0,0,-1,0,1,0,1,1,0/0
Oilers,Islanders,away,F,Connor McDavid C,20:55,1,3,1,8,0,0,0,1,7/13
Oilers,Islanders,away,F,Ryan Nugent-Hopkins C,19:39,0,1,1,2,1,0,1,1,2/5
Oilers,Islanders,away,F,Corey Perry R,12:50,0,0,-1,1,0,0,1,0,0/1
Oilers,Islanders,away,F,Vasily Podkolzin R,13:38,0,0,0,1,2,0,1,0,0/2
Oilers,Islanders,away,F,Derek Ryan C,10:32,0,0,0,0,1,0,1,0,6/7
Oilers,Islanders,away,F,Jeff Skinner L,08:53,0,0,-1,1,0,0,1,0,0/1
Oilers,Islanders,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Islanders,away,F,Evan Bouchard D,24:35,1,2,0,8,3,0,1,2,0/0
Oilers,Islanders,away,F,Mattias Ekholm D,24:38,0,1,-1,6,0,0,0,1,0/0
Oilers,Islanders,away,F,Ty Emberson D,12:34,0,0,0,0,0,0,0,0,0/0
Oilers,Islanders,away,F,Brett Kulak D,20:54,0,0,-1,0,0,0,0,0,0/0
Oilers,Islanders,away,F,Darnell Nurse D,23:27,0,0,0,2,2,0,1,2,0/0
Oilers,Islanders,away,F,Troy Stecher D,13:30,0,0,1,2,1,0,0,1,0/0
Oilers,Islanders,away,F,Viktor Arvidsson L,14:04,0,0,0,2,0,0,0,1,0/0
Oilers,Islanders,away,F,Connor Brown R,13:01,0,0,-1,0,3,0,0,0,0/0
Oilers,Islanders,away,F,Leon Draisaitl C,21:05,2,0,1,2,2,0,1,2,10/18
Oilers,Islanders,away,F,Adam Henrique C,13:16,0,0,-1,5,0,2,0,0,7/13
Oilers,Islanders,away,F,Zach Hyman L,19:58,0,0,1,2,2,0,1,2,0/0
Oilers,Islanders,away,F,Mattias Janmark C,14:11,0,0,-1,0,1,0,1,1,0/0
Oilers,Islanders,away,F,Connor McDavid C,20:55,1,3,1,8,0,0,0,1,7/13
Oilers,Islanders,away,F,Ryan Nugent-Hopkins C,19:39,0,1,1,2,1,0,1,1,2/5
Oilers,Islanders,away,F,Corey Perry R,12:50,0,0,-1,1,0,0,1,0,0/1
Oilers,Islanders,away,F,Vasily Podkolzin R,13:38,0,0,0,1,2,0,1,0,0/2
Oilers,Islanders,away,F,Derek Ryan C,10:32,0,0,0,0,1,0,1,0,6/7
Oilers,Islanders,away,F,Jeff Skinner L,08:53,0,0,-1,1,0,0,1,0,0/1
Oilers,Islanders,away,F,Oilers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOEvan
Oilers,Islanders,away,F,Evan Bouchard D,24:35,1,2,0,8,3,0,1,2,0/0
Oilers,Islanders,away,F,Mattias Ekholm D,24:38,0,1,-1,6,0,0,0,1,0/0
Oilers,Islanders,away,F,Ty Emberson D,12:34,0,0,0,0,0,0,0,0,0/0
Oilers,Islanders,away,F,Brett Kulak D,20:54,0,0,-1,0,0,0,0,0,0/0
Oilers,Islanders,away,F,Darnell Nurse D,23:27,0,0,0,2,2,0,1,2,0/0
Oilers,Islanders,away,F,Troy Stecher D,13:30,0,0,1,2,1,0,0,1,0/0
