team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Senators,home,D,Uvis Balinskis D,18:20,0,0,-1,1,0,0,0,0,0/0
Panthers,Senators,home,D,Aaron Ekblad D,22:09,0,0,1,1,0,2,0,2,0/0
Panthers,Senators,home,D,Gustav Forsling D,23:06,1,0,1,2,1,0,0,3,0/0
Panthers,Senators,home,D,Dmitry Kulikov D,18:47,0,0,-1,2,0,0,1,0,0/0
Panthers,Senators,home,D,Niko Mikkola D,18:50,0,0,-1,0,0,4,0,1,0/0
Panthers,Senators,home,D,Nate Schmidt D,14:38,0,0,0,1,0,0,0,1,0/0
Panthers,Senators,home,D,Uvis Balinskis D,18:20,0,0,-1,1,0,0,0,0,0/0
Panthers,Senators,home,D,Aaron Ekblad D,22:09,0,0,1,1,0,2,0,2,0/0
Panthers,Senators,home,D,Gustav Forsling D,23:06,1,0,1,2,1,0,0,3,0/0
Panthers,Senators,home,D,Dmitry Kulikov D,18:47,0,0,-1,2,0,0,1,0,0/0
Panthers,Senators,home,D,Niko Mikkola D,18:50,0,0,-1,0,0,4,0,1,0/0
Panthers,Senators,home,D,Nate Schmidt D,14:38,0,0,0,1,0,0,0,1,0/0
Panthers,Senators,home,F,Aleksander Barkov C,19:09,0,0,-1,1,1,0,0,0,9/16
Panthers,Senators,home,F,Sam Bennett C,17:56,0,1,0,4,2,0,0,0,6/13
Panthers,Senators,home,F,Jesper Boqvist C,10:02,0,0,0,0,0,0,0,0,1/5
Panthers,Senators,home,F,Jonah Gadjovich L,08:13,0,0,0,0,1,0,0,0,0/0
Panthers,Senators,home,F,A.J. Greer L,09:25,0,0,0,1,0,0,0,1,0/0
Panthers,Senators,home,F,Anton Lundell C,16:31,0,0,-1,4,0,0,0,0,4/11
Panthers,Senators,home,F,Eetu Luostarinen C,13:45,0,0,-1,1,1,0,1,0,0/1
Panthers,Senators,home,F,Sam Reinhart C,20:04,0,0,-1,1,4,0,0,1,2/7
Panthers,Senators,home,F,Evan Rodrigues C,15:27,0,0,-2,2,1,0,0,2,3/4
Panthers,Senators,home,F,Mackie Samoskevich R,12:22,0,0,0,3,1,0,0,0,0/0
Panthers,Senators,home,F,Matthew Tkachuk L,17:27,0,1,0,4,0,0,0,0,0/0
Panthers,Senators,home,F,Carter Verhaeghe C,20:15,0,0,1,4,0,0,0,2,0/0
Panthers,Senators,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Senators,home,F,Uvis Balinskis D,18:20,0,0,-1,1,0,0,0,0,0/0
Panthers,Senators,home,F,Aaron Ekblad D,22:09,0,0,1,1,0,2,0,2,0/0
Panthers,Senators,home,F,Gustav Forsling D,23:06,1,0,1,2,1,0,0,3,0/0
Panthers,Senators,home,F,Dmitry Kulikov D,18:47,0,0,-1,2,0,0,1,0,0/0
Panthers,Senators,home,F,Niko Mikkola D,18:50,0,0,-1,0,0,4,0,1,0/0
Panthers,Senators,home,F,Nate Schmidt D,14:38,0,0,0,1,0,0,0,1,0/0
Panthers,Senators,home,F,Aleksander Barkov C,19:09,0,0,-1,1,1,0,0,0,9/16
Panthers,Senators,home,F,Sam Bennett C,17:56,0,1,0,4,2,0,0,0,6/13
Panthers,Senators,home,F,Jesper Boqvist C,10:02,0,0,0,0,0,0,0,0,1/5
Panthers,Senators,home,F,Jonah Gadjovich L,08:13,0,0,0,0,1,0,0,0,0/0
Panthers,Senators,home,F,A.J. Greer L,09:25,0,0,0,1,0,0,0,1,0/0
Panthers,Senators,home,F,Anton Lundell C,16:31,0,0,-1,4,0,0,0,0,4/11
Panthers,Senators,home,F,Eetu Luostarinen C,13:45,0,0,-1,1,1,0,1,0,0/1
Panthers,Senators,home,F,Sam Reinhart C,20:04,0,0,-1,1,4,0,0,1,2/7
Panthers,Senators,home,F,Evan Rodrigues C,15:27,0,0,-2,2,1,0,0,2,3/4
Panthers,Senators,home,F,Mackie Samoskevich R,12:22,0,0,0,3,1,0,0,0,0/0
Panthers,Senators,home,F,Matthew Tkachuk L,17:27,0,1,0,4,0,0,0,0,0/0
Panthers,Senators,home,F,Carter Verhaeghe C,20:15,0,0,1,4,0,0,0,2,0/0
Panthers,Senators,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Senators,home,F,Uvis Balinskis D,18:20,0,0,-1,1,0,0,0,0,0/0
Panthers,Senators,home,F,Aaron Ekblad D,22:09,0,0,1,1,0,2,0,2,0/0
Panthers,Senators,home,F,Gustav Forsling D,23:06,1,0,1,2,1,0,0,3,0/0
Panthers,Senators,home,F,Dmitry Kulikov D,18:47,0,0,-1,2,0,0,1,0,0/0
Panthers,Senators,home,F,Niko Mikkola D,18:50,0,0,-1,0,0,4,0,1,0/0
Panthers,Senators,home,F,Nate Schmidt D,14:38,0,0,0,1,0,0,0,1,0/0
