team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Blue Jackets,home,D,Uvis Balinskis D,08:20,0,0,0,2,1,0,0,0,0/0
Panthers,Blue Jackets,home,D,Adam Boqvist D,16:36,0,0,-1,2,0,0,0,0,0/0
Panthers,Blue Jackets,home,D,Aaron Ekblad D,20:25,0,0,-1,0,1,2,0,0,0/0
Panthers,Blue Jackets,home,D,Gustav Forsling D,21:21,0,0,0,0,2,0,0,2,0/0
Panthers,Blue Jackets,home,D,Dmitry Kulikov D,19:20,1,0,3,1,1,0,2,0,0/0
Panthers,Blue Jackets,home,D,Niko Mikkola D,21:31,0,2,1,2,4,0,0,4,0/0
Panthers,Blue Jackets,home,D,Nate Schmidt D,14:59,0,1,1,0,1,0,1,2,0/0
Panthers,Blue Jackets,home,D,Uvis Balinskis D,08:20,0,0,0,2,1,0,0,0,0/0
Panthers,Blue Jackets,home,D,Adam Boqvist D,16:36,0,0,-1,2,0,0,0,0,0/0
Panthers,Blue Jackets,home,D,Aaron Ekblad D,20:25,0,0,-1,0,1,2,0,0,0/0
Panthers,Blue Jackets,home,D,Gustav Forsling D,21:21,0,0,0,0,2,0,0,2,0/0
Panthers,Blue Jackets,home,D,Dmitry Kulikov D,19:20,1,0,3,1,1,0,2,0,0/0
Panthers,Blue Jackets,home,D,Niko Mikkola D,21:31,0,2,1,2,4,0,0,4,0/0
Panthers,Blue Jackets,home,D,Nate Schmidt D,14:59,0,1,1,0,1,0,1,2,0/0
Panthers,Blue Jackets,home,F,Sam Bennett C,20:06,0,1,-1,3,1,2,0,0,6/15
Panthers,Blue Jackets,home,F,Jesper Boqvist C,15:04,0,0,0,1,0,0,1,0,4/8
Panthers,Blue Jackets,home,F,Jonah Gadjovich L,10:03,0,0,0,0,0,0,0,0,0/0
Panthers,Blue Jackets,home,F,Patrick Giles R,06:44,0,0,0,1,0,0,0,2,1/5
Panthers,Blue Jackets,home,F,A.J. Greer L,13:15,0,0,0,1,0,0,0,2,0/0
Panthers,Blue Jackets,home,F,Anton Lundell C,18:13,1,1,2,2,1,0,1,4,10/16
Panthers,Blue Jackets,home,F,Eetu Luostarinen C,18:22,1,0,3,1,0,0,1,1,1/2
Panthers,Blue Jackets,home,F,Sam Reinhart C,21:15,1,2,3,2,1,0,1,0,2/7
Panthers,Blue Jackets,home,F,Evan Rodrigues C,17:14,0,0,-2,1,1,0,0,1,2/5
Panthers,Blue Jackets,home,F,Mackie Samoskevich R,13:58,0,0,-1,1,1,0,1,1,0/0
Panthers,Blue Jackets,home,F,Carter Verhaeghe C,19:14,0,1,-2,2,1,0,0,4,0/3
Panthers,Blue Jackets,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Blue Jackets,home,F,Uvis Balinskis D,08:20,0,0,0,2,1,0,0,0,0/0
Panthers,Blue Jackets,home,F,Adam Boqvist D,16:36,0,0,-1,2,0,0,0,0,0/0
Panthers,Blue Jackets,home,F,Aaron Ekblad D,20:25,0,0,-1,0,1,2,0,0,0/0
Panthers,Blue Jackets,home,F,Gustav Forsling D,21:21,0,0,0,0,2,0,0,2,0/0
Panthers,Blue Jackets,home,F,Dmitry Kulikov D,19:20,1,0,3,1,1,0,2,0,0/0
Panthers,Blue Jackets,home,F,Niko Mikkola D,21:31,0,2,1,2,4,0,0,4,0/0
Panthers,Blue Jackets,home,F,Nate Schmidt D,14:59,0,1,1,0,1,0,1,2,0/0
Panthers,Blue Jackets,home,F,Sam Bennett C,20:06,0,1,-1,3,1,2,0,0,6/15
Panthers,Blue Jackets,home,F,Jesper Boqvist C,15:04,0,0,0,1,0,0,1,0,4/8
Panthers,Blue Jackets,home,F,Jonah Gadjovich L,10:03,0,0,0,0,0,0,0,0,0/0
Panthers,Blue Jackets,home,F,Patrick Giles R,06:44,0,0,0,1,0,0,0,2,1/5
Panthers,Blue Jackets,home,F,A.J. Greer L,13:15,0,0,0,1,0,0,0,2,0/0
Panthers,Blue Jackets,home,F,Anton Lundell C,18:13,1,1,2,2,1,0,1,4,10/16
Panthers,Blue Jackets,home,F,Eetu Luostarinen C,18:22,1,0,3,1,0,0,1,1,1/2
Panthers,Blue Jackets,home,F,Sam Reinhart C,21:15,1,2,3,2,1,0,1,0,2/7
Panthers,Blue Jackets,home,F,Evan Rodrigues C,17:14,0,0,-2,1,1,0,0,1,2/5
Panthers,Blue Jackets,home,F,Mackie Samoskevich R,13:58,0,0,-1,1,1,0,1,1,0/0
Panthers,Blue Jackets,home,F,Carter Verhaeghe C,19:14,0,1,-2,2,1,0,0,4,0/3
Panthers,Blue Jackets,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Blue Jackets,home,F,Uvis Balinskis D,08:20,0,0,0,2,1,0,0,0,0/0
Panthers,Blue Jackets,home,F,Adam Boqvist D,16:36,0,0,-1,2,0,0,0,0,0/0
Panthers,Blue Jackets,home,F,Aaron Ekblad D,20:25,0,0,-1,0,1,2,0,0,0/0
Panthers,Blue Jackets,home,F,Gustav Forsling D,21:21,0,0,0,0,2,0,0,2,0/0
Panthers,Blue Jackets,home,F,Dmitry Kulikov D,19:20,1,0,3,1,1,0,2,0,0/0
Panthers,Blue Jackets,home,F,Niko Mikkola D,21:31,0,2,1,2,4,0,0,4,0/0
Panthers,Blue Jackets,home,F,Nate Schmidt D,14:59,0,1,1,0,1,0,1,2,0/0
