team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Canucks,away,D,Uvis Balinskis D,03:53,0,0,-1,0,0,5,0,0,0/1
Panthers,Canucks,away,D,Adam Boqvist D,13:06,0,0,-2,0,0,0,0,0,0/0
Panthers,Canucks,away,D,Aaron Ekblad D,22:35,0,0,1,0,1,0,0,0,0/0
Panthers,Canucks,away,D,Gustav Forsling D,22:44,0,1,1,2,1,0,0,1,0/0
Panthers,Canucks,away,D,Dmitry Kulikov D,23:32,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,D,Niko Mikkola D,23:20,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,D,Nate Schmidt D,13:44,0,0,-2,1,1,0,0,0,0/0
Panthers,Canucks,away,D,Uvis Balinskis D,03:53,0,0,-1,0,0,5,0,0,0/1
Panthers,Canucks,away,D,Adam Boqvist D,13:06,0,0,-2,0,0,0,0,0,0/0
Panthers,Canucks,away,D,Aaron Ekblad D,22:35,0,0,1,0,1,0,0,0,0/0
Panthers,Canucks,away,D,Gustav Forsling D,22:44,0,1,1,2,1,0,0,1,0/0
Panthers,Canucks,away,D,Dmitry Kulikov D,23:32,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,D,Niko Mikkola D,23:20,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,D,Nate Schmidt D,13:44,0,0,-2,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Sam Bennett C,19:26,0,0,-1,1,2,0,0,0,6/14
Panthers,Canucks,away,F,Jesper Boqvist C,16:44,1,0,1,1,0,0,0,0,6/12
Panthers,Canucks,away,F,Jonah Gadjovich L,02:06,0,0,-1,0,0,0,0,0,0/0
Panthers,Canucks,away,F,Patrick Giles R,04:15,0,0,-1,0,0,0,0,0,2/4
Panthers,Canucks,away,F,A.J. Greer L,16:04,0,0,1,2,0,0,0,0,2/2
Panthers,Canucks,away,F,Anton Lundell C,22:42,1,0,-1,4,0,0,0,1,12/19
Panthers,Canucks,away,F,Eetu Luostarinen C,19:02,0,0,0,2,0,0,0,2,0/0
Panthers,Canucks,away,F,Sam Reinhart C,22:13,0,1,-1,2,2,0,0,1,2/4
Panthers,Canucks,away,F,Evan Rodrigues C,20:44,0,0,-1,5,0,2,0,0,1/5
Panthers,Canucks,away,F,Mackie Samoskevich R,14:03,0,1,0,3,0,0,0,1,0/0
Panthers,Canucks,away,F,Carter Verhaeghe C,22:14,0,1,-1,3,2,2,0,1,0/0
Panthers,Canucks,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Canucks,away,F,Uvis Balinskis D,03:53,0,0,-1,0,0,5,0,0,0/1
Panthers,Canucks,away,F,Adam Boqvist D,13:06,0,0,-2,0,0,0,0,0,0/0
Panthers,Canucks,away,F,Aaron Ekblad D,22:35,0,0,1,0,1,0,0,0,0/0
Panthers,Canucks,away,F,Gustav Forsling D,22:44,0,1,1,2,1,0,0,1,0/0
Panthers,Canucks,away,F,Dmitry Kulikov D,23:32,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Niko Mikkola D,23:20,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Nate Schmidt D,13:44,0,0,-2,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Sam Bennett C,19:26,0,0,-1,1,2,0,0,0,6/14
Panthers,Canucks,away,F,Jesper Boqvist C,16:44,1,0,1,1,0,0,0,0,6/12
Panthers,Canucks,away,F,Jonah Gadjovich L,02:06,0,0,-1,0,0,0,0,0,0/0
Panthers,Canucks,away,F,Patrick Giles R,04:15,0,0,-1,0,0,0,0,0,2/4
Panthers,Canucks,away,F,A.J. Greer L,16:04,0,0,1,2,0,0,0,0,2/2
Panthers,Canucks,away,F,Anton Lundell C,22:42,1,0,-1,4,0,0,0,1,12/19
Panthers,Canucks,away,F,Eetu Luostarinen C,19:02,0,0,0,2,0,0,0,2,0/0
Panthers,Canucks,away,F,Sam Reinhart C,22:13,0,1,-1,2,2,0,0,1,2/4
Panthers,Canucks,away,F,Evan Rodrigues C,20:44,0,0,-1,5,0,2,0,0,1/5
Panthers,Canucks,away,F,Mackie Samoskevich R,14:03,0,1,0,3,0,0,0,1,0/0
Panthers,Canucks,away,F,Carter Verhaeghe C,22:14,0,1,-1,3,2,2,0,1,0/0
Panthers,Canucks,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Canucks,away,F,Uvis Balinskis D,03:53,0,0,-1,0,0,5,0,0,0/1
Panthers,Canucks,away,F,Adam Boqvist D,13:06,0,0,-2,0,0,0,0,0,0/0
Panthers,Canucks,away,F,Aaron Ekblad D,22:35,0,0,1,0,1,0,0,0,0/0
Panthers,Canucks,away,F,Gustav Forsling D,22:44,0,1,1,2,1,0,0,1,0/0
Panthers,Canucks,away,F,Dmitry Kulikov D,23:32,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Niko Mikkola D,23:20,0,0,0,1,1,0,0,0,0/0
Panthers,Canucks,away,F,Nate Schmidt D,13:44,0,0,-2,1,1,0,0,0,0/0
