team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Golden Knights,away,D,Uvis Balinskis D,08:16,0,0,0,0,0,0,2,0,0/0
Panthers,Golden Knights,away,D,Adam Boqvist D,11:35,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,D,Aaron Ekblad D,26:37,0,2,1,2,7,0,1,0,0/0
Panthers,Golden Knights,away,D,Gustav Forsling D,28:07,1,0,2,6,1,0,0,2,0/0
Panthers,Golden Knights,away,D,Dmitry Kulikov D,19:58,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,D,Niko Mikkola D,20:49,0,0,-1,6,1,0,0,2,0/0
Panthers,Golden Knights,away,D,Nate Schmidt D,11:18,0,0,-1,3,0,0,0,1,0/0
Panthers,Golden Knights,away,D,Uvis Balinskis D,08:16,0,0,0,0,0,0,2,0,0/0
Panthers,Golden Knights,away,D,Adam Boqvist D,11:35,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,D,Aaron Ekblad D,26:37,0,2,1,2,7,0,1,0,0/0
Panthers,Golden Knights,away,D,Gustav Forsling D,28:07,1,0,2,6,1,0,0,2,0/0
Panthers,Golden Knights,away,D,Dmitry Kulikov D,19:58,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,D,Niko Mikkola D,20:49,0,0,-1,6,1,0,0,2,0/0
Panthers,Golden Knights,away,D,Nate Schmidt D,11:18,0,0,-1,3,0,0,0,1,0/0
Panthers,Golden Knights,away,F,Sam Bennett C,21:42,1,1,1,5,0,0,0,0,3/13
Panthers,Golden Knights,away,F,Jesper Boqvist C,16:35,0,0,-1,0,1,0,0,0,7/14
Panthers,Golden Knights,away,F,Patrick Giles R,06:30,0,0,0,1,1,0,0,1,2/5
Panthers,Golden Knights,away,F,A.J. Greer L,16:40,0,0,-1,5,2,2,1,1,0/3
Panthers,Golden Knights,away,F,Anton Lundell C,21:17,0,2,0,3,1,0,0,1,9/15
Panthers,Golden Knights,away,F,Eetu Luostarinen C,21:47,1,0,0,2,1,0,0,2,0/1
Panthers,Golden Knights,away,F,Sam Reinhart C,23:55,1,2,2,5,1,0,0,4,4/7
Panthers,Golden Knights,away,F,Evan Rodrigues C,19:31,0,0,0,3,0,0,1,2,4/9
Panthers,Golden Knights,away,F,Mackie Samoskevich R,14:28,0,0,-2,2,1,0,0,1,0/0
Panthers,Golden Knights,away,F,Carter Verhaeghe C,23:04,0,1,0,6,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Golden Knights,away,F,Uvis Balinskis D,08:16,0,0,0,0,0,0,2,0,0/0
Panthers,Golden Knights,away,F,Adam Boqvist D,11:35,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Aaron Ekblad D,26:37,0,2,1,2,7,0,1,0,0/0
Panthers,Golden Knights,away,F,Gustav Forsling D,28:07,1,0,2,6,1,0,0,2,0/0
Panthers,Golden Knights,away,F,Dmitry Kulikov D,19:58,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Niko Mikkola D,20:49,0,0,-1,6,1,0,0,2,0/0
Panthers,Golden Knights,away,F,Nate Schmidt D,11:18,0,0,-1,3,0,0,0,1,0/0
Panthers,Golden Knights,away,F,Sam Bennett C,21:42,1,1,1,5,0,0,0,0,3/13
Panthers,Golden Knights,away,F,Jesper Boqvist C,16:35,0,0,-1,0,1,0,0,0,7/14
Panthers,Golden Knights,away,F,Patrick Giles R,06:30,0,0,0,1,1,0,0,1,2/5
Panthers,Golden Knights,away,F,A.J. Greer L,16:40,0,0,-1,5,2,2,1,1,0/3
Panthers,Golden Knights,away,F,Anton Lundell C,21:17,0,2,0,3,1,0,0,1,9/15
Panthers,Golden Knights,away,F,Eetu Luostarinen C,21:47,1,0,0,2,1,0,0,2,0/1
Panthers,Golden Knights,away,F,Sam Reinhart C,23:55,1,2,2,5,1,0,0,4,4/7
Panthers,Golden Knights,away,F,Evan Rodrigues C,19:31,0,0,0,3,0,0,1,2,4/9
Panthers,Golden Knights,away,F,Mackie Samoskevich R,14:28,0,0,-2,2,1,0,0,1,0/0
Panthers,Golden Knights,away,F,Carter Verhaeghe C,23:04,0,1,0,6,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Golden Knights,away,F,Uvis Balinskis D,08:16,0,0,0,0,0,0,2,0,0/0
Panthers,Golden Knights,away,F,Adam Boqvist D,11:35,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Aaron Ekblad D,26:37,0,2,1,2,7,0,1,0,0/0
Panthers,Golden Knights,away,F,Gustav Forsling D,28:07,1,0,2,6,1,0,0,2,0/0
Panthers,Golden Knights,away,F,Dmitry Kulikov D,19:58,0,0,-1,0,0,0,0,2,0/0
Panthers,Golden Knights,away,F,Niko Mikkola D,20:49,0,0,-1,6,1,0,0,2,0/0
Panthers,Golden Knights,away,F,Nate Schmidt D,11:18,0,0,-1,3,0,0,0,1,0/0
