team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Stars,home,D,Uvis Balinskis D,16:51,0,0,1,0,1,0,1,1,0/0
Panthers,Stars,home,D,Aaron Ekblad D,22:45,0,3,2,3,0,0,1,0,0/0
Panthers,Stars,home,D,Gustav Forsling D,22:03,0,1,2,1,3,0,0,0,0/0
Panthers,Stars,home,D,Dmitry Kulikov D,19:56,0,0,-1,3,0,0,1,2,0/0
Panthers,Stars,home,D,Niko Mikkola D,20:50,0,1,-3,2,1,4,0,3,0/0
Panthers,Stars,home,D,Nate Schmidt D,15:32,0,0,1,0,1,0,0,0,0/0
Panthers,Stars,home,D,Uvis Balinskis D,16:51,0,0,1,0,1,0,1,1,0/0
Panthers,Stars,home,D,Aaron Ekblad D,22:45,0,3,2,3,0,0,1,0,0/0
Panthers,Stars,home,D,Gustav Forsling D,22:03,0,1,2,1,3,0,0,0,0/0
Panthers,Stars,home,D,Dmitry Kulikov D,19:56,0,0,-1,3,0,0,1,2,0/0
Panthers,Stars,home,D,Niko Mikkola D,20:50,0,1,-3,2,1,4,0,3,0/0
Panthers,Stars,home,D,Nate Schmidt D,15:32,0,0,1,0,1,0,0,0,0/0
Panthers,Stars,home,F,Aleksander Barkov C,17:31,1,3,3,2,1,0,0,1,8/11
Panthers,Stars,home,F,Sam Bennett C,16:37,0,1,-2,0,0,0,1,1,6/14
Panthers,Stars,home,F,Jesper Boqvist C,12:34,0,0,-1,1,1,0,1,0,0/0
Panthers,Stars,home,F,A.J. Greer L,08:02,0,1,1,0,0,0,1,0,1/1
Panthers,Stars,home,F,Anton Lundell C,17:04,1,0,-1,2,0,0,1,0,8/19
Panthers,Stars,home,F,Eetu Luostarinen C,15:17,0,0,-1,2,2,0,1,0,0/0
Panthers,Stars,home,F,Tomas Nosek L,11:00,0,0,1,1,0,0,0,0,5/9
Panthers,Stars,home,F,Sam Reinhart C,17:36,2,1,3,4,1,0,0,2,6/10
Panthers,Stars,home,F,Evan Rodrigues C,13:33,1,1,2,2,1,0,0,0,0/1
Panthers,Stars,home,F,Mackie Samoskevich R,08:37,1,0,1,1,0,2,0,1,0/0
Panthers,Stars,home,F,Matthew Tkachuk L,17:50,0,0,-2,0,1,2,0,2,0/0
Panthers,Stars,home,F,Carter Verhaeghe C,18:22,0,0,-2,4,0,0,0,0,1/1
Panthers,Stars,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Stars,home,F,Uvis Balinskis D,16:51,0,0,1,0,1,0,1,1,0/0
Panthers,Stars,home,F,Aaron Ekblad D,22:45,0,3,2,3,0,0,1,0,0/0
Panthers,Stars,home,F,Gustav Forsling D,22:03,0,1,2,1,3,0,0,0,0/0
Panthers,Stars,home,F,Dmitry Kulikov D,19:56,0,0,-1,3,0,0,1,2,0/0
Panthers,Stars,home,F,Niko Mikkola D,20:50,0,1,-3,2,1,4,0,3,0/0
Panthers,Stars,home,F,Nate Schmidt D,15:32,0,0,1,0,1,0,0,0,0/0
Panthers,Stars,home,F,Aleksander Barkov C,17:31,1,3,3,2,1,0,0,1,8/11
Panthers,Stars,home,F,Sam Bennett C,16:37,0,1,-2,0,0,0,1,1,6/14
Panthers,Stars,home,F,Jesper Boqvist C,12:34,0,0,-1,1,1,0,1,0,0/0
Panthers,Stars,home,F,A.J. Greer L,08:02,0,1,1,0,0,0,1,0,1/1
Panthers,Stars,home,F,Anton Lundell C,17:04,1,0,-1,2,0,0,1,0,8/19
Panthers,Stars,home,F,Eetu Luostarinen C,15:17,0,0,-1,2,2,0,1,0,0/0
Panthers,Stars,home,F,Tomas Nosek L,11:00,0,0,1,1,0,0,0,0,5/9
Panthers,Stars,home,F,Sam Reinhart C,17:36,2,1,3,4,1,0,0,2,6/10
Panthers,Stars,home,F,Evan Rodrigues C,13:33,1,1,2,2,1,0,0,0,0/1
Panthers,Stars,home,F,Mackie Samoskevich R,08:37,1,0,1,1,0,2,0,1,0/0
Panthers,Stars,home,F,Matthew Tkachuk L,17:50,0,0,-2,0,1,2,0,2,0/0
Panthers,Stars,home,F,Carter Verhaeghe C,18:22,0,0,-2,4,0,0,0,0,1/1
Panthers,Stars,home,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Stars,home,F,Uvis Balinskis D,16:51,0,0,1,0,1,0,1,1,0/0
Panthers,Stars,home,F,Aaron Ekblad D,22:45,0,3,2,3,0,0,1,0,0/0
Panthers,Stars,home,F,Gustav Forsling D,22:03,0,1,2,1,3,0,0,0,0/0
Panthers,Stars,home,F,Dmitry Kulikov D,19:56,0,0,-1,3,0,0,1,2,0/0
Panthers,Stars,home,F,Niko Mikkola D,20:50,0,1,-3,2,1,4,0,3,0/0
Panthers,Stars,home,F,Nate Schmidt D,15:32,0,0,1,0,1,0,0,0,0/0
