team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Predators,away,D,Uvis Balinskis D,19:57,0,2,0,4,0,2,0,1,0/0
Panthers,Predators,away,D,Aaron Ekblad D,21:24,0,0,2,1,1,0,0,2,0/0
Panthers,Predators,away,D,Gustav Forsling D,18:57,0,0,1,2,1,2,0,2,0/0
Panthers,Predators,away,D,Dmitry Kulikov D,18:56,0,0,0,0,0,0,1,0,0/0
Panthers,Predators,away,D,Niko Mikkola D,19:03,0,1,1,3,1,4,0,3,0/0
Panthers,Predators,away,D,Nate Schmidt D,16:25,0,1,2,0,0,0,0,4,0/0
Panthers,Predators,away,D,Uvis Balinskis D,19:57,0,2,0,4,0,2,0,1,0/0
Panthers,Predators,away,D,Aaron Ekblad D,21:24,0,0,2,1,1,0,0,2,0/0
Panthers,Predators,away,D,Gustav Forsling D,18:57,0,0,1,2,1,2,0,2,0/0
Panthers,Predators,away,D,Dmitry Kulikov D,18:56,0,0,0,0,0,0,1,0,0/0
Panthers,Predators,away,D,Niko Mikkola D,19:03,0,1,1,3,1,4,0,3,0/0
Panthers,Predators,away,D,Nate Schmidt D,16:25,0,1,2,0,0,0,0,4,0/0
Panthers,Predators,away,F,Aleksander Barkov C,16:51,0,3,2,3,1,0,0,1,5/15
Panthers,Predators,away,F,Sam Bennett C,15:36,0,1,1,3,1,2,0,0,4/10
Panthers,Predators,away,F,Jesper Boqvist C,12:44,0,0,0,0,0,0,0,0,0/1
Panthers,Predators,away,F,A.J. Greer L,11:20,0,0,0,0,2,2,0,0,0/2
Panthers,Predators,away,F,Anton Lundell C,18:46,0,1,1,4,1,0,0,0,7/14
Panthers,Predators,away,F,Eetu Luostarinen C,12:33,0,0,0,0,1,4,0,1,0/1
Panthers,Predators,away,F,Tomas Nosek L,11:59,1,0,0,2,1,2,0,0,10/13
Panthers,Predators,away,F,Sam Reinhart C,16:33,1,0,0,1,0,0,0,0,0/4
Panthers,Predators,away,F,Evan Rodrigues C,14:44,1,0,1,2,1,0,0,0,0/1
Panthers,Predators,away,F,Mackie Samoskevich R,09:25,0,1,0,2,0,0,0,1,0/0
Panthers,Predators,away,F,Matthew Tkachuk L,15:41,1,1,2,4,1,0,0,0,0/0
Panthers,Predators,away,F,Carter Verhaeghe C,16:41,2,1,2,3,0,0,0,1,0/3
Panthers,Predators,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Predators,away,F,Uvis Balinskis D,19:57,0,2,0,4,0,2,0,1,0/0
Panthers,Predators,away,F,Aaron Ekblad D,21:24,0,0,2,1,1,0,0,2,0/0
Panthers,Predators,away,F,Gustav Forsling D,18:57,0,0,1,2,1,2,0,2,0/0
Panthers,Predators,away,F,Dmitry Kulikov D,18:56,0,0,0,0,0,0,1,0,0/0
Panthers,Predators,away,F,Niko Mikkola D,19:03,0,1,1,3,1,4,0,3,0/0
Panthers,Predators,away,F,Nate Schmidt D,16:25,0,1,2,0,0,0,0,4,0/0
Panthers,Predators,away,F,Aleksander Barkov C,16:51,0,3,2,3,1,0,0,1,5/15
Panthers,Predators,away,F,Sam Bennett C,15:36,0,1,1,3,1,2,0,0,4/10
Panthers,Predators,away,F,Jesper Boqvist C,12:44,0,0,0,0,0,0,0,0,0/1
Panthers,Predators,away,F,A.J. Greer L,11:20,0,0,0,0,2,2,0,0,0/2
Panthers,Predators,away,F,Anton Lundell C,18:46,0,1,1,4,1,0,0,0,7/14
Panthers,Predators,away,F,Eetu Luostarinen C,12:33,0,0,0,0,1,4,0,1,0/1
Panthers,Predators,away,F,Tomas Nosek L,11:59,1,0,0,2,1,2,0,0,10/13
Panthers,Predators,away,F,Sam Reinhart C,16:33,1,0,0,1,0,0,0,0,0/4
Panthers,Predators,away,F,Evan Rodrigues C,14:44,1,0,1,2,1,0,0,0,0/1
Panthers,Predators,away,F,Mackie Samoskevich R,09:25,0,1,0,2,0,0,0,1,0/0
Panthers,Predators,away,F,Matthew Tkachuk L,15:41,1,1,2,4,1,0,0,0,0/0
Panthers,Predators,away,F,Carter Verhaeghe C,16:41,2,1,2,3,0,0,0,1,0/3
Panthers,Predators,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Predators,away,F,Uvis Balinskis D,19:57,0,2,0,4,0,2,0,1,0/0
Panthers,Predators,away,F,Aaron Ekblad D,21:24,0,0,2,1,1,0,0,2,0/0
Panthers,Predators,away,F,Gustav Forsling D,18:57,0,0,1,2,1,2,0,2,0/0
Panthers,Predators,away,F,Dmitry Kulikov D,18:56,0,0,0,0,0,0,1,0,0/0
Panthers,Predators,away,F,Niko Mikkola D,19:03,0,1,1,3,1,4,0,3,0/0
Panthers,Predators,away,F,Nate Schmidt D,16:25,0,1,2,0,0,0,0,4,0/0
