team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Panthers,Devils,away,D,Uvis Balinskis D,19:58,0,0,-1,4,0,0,1,0,0/0
Panthers,Devils,away,D,Aaron Ekblad D,20:05,0,0,0,0,2,2,0,0,0/0
Panthers,Devils,away,D,Gustav Forsling D,19:33,0,0,0,2,0,2,1,0,0/0
Panthers,Devils,away,D,Dmitry Kulikov D,19:56,0,0,0,1,0,0,0,0,0/0
Panthers,Devils,away,D,Niko Mikkola D,19:12,0,0,0,1,1,2,0,2,0/0
Panthers,Devils,away,D,Nate Schmidt D,15:52,0,0,0,1,0,0,0,1,0/0
Panthers,Devils,away,D,Uvis Balinskis D,19:58,0,0,-1,4,0,0,1,0,0/0
Panthers,Devils,away,D,Aaron Ekblad D,20:05,0,0,0,0,2,2,0,0,0/0
Panthers,Devils,away,D,Gustav Forsling D,19:33,0,0,0,2,0,2,1,0,0/0
Panthers,Devils,away,D,Dmitry Kulikov D,19:56,0,0,0,1,0,0,0,0,0/0
Panthers,Devils,away,D,Niko Mikkola D,19:12,0,0,0,1,1,2,0,2,0/0
Panthers,Devils,away,D,Nate Schmidt D,15:52,0,0,0,1,0,0,0,1,0/0
Panthers,Devils,away,F,Aleksander Barkov C,18:03,0,1,-2,3,2,0,0,1,6/10
Panthers,Devils,away,F,Sam Bennett C,18:18,0,1,0,2,2,0,1,2,5/14
Panthers,Devils,away,F,Jesper Boqvist C,14:22,1,0,1,3,1,2,0,0,0/1
Panthers,Devils,away,F,Jonah Gadjovich L,06:55,0,0,0,1,2,5,0,0,0/0
Panthers,Devils,away,F,A.J. Greer L,10:18,0,0,0,0,0,0,0,0,0/0
Panthers,Devils,away,F,Anton Lundell C,17:23,0,0,0,3,0,0,0,2,4/16
Panthers,Devils,away,F,Eetu Luostarinen C,14:46,0,0,0,1,1,0,0,0,0/0
Panthers,Devils,away,F,Tomas Nosek L,10:00,0,0,0,1,1,0,1,1,4/7
Panthers,Devils,away,F,Sam Reinhart C,18:19,1,0,-2,3,1,0,1,1,2/6
Panthers,Devils,away,F,Evan Rodrigues C,17:25,0,0,0,0,0,0,0,0,0/0
Panthers,Devils,away,F,Matthew Tkachuk L,19:34,0,1,0,0,0,0,0,1,0/0
Panthers,Devils,away,F,Carter Verhaeghe C,16:42,0,0,-2,1,0,4,3,3,0/0
Panthers,Devils,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Devils,away,F,Uvis Balinskis D,19:58,0,0,-1,4,0,0,1,0,0/0
Panthers,Devils,away,F,Aaron Ekblad D,20:05,0,0,0,0,2,2,0,0,0/0
Panthers,Devils,away,F,Gustav Forsling D,19:33,0,0,0,2,0,2,1,0,0/0
Panthers,Devils,away,F,Dmitry Kulikov D,19:56,0,0,0,1,0,0,0,0,0/0
Panthers,Devils,away,F,Niko Mikkola D,19:12,0,0,0,1,1,2,0,2,0/0
Panthers,Devils,away,F,Nate Schmidt D,15:52,0,0,0,1,0,0,0,1,0/0
Panthers,Devils,away,F,Aleksander Barkov C,18:03,0,1,-2,3,2,0,0,1,6/10
Panthers,Devils,away,F,Sam Bennett C,18:18,0,1,0,2,2,0,1,2,5/14
Panthers,Devils,away,F,Jesper Boqvist C,14:22,1,0,1,3,1,2,0,0,0/1
Panthers,Devils,away,F,Jonah Gadjovich L,06:55,0,0,0,1,2,5,0,0,0/0
Panthers,Devils,away,F,A.J. Greer L,10:18,0,0,0,0,0,0,0,0,0/0
Panthers,Devils,away,F,Anton Lundell C,17:23,0,0,0,3,0,0,0,2,4/16
Panthers,Devils,away,F,Eetu Luostarinen C,14:46,0,0,0,1,1,0,0,0,0/0
Panthers,Devils,away,F,Tomas Nosek L,10:00,0,0,0,1,1,0,1,1,4/7
Panthers,Devils,away,F,Sam Reinhart C,18:19,1,0,-2,3,1,0,1,1,2/6
Panthers,Devils,away,F,Evan Rodrigues C,17:25,0,0,0,0,0,0,0,0,0/0
Panthers,Devils,away,F,Matthew Tkachuk L,19:34,0,1,0,0,0,0,0,1,0/0
Panthers,Devils,away,F,Carter Verhaeghe C,16:42,0,0,-2,1,0,4,3,3,0/0
Panthers,Devils,away,F,Panthers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOUvis
Panthers,Devils,away,F,Uvis Balinskis D,19:58,0,0,-1,4,0,0,1,0,0/0
Panthers,Devils,away,F,Aaron Ekblad D,20:05,0,0,0,0,2,2,0,0,0/0
Panthers,Devils,away,F,Gustav Forsling D,19:33,0,0,0,2,0,2,1,0,0/0
Panthers,Devils,away,F,Dmitry Kulikov D,19:56,0,0,0,1,0,0,0,0,0/0
Panthers,Devils,away,F,Niko Mikkola D,19:12,0,0,0,1,1,2,0,2,0/0
Panthers,Devils,away,F,Nate Schmidt D,15:52,0,0,0,1,0,0,0,1,0/0
