team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Red Wings,home,D,Ryan Graves D,14:26,0,0,1,1,3,0,0,2,0/0
Penguins,Red Wings,home,D,Matt Grzelcyk D,19:31,0,0,1,0,2,0,1,1,0/0
Penguins,Red Wings,home,D,Erik Karlsson D,20:07,1,1,2,2,2,0,0,1,0/0
Penguins,Red Wings,home,D,Kris Letang D,21:02,0,1,1,1,0,4,0,1,0/0
Penguins,Red Wings,home,D,Marcus Pettersson D,24:22,1,1,1,4,3,0,0,3,0/0
Penguins,Red Wings,home,D,Jack St. Ivany D,19:06,0,0,0,0,2,0,2,2,0/0
Penguins,Red Wings,home,D,Ryan Graves D,14:26,0,0,1,1,3,0,0,2,0/0
Penguins,Red Wings,home,D,Matt Grzelcyk D,19:31,0,0,1,0,2,0,1,1,0/0
Penguins,Red Wings,home,D,Erik Karlsson D,20:07,1,1,2,2,2,0,0,1,0/0
Penguins,Red Wings,home,D,Kris Letang D,21:02,0,1,1,1,0,4,0,1,0/0
Penguins,Red Wings,home,D,Marcus Pettersson D,24:22,1,1,1,4,3,0,0,3,0/0
Penguins,Red Wings,home,D,Jack St. Ivany D,19:06,0,0,0,0,2,0,2,2,0/0
Penguins,Red Wings,home,F,Noel Acciari C,12:19,0,0,1,1,1,2,1,0,4/4
Penguins,Red Wings,home,F,Anthony Beauvillier L,14:52,2,0,3,2,0,0,0,0,0/0
Penguins,Red Wings,home,F,Michael Bunting L,13:48,0,0,0,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Sidney Crosby C,18:09,0,2,3,4,0,0,0,2,16/30
Penguins,Red Wings,home,F,Lars Eller C,15:35,0,0,-1,0,1,2,0,0,6/12
Penguins,Red Wings,home,F,Cody Glass C,12:34,0,1,0,1,0,2,0,1,2/3
Penguins,Red Wings,home,F,Kevin Hayes R,12:03,1,0,0,3,0,0,0,0,3/6
Penguins,Red Wings,home,F,Evgeni Malkin C,16:06,0,2,0,3,1,0,0,0,6/12
Penguins,Red Wings,home,F,Rutger McGroarty R,10:12,0,0,0,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Drew O'Connor L,16:49,1,0,0,3,1,0,0,0,0/2
Penguins,Red Wings,home,F,Jesse Puljujarvi R,12:12,0,1,1,0,0,0,0,0,0/0
Penguins,Red Wings,home,F,Rickard Rakell R,17:15,0,0,2,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Red Wings,home,F,Ryan Graves D,14:26,0,0,1,1,3,0,0,2,0/0
Penguins,Red Wings,home,F,Matt Grzelcyk D,19:31,0,0,1,0,2,0,1,1,0/0
Penguins,Red Wings,home,F,Erik Karlsson D,20:07,1,1,2,2,2,0,0,1,0/0
Penguins,Red Wings,home,F,Kris Letang D,21:02,0,1,1,1,0,4,0,1,0/0
Penguins,Red Wings,home,F,Marcus Pettersson D,24:22,1,1,1,4,3,0,0,3,0/0
Penguins,Red Wings,home,F,Jack St. Ivany D,19:06,0,0,0,0,2,0,2,2,0/0
Penguins,Red Wings,home,F,Noel Acciari C,12:19,0,0,1,1,1,2,1,0,4/4
Penguins,Red Wings,home,F,Anthony Beauvillier L,14:52,2,0,3,2,0,0,0,0,0/0
Penguins,Red Wings,home,F,Michael Bunting L,13:48,0,0,0,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Sidney Crosby C,18:09,0,2,3,4,0,0,0,2,16/30
Penguins,Red Wings,home,F,Lars Eller C,15:35,0,0,-1,0,1,2,0,0,6/12
Penguins,Red Wings,home,F,Cody Glass C,12:34,0,1,0,1,0,2,0,1,2/3
Penguins,Red Wings,home,F,Kevin Hayes R,12:03,1,0,0,3,0,0,0,0,3/6
Penguins,Red Wings,home,F,Evgeni Malkin C,16:06,0,2,0,3,1,0,0,0,6/12
Penguins,Red Wings,home,F,Rutger McGroarty R,10:12,0,0,0,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Drew O'Connor L,16:49,1,0,0,3,1,0,0,0,0/2
Penguins,Red Wings,home,F,Jesse Puljujarvi R,12:12,0,1,1,0,0,0,0,0,0/0
Penguins,Red Wings,home,F,Rickard Rakell R,17:15,0,0,2,1,0,0,0,0,0/0
Penguins,Red Wings,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Red Wings,home,F,Ryan Graves D,14:26,0,0,1,1,3,0,0,2,0/0
Penguins,Red Wings,home,F,Matt Grzelcyk D,19:31,0,0,1,0,2,0,1,1,0/0
Penguins,Red Wings,home,F,Erik Karlsson D,20:07,1,1,2,2,2,0,0,1,0/0
Penguins,Red Wings,home,F,Kris Letang D,21:02,0,1,1,1,0,4,0,1,0/0
Penguins,Red Wings,home,F,Marcus Pettersson D,24:22,1,1,1,4,3,0,0,3,0/0
Penguins,Red Wings,home,F,Jack St. Ivany D,19:06,0,0,0,0,2,0,2,2,0/0
