team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Hurricanes,away,D,Ryan Graves D,15:23,0,0,1,0,2,0,2,1,0/0
Penguins,Hurricanes,away,D,Matt Grzelcyk D,18:29,0,0,-1,2,3,0,0,0,0/0
Penguins,Hurricanes,away,D,Erik Karlsson D,22:19,0,0,-1,3,1,0,1,1,0/0
Penguins,Hurricanes,away,D,Kris Letang D,21:50,0,0,0,0,1,2,0,3,0/0
Penguins,Hurricanes,away,D,Marcus Pettersson D,20:54,0,0,-1,1,1,2,0,0,0/0
Penguins,Hurricanes,away,D,Jack St. Ivany D,17:44,0,0,0,2,1,0,0,0,0/0
Penguins,Hurricanes,away,D,Ryan Graves D,15:23,0,0,1,0,2,0,2,1,0/0
Penguins,Hurricanes,away,D,Matt Grzelcyk D,18:29,0,0,-1,2,3,0,0,0,0/0
Penguins,Hurricanes,away,D,Erik Karlsson D,22:19,0,0,-1,3,1,0,1,1,0/0
Penguins,Hurricanes,away,D,Kris Letang D,21:50,0,0,0,0,1,2,0,3,0/0
Penguins,Hurricanes,away,D,Marcus Pettersson D,20:54,0,0,-1,1,1,2,0,0,0/0
Penguins,Hurricanes,away,D,Jack St. Ivany D,17:44,0,0,0,2,1,0,0,0,0/0
Penguins,Hurricanes,away,F,Noel Acciari C,11:33,0,0,-1,2,2,0,0,0,2/5
Penguins,Hurricanes,away,F,Anthony Beauvillier L,12:03,0,0,0,1,0,0,0,0,0/0
Penguins,Hurricanes,away,F,Michael Bunting L,12:47,0,0,0,1,0,4,0,1,0/0
Penguins,Hurricanes,away,F,Sidney Crosby C,20:13,0,0,0,0,1,0,0,3,6/10
Penguins,Hurricanes,away,F,Lars Eller C,16:02,0,1,1,1,1,0,0,1,7/16
Penguins,Hurricanes,away,F,Cody Glass C,09:22,0,0,-1,1,1,0,0,0,5/7
Penguins,Hurricanes,away,F,Kevin Hayes R,09:39,0,0,-1,3,0,0,0,1,0/1
Penguins,Hurricanes,away,F,Evgeni Malkin C,19:37,0,0,-1,0,2,0,0,4,10/18
Penguins,Hurricanes,away,F,Drew O'Connor L,15:36,1,0,1,2,3,2,0,0,0/0
Penguins,Hurricanes,away,F,Jesse Puljujarvi R,12:33,0,1,0,1,0,0,0,1,0/0
Penguins,Hurricanes,away,F,Rickard Rakell R,17:54,0,0,0,2,1,0,0,1,0/0
Penguins,Hurricanes,away,F,Bryan Rust R,20:14,0,0,-1,4,2,0,0,0,0/0
Penguins,Hurricanes,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Hurricanes,away,F,Ryan Graves D,15:23,0,0,1,0,2,0,2,1,0/0
Penguins,Hurricanes,away,F,Matt Grzelcyk D,18:29,0,0,-1,2,3,0,0,0,0/0
Penguins,Hurricanes,away,F,Erik Karlsson D,22:19,0,0,-1,3,1,0,1,1,0/0
Penguins,Hurricanes,away,F,Kris Letang D,21:50,0,0,0,0,1,2,0,3,0/0
Penguins,Hurricanes,away,F,Marcus Pettersson D,20:54,0,0,-1,1,1,2,0,0,0/0
Penguins,Hurricanes,away,F,Jack St. Ivany D,17:44,0,0,0,2,1,0,0,0,0/0
Penguins,Hurricanes,away,F,Noel Acciari C,11:33,0,0,-1,2,2,0,0,0,2/5
Penguins,Hurricanes,away,F,Anthony Beauvillier L,12:03,0,0,0,1,0,0,0,0,0/0
Penguins,Hurricanes,away,F,Michael Bunting L,12:47,0,0,0,1,0,4,0,1,0/0
Penguins,Hurricanes,away,F,Sidney Crosby C,20:13,0,0,0,0,1,0,0,3,6/10
Penguins,Hurricanes,away,F,Lars Eller C,16:02,0,1,1,1,1,0,0,1,7/16
Penguins,Hurricanes,away,F,Cody Glass C,09:22,0,0,-1,1,1,0,0,0,5/7
Penguins,Hurricanes,away,F,Kevin Hayes R,09:39,0,0,-1,3,0,0,0,1,0/1
Penguins,Hurricanes,away,F,Evgeni Malkin C,19:37,0,0,-1,0,2,0,0,4,10/18
Penguins,Hurricanes,away,F,Drew O'Connor L,15:36,1,0,1,2,3,2,0,0,0/0
Penguins,Hurricanes,away,F,Jesse Puljujarvi R,12:33,0,1,0,1,0,0,0,1,0/0
Penguins,Hurricanes,away,F,Rickard Rakell R,17:54,0,0,0,2,1,0,0,1,0/0
Penguins,Hurricanes,away,F,Bryan Rust R,20:14,0,0,-1,4,2,0,0,0,0/0
Penguins,Hurricanes,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Hurricanes,away,F,Ryan Graves D,15:23,0,0,1,0,2,0,2,1,0/0
Penguins,Hurricanes,away,F,Matt Grzelcyk D,18:29,0,0,-1,2,3,0,0,0,0/0
Penguins,Hurricanes,away,F,Erik Karlsson D,22:19,0,0,-1,3,1,0,1,1,0/0
Penguins,Hurricanes,away,F,Kris Letang D,21:50,0,0,0,0,1,2,0,3,0/0
Penguins,Hurricanes,away,F,Marcus Pettersson D,20:54,0,0,-1,1,1,2,0,0,0/0
Penguins,Hurricanes,away,F,Jack St. Ivany D,17:44,0,0,0,2,1,0,0,0,0/0
