team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Flames,home,D,Ryan Graves D,16:27,0,0,-2,2,1,0,1,1,0/0
Penguins,Flames,home,D,Matt Grzelcyk D,19:06,0,1,0,2,3,2,1,0,0/0
Penguins,Flames,home,D,Erik Karlsson D,24:33,0,1,-1,2,1,0,0,3,0/0
Penguins,Flames,home,D,Kris Letang D,25:59,0,0,0,4,1,2,2,2,0/0
Penguins,Flames,home,D,Marcus Pettersson D,21:54,0,1,1,1,2,0,0,0,0/0
Penguins,Flames,home,D,Jack St. Ivany D,14:55,0,0,0,1,0,0,0,0,0/0
Penguins,Flames,home,D,Ryan Graves D,16:27,0,0,-2,2,1,0,1,1,0/0
Penguins,Flames,home,D,Matt Grzelcyk D,19:06,0,1,0,2,3,2,1,0,0/0
Penguins,Flames,home,D,Erik Karlsson D,24:33,0,1,-1,2,1,0,0,3,0/0
Penguins,Flames,home,D,Kris Letang D,25:59,0,0,0,4,1,2,2,2,0/0
Penguins,Flames,home,D,Marcus Pettersson D,21:54,0,1,1,1,2,0,0,0,0/0
Penguins,Flames,home,D,Jack St. Ivany D,14:55,0,0,0,1,0,0,0,0,0/0
Penguins,Flames,home,F,Noel Acciari C,14:39,1,0,-1,2,7,0,0,0,7/9
Penguins,Flames,home,F,Anthony Beauvillier L,10:52,0,0,0,4,0,0,0,0,0/1
Penguins,Flames,home,F,Michael Bunting L,12:56,0,0,0,3,1,0,0,0,0/0
Penguins,Flames,home,F,Sidney Crosby C,21:23,0,1,-1,5,0,0,0,2,20/30
Penguins,Flames,home,F,Lars Eller C,15:51,0,0,-1,0,1,0,0,0,9/17
Penguins,Flames,home,F,Cody Glass C,15:49,0,1,-1,3,0,0,0,4,1/1
Penguins,Flames,home,F,Kevin Hayes R,09:03,0,1,1,0,0,0,1,1,5/7
Penguins,Flames,home,F,Evgeni Malkin C,20:07,0,0,0,1,1,2,0,2,5/10
Penguins,Flames,home,F,Drew O'Connor L,16:49,0,0,-1,0,1,0,0,0,1/1
Penguins,Flames,home,F,Jesse Puljujarvi R,09:53,0,0,1,0,0,2,1,0,0/0
Penguins,Flames,home,F,Rickard Rakell R,13:32,1,0,1,5,1,0,0,0,0/0
Penguins,Flames,home,F,Bryan Rust R,23:12,1,0,-1,3,3,0,1,1,0/0
Penguins,Flames,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Flames,home,F,Ryan Graves D,16:27,0,0,-2,2,1,0,1,1,0/0
Penguins,Flames,home,F,Matt Grzelcyk D,19:06,0,1,0,2,3,2,1,0,0/0
Penguins,Flames,home,F,Erik Karlsson D,24:33,0,1,-1,2,1,0,0,3,0/0
Penguins,Flames,home,F,Kris Letang D,25:59,0,0,0,4,1,2,2,2,0/0
Penguins,Flames,home,F,Marcus Pettersson D,21:54,0,1,1,1,2,0,0,0,0/0
Penguins,Flames,home,F,Jack St. Ivany D,14:55,0,0,0,1,0,0,0,0,0/0
Penguins,Flames,home,F,Noel Acciari C,14:39,1,0,-1,2,7,0,0,0,7/9
Penguins,Flames,home,F,Anthony Beauvillier L,10:52,0,0,0,4,0,0,0,0,0/1
Penguins,Flames,home,F,Michael Bunting L,12:56,0,0,0,3,1,0,0,0,0/0
Penguins,Flames,home,F,Sidney Crosby C,21:23,0,1,-1,5,0,0,0,2,20/30
Penguins,Flames,home,F,Lars Eller C,15:51,0,0,-1,0,1,0,0,0,9/17
Penguins,Flames,home,F,Cody Glass C,15:49,0,1,-1,3,0,0,0,4,1/1
Penguins,Flames,home,F,Kevin Hayes R,09:03,0,1,1,0,0,0,1,1,5/7
Penguins,Flames,home,F,Evgeni Malkin C,20:07,0,0,0,1,1,2,0,2,5/10
Penguins,Flames,home,F,Drew O'Connor L,16:49,0,0,-1,0,1,0,0,0,1/1
Penguins,Flames,home,F,Jesse Puljujarvi R,09:53,0,0,1,0,0,2,1,0,0/0
Penguins,Flames,home,F,Rickard Rakell R,13:32,1,0,1,5,1,0,0,0,0/0
Penguins,Flames,home,F,Bryan Rust R,23:12,1,0,-1,3,3,0,1,1,0/0
Penguins,Flames,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Flames,home,F,Ryan Graves D,16:27,0,0,-2,2,1,0,1,1,0/0
Penguins,Flames,home,F,Matt Grzelcyk D,19:06,0,1,0,2,3,2,1,0,0/0
Penguins,Flames,home,F,Erik Karlsson D,24:33,0,1,-1,2,1,0,0,3,0/0
Penguins,Flames,home,F,Kris Letang D,25:59,0,0,0,4,1,2,2,2,0/0
Penguins,Flames,home,F,Marcus Pettersson D,21:54,0,1,1,1,2,0,0,0,0/0
Penguins,Flames,home,F,Jack St. Ivany D,14:55,0,0,0,1,0,0,0,0,0/0
