team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Canucks,home,D,Ryan Graves D,16:11,0,0,0,0,3,0,1,0,0/0
Penguins,Canucks,home,D,Matt Grzelcyk D,18:05,0,1,-2,1,0,0,0,1,0/0
Penguins,Canucks,home,D,Erik Karlsson D,21:17,0,0,-2,3,0,0,0,4,0/0
Penguins,Canucks,home,D,Kris Letang D,25:32,0,0,1,3,0,0,1,1,0/0
Penguins,Canucks,home,D,Marcus Pettersson D,22:23,0,1,1,0,1,0,1,1,0/0
Penguins,Canucks,home,D,Jack St. Ivany D,14:49,0,0,0,3,3,0,0,0,0/0
Penguins,Canucks,home,D,Ryan Graves D,16:11,0,0,0,0,3,0,1,0,0/0
Penguins,Canucks,home,D,Matt Grzelcyk D,18:05,0,1,-2,1,0,0,0,1,0/0
Penguins,Canucks,home,D,Erik Karlsson D,21:17,0,0,-2,3,0,0,0,4,0/0
Penguins,Canucks,home,D,Kris Letang D,25:32,0,0,1,3,0,0,1,1,0/0
Penguins,Canucks,home,D,Marcus Pettersson D,22:23,0,1,1,0,1,0,1,1,0/0
Penguins,Canucks,home,D,Jack St. Ivany D,14:49,0,0,0,3,3,0,0,0,0/0
Penguins,Canucks,home,F,Noel Acciari C,14:43,0,0,0,0,0,0,0,1,3/10
Penguins,Canucks,home,F,Anthony Beauvillier L,14:52,1,1,1,1,0,0,0,0,0/0
Penguins,Canucks,home,F,Michael Bunting L,15:20,0,0,-1,3,0,6,0,0,0/0
Penguins,Canucks,home,F,Sidney Crosby C,18:46,0,0,-1,1,2,0,0,0,7/19
Penguins,Canucks,home,F,Lars Eller C,17:31,0,0,0,0,0,0,0,0,7/10
Penguins,Canucks,home,F,Kevin Hayes R,11:10,0,0,-1,0,0,0,0,0,2/6
Penguins,Canucks,home,F,Evgeni Malkin C,17:14,1,2,2,2,2,0,1,0,5/10
Penguins,Canucks,home,F,Drew O'Connor L,16:31,0,0,-3,3,1,0,0,1,0/1
Penguins,Canucks,home,F,Jesse Puljujarvi R,09:52,0,0,0,0,1,0,0,0,0/0
Penguins,Canucks,home,F,Valtteri Puustinen R,08:15,0,0,0,0,1,0,0,2,0/0
Penguins,Canucks,home,F,Rickard Rakell R,19:51,0,1,-1,2,2,0,0,3,0/0
Penguins,Canucks,home,F,Bryan Rust R,13:18,1,0,1,2,0,0,0,0,0/0
Penguins,Canucks,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Canucks,home,F,Ryan Graves D,16:11,0,0,0,0,3,0,1,0,0/0
Penguins,Canucks,home,F,Matt Grzelcyk D,18:05,0,1,-2,1,0,0,0,1,0/0
Penguins,Canucks,home,F,Erik Karlsson D,21:17,0,0,-2,3,0,0,0,4,0/0
Penguins,Canucks,home,F,Kris Letang D,25:32,0,0,1,3,0,0,1,1,0/0
Penguins,Canucks,home,F,Marcus Pettersson D,22:23,0,1,1,0,1,0,1,1,0/0
Penguins,Canucks,home,F,Jack St. Ivany D,14:49,0,0,0,3,3,0,0,0,0/0
Penguins,Canucks,home,F,Noel Acciari C,14:43,0,0,0,0,0,0,0,1,3/10
Penguins,Canucks,home,F,Anthony Beauvillier L,14:52,1,1,1,1,0,0,0,0,0/0
Penguins,Canucks,home,F,Michael Bunting L,15:20,0,0,-1,3,0,6,0,0,0/0
Penguins,Canucks,home,F,Sidney Crosby C,18:46,0,0,-1,1,2,0,0,0,7/19
Penguins,Canucks,home,F,Lars Eller C,17:31,0,0,0,0,0,0,0,0,7/10
Penguins,Canucks,home,F,Kevin Hayes R,11:10,0,0,-1,0,0,0,0,0,2/6
Penguins,Canucks,home,F,Evgeni Malkin C,17:14,1,2,2,2,2,0,1,0,5/10
Penguins,Canucks,home,F,Drew O'Connor L,16:31,0,0,-3,3,1,0,0,1,0/1
Penguins,Canucks,home,F,Jesse Puljujarvi R,09:52,0,0,0,0,1,0,0,0,0/0
Penguins,Canucks,home,F,Valtteri Puustinen R,08:15,0,0,0,0,1,0,0,2,0/0
Penguins,Canucks,home,F,Rickard Rakell R,19:51,0,1,-1,2,2,0,0,3,0/0
Penguins,Canucks,home,F,Bryan Rust R,13:18,1,0,1,2,0,0,0,0,0/0
Penguins,Canucks,home,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Canucks,home,F,Ryan Graves D,16:11,0,0,0,0,3,0,1,0,0/0
Penguins,Canucks,home,F,Matt Grzelcyk D,18:05,0,1,-2,1,0,0,0,1,0/0
Penguins,Canucks,home,F,Erik Karlsson D,21:17,0,0,-2,3,0,0,0,4,0/0
Penguins,Canucks,home,F,Kris Letang D,25:32,0,0,1,3,0,0,1,1,0/0
Penguins,Canucks,home,F,Marcus Pettersson D,22:23,0,1,1,0,1,0,1,1,0/0
Penguins,Canucks,home,F,Jack St. Ivany D,14:49,0,0,0,3,3,0,0,0,0/0
