team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Canadiens,away,D,Ryan Graves D,16:52,0,0,0,1,1,5,0,1,0/0
Penguins,Canadiens,away,D,Matt Grzelcyk D,19:56,0,0,0,0,0,0,0,0,0/0
Penguins,Canadiens,away,D,Erik Karlsson D,20:56,0,1,0,4,3,0,1,2,0/0
Penguins,Canadiens,away,D,Kris Letang D,21:14,0,1,1,1,1,2,0,2,0/0
Penguins,Canadiens,away,D,Marcus Pettersson D,22:38,0,0,1,0,4,0,0,0,0/0
Penguins,Canadiens,away,D,Jack St. Ivany D,16:50,0,0,0,1,2,0,2,2,0/0
Penguins,Canadiens,away,D,Ryan Graves D,16:52,0,0,0,1,1,5,0,1,0/0
Penguins,Canadiens,away,D,Matt Grzelcyk D,19:56,0,0,0,0,0,0,0,0,0/0
Penguins,Canadiens,away,D,Erik Karlsson D,20:56,0,1,0,4,3,0,1,2,0/0
Penguins,Canadiens,away,D,Kris Letang D,21:14,0,1,1,1,1,2,0,2,0/0
Penguins,Canadiens,away,D,Marcus Pettersson D,22:38,0,0,1,0,4,0,0,0,0/0
Penguins,Canadiens,away,D,Jack St. Ivany D,16:50,0,0,0,1,2,0,2,2,0/0
Penguins,Canadiens,away,F,Noel Acciari C,18:30,0,0,0,1,1,2,0,1,2/5
Penguins,Canadiens,away,F,Anthony Beauvillier L,11:33,0,0,0,0,2,0,1,0,0/0
Penguins,Canadiens,away,F,Michael Bunting L,14:21,0,0,0,2,0,0,0,0,0/0
Penguins,Canadiens,away,F,Sidney Crosby C,20:02,2,0,1,3,0,0,1,0,13/21
Penguins,Canadiens,away,F,Lars Eller C,19:22,0,1,0,1,2,0,0,2,5/9
Penguins,Canadiens,away,F,Cody Glass C,12:26,0,0,0,1,0,0,0,1,7/9
Penguins,Canadiens,away,F,Kevin Hayes R,07:13,0,0,0,1,0,0,0,0,0/1
Penguins,Canadiens,away,F,Blake Lizotte C,09:10,1,0,1,1,1,0,0,0,1/4
Penguins,Canadiens,away,F,Evgeni Malkin C,19:17,0,0,1,2,1,0,0,2,0/0
Penguins,Canadiens,away,F,Drew O'Connor L,17:41,0,0,-1,2,1,0,0,1,0/0
Penguins,Canadiens,away,F,Valtteri Puustinen R,10:08,0,0,0,2,0,2,0,0,0/0
Penguins,Canadiens,away,F,Rickard Rakell R,17:51,0,1,1,1,2,0,0,0,0/0
Penguins,Canadiens,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Canadiens,away,F,Ryan Graves D,16:52,0,0,0,1,1,5,0,1,0/0
Penguins,Canadiens,away,F,Matt Grzelcyk D,19:56,0,0,0,0,0,0,0,0,0/0
Penguins,Canadiens,away,F,Erik Karlsson D,20:56,0,1,0,4,3,0,1,2,0/0
Penguins,Canadiens,away,F,Kris Letang D,21:14,0,1,1,1,1,2,0,2,0/0
Penguins,Canadiens,away,F,Marcus Pettersson D,22:38,0,0,1,0,4,0,0,0,0/0
Penguins,Canadiens,away,F,Jack St. Ivany D,16:50,0,0,0,1,2,0,2,2,0/0
Penguins,Canadiens,away,F,Noel Acciari C,18:30,0,0,0,1,1,2,0,1,2/5
Penguins,Canadiens,away,F,Anthony Beauvillier L,11:33,0,0,0,0,2,0,1,0,0/0
Penguins,Canadiens,away,F,Michael Bunting L,14:21,0,0,0,2,0,0,0,0,0/0
Penguins,Canadiens,away,F,Sidney Crosby C,20:02,2,0,1,3,0,0,1,0,13/21
Penguins,Canadiens,away,F,Lars Eller C,19:22,0,1,0,1,2,0,0,2,5/9
Penguins,Canadiens,away,F,Cody Glass C,12:26,0,0,0,1,0,0,0,1,7/9
Penguins,Canadiens,away,F,Kevin Hayes R,07:13,0,0,0,1,0,0,0,0,0/1
Penguins,Canadiens,away,F,Blake Lizotte C,09:10,1,0,1,1,1,0,0,0,1/4
Penguins,Canadiens,away,F,Evgeni Malkin C,19:17,0,0,1,2,1,0,0,2,0/0
Penguins,Canadiens,away,F,Drew O'Connor L,17:41,0,0,-1,2,1,0,0,1,0/0
Penguins,Canadiens,away,F,Valtteri Puustinen R,10:08,0,0,0,2,0,2,0,0,0/0
Penguins,Canadiens,away,F,Rickard Rakell R,17:51,0,1,1,1,2,0,0,0,0/0
Penguins,Canadiens,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Canadiens,away,F,Ryan Graves D,16:52,0,0,0,1,1,5,0,1,0/0
Penguins,Canadiens,away,F,Matt Grzelcyk D,19:56,0,0,0,0,0,0,0,0,0/0
Penguins,Canadiens,away,F,Erik Karlsson D,20:56,0,1,0,4,3,0,1,2,0/0
Penguins,Canadiens,away,F,Kris Letang D,21:14,0,1,1,1,1,2,0,2,0/0
Penguins,Canadiens,away,F,Marcus Pettersson D,22:38,0,0,1,0,4,0,0,0,0/0
Penguins,Canadiens,away,F,Jack St. Ivany D,16:50,0,0,0,1,2,0,2,2,0/0
