team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Penguins,Red Wings,away,D,Ryan Graves D,13:42,0,0,1,1,1,0,0,0,0/0
Penguins,Red Wings,away,D,Matt Grzelcyk D,20:49,0,0,-1,1,2,0,0,3,0/0
Penguins,Red Wings,away,D,Erik Karlsson D,22:43,0,0,0,3,2,0,1,2,0/0
Penguins,Red Wings,away,D,Kris Letang D,24:14,0,0,0,5,5,0,1,0,0/0
Penguins,Red Wings,away,D,Marcus Pettersson D,22:30,0,1,0,1,3,0,0,3,0/0
Penguins,Red Wings,away,D,Ryan Shea D,15:28,0,0,1,0,0,0,0,1,0/0
Penguins,Red Wings,away,D,Ryan Graves D,13:42,0,0,1,1,1,0,0,0,0/0
Penguins,Red Wings,away,D,Matt Grzelcyk D,20:49,0,0,-1,1,2,0,0,3,0/0
Penguins,Red Wings,away,D,Erik Karlsson D,22:43,0,0,0,3,2,0,1,2,0/0
Penguins,Red Wings,away,D,Kris Letang D,24:14,0,0,0,5,5,0,1,0,0/0
Penguins,Red Wings,away,D,Marcus Pettersson D,22:30,0,1,0,1,3,0,0,3,0/0
Penguins,Red Wings,away,D,Ryan Shea D,15:28,0,0,1,0,0,0,0,1,0/0
Penguins,Red Wings,away,F,Noel Acciari C,16:19,0,0,1,0,2,0,0,0,8/13
Penguins,Red Wings,away,F,Anthony Beauvillier L,14:47,1,0,1,2,1,0,0,2,0/0
Penguins,Red Wings,away,F,Michael Bunting L,15:53,0,1,0,0,1,0,1,0,0/1
Penguins,Red Wings,away,F,Sidney Crosby C,21:51,0,1,1,6,0,0,0,1,12/27
Penguins,Red Wings,away,F,Blake Lizotte C,03:36,0,0,0,0,0,0,0,0,1/2
Penguins,Red Wings,away,F,Evgeni Malkin C,21:36,0,0,-2,6,1,0,0,1,1/8
Penguins,Red Wings,away,F,Drew O'Connor L,15:42,0,0,0,1,0,2,0,0,3/4
Penguins,Red Wings,away,F,Sam Poulin R,10:04,0,0,0,0,0,2,1,1,0/0
Penguins,Red Wings,away,F,Jesse Puljujarvi R,13:25,0,0,0,1,0,0,0,1,0/0
Penguins,Red Wings,away,F,Valtteri Puustinen R,08:33,0,0,0,0,0,0,1,0,0/0
Penguins,Red Wings,away,F,Rickard Rakell R,21:53,0,0,1,2,0,0,0,1,0/0
Penguins,Red Wings,away,F,Bryan Rust R,18:34,1,0,-1,4,1,0,0,3,0/0
Penguins,Red Wings,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Red Wings,away,F,Ryan Graves D,13:42,0,0,1,1,1,0,0,0,0/0
Penguins,Red Wings,away,F,Matt Grzelcyk D,20:49,0,0,-1,1,2,0,0,3,0/0
Penguins,Red Wings,away,F,Erik Karlsson D,22:43,0,0,0,3,2,0,1,2,0/0
Penguins,Red Wings,away,F,Kris Letang D,24:14,0,0,0,5,5,0,1,0,0/0
Penguins,Red Wings,away,F,Marcus Pettersson D,22:30,0,1,0,1,3,0,0,3,0/0
Penguins,Red Wings,away,F,Ryan Shea D,15:28,0,0,1,0,0,0,0,1,0/0
Penguins,Red Wings,away,F,Noel Acciari C,16:19,0,0,1,0,2,0,0,0,8/13
Penguins,Red Wings,away,F,Anthony Beauvillier L,14:47,1,0,1,2,1,0,0,2,0/0
Penguins,Red Wings,away,F,Michael Bunting L,15:53,0,1,0,0,1,0,1,0,0/1
Penguins,Red Wings,away,F,Sidney Crosby C,21:51,0,1,1,6,0,0,0,1,12/27
Penguins,Red Wings,away,F,Blake Lizotte C,03:36,0,0,0,0,0,0,0,0,1/2
Penguins,Red Wings,away,F,Evgeni Malkin C,21:36,0,0,-2,6,1,0,0,1,1/8
Penguins,Red Wings,away,F,Drew O'Connor L,15:42,0,0,0,1,0,2,0,0,3/4
Penguins,Red Wings,away,F,Sam Poulin R,10:04,0,0,0,0,0,2,1,1,0/0
Penguins,Red Wings,away,F,Jesse Puljujarvi R,13:25,0,0,0,1,0,0,0,1,0/0
Penguins,Red Wings,away,F,Valtteri Puustinen R,08:33,0,0,0,0,0,0,1,0,0/0
Penguins,Red Wings,away,F,Rickard Rakell R,21:53,0,0,1,2,0,0,0,1,0/0
Penguins,Red Wings,away,F,Bryan Rust R,18:34,1,0,-1,4,1,0,0,3,0/0
Penguins,Red Wings,away,F,Penguins Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FORyan
Penguins,Red Wings,away,F,Ryan Graves D,13:42,0,0,1,1,1,0,0,0,0/0
Penguins,Red Wings,away,F,Matt Grzelcyk D,20:49,0,0,-1,1,2,0,0,3,0/0
Penguins,Red Wings,away,F,Erik Karlsson D,22:43,0,0,0,3,2,0,1,2,0/0
Penguins,Red Wings,away,F,Kris Letang D,24:14,0,0,0,5,5,0,1,0,0/0
Penguins,Red Wings,away,F,Marcus Pettersson D,22:30,0,1,0,1,3,0,0,3,0/0
Penguins,Red Wings,away,F,Ryan Shea D,15:28,0,0,1,0,0,0,0,1,0/0
