team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Stars,away,D,Alexandre Carrier D,18:44,0,0,-1,0,2,2,0,0,0/0
Predators,Stars,away,D,Dante Fabbro D,12:50,0,0,0,1,1,0,1,3,0/0
Predators,Stars,away,D,Roman Josi D,29:07,0,1,0,4,2,0,1,2,0/0
Predators,Stars,away,D,Jeremy Lauzon D,16:27,0,0,0,2,0,0,1,1,0/0
Predators,Stars,away,D,Luke Schenn D,11:45,0,0,0,0,1,0,2,0,0/0
Predators,Stars,away,D,Brady Skjei D,19:00,0,0,-2,4,2,0,1,0,0/0
Predators,Stars,away,D,Alexandre Carrier D,18:44,0,0,-1,0,2,2,0,0,0/0
Predators,Stars,away,D,Dante Fabbro D,12:50,0,0,0,1,1,0,1,3,0/0
Predators,Stars,away,D,Roman Josi D,29:07,0,1,0,4,2,0,1,2,0/0
Predators,Stars,away,D,Jeremy Lauzon D,16:27,0,0,0,2,0,0,1,1,0/0
Predators,Stars,away,D,Luke Schenn D,11:45,0,0,0,0,1,0,2,0,0/0
Predators,Stars,away,D,Brady Skjei D,19:00,0,0,-2,4,2,0,1,0,0/0
Predators,Stars,away,F,Luke Evangelista R,12:22,0,1,1,1,0,0,0,2,0/0
Predators,Stars,away,F,Filip Forsberg L,20:34,1,1,0,4,2,0,0,2,0/0
Predators,Stars,away,F,Mark Jankowski C,10:28,0,0,-1,0,1,0,0,2,3/4
Predators,Stars,away,F,Jonathan Marchessault R,22:18,0,2,1,6,0,2,0,2,0/0
Predators,Stars,away,F,Michael McCarron R,11:38,0,0,-1,2,1,0,0,1,5/7
Predators,Stars,away,F,Tommy Novak C,13:09,1,0,1,2,0,0,0,3,1/3
Predators,Stars,away,F,Gustav Nyquist C,16:08,0,0,-1,1,0,0,0,1,1/1
Predators,Stars,away,F,Ryan O'Reilly C,22:14,1,0,-1,1,1,0,1,0,13/19
Predators,Stars,away,F,Colton Sissons C,12:41,0,0,0,2,4,0,1,0,11/15
Predators,Stars,away,F,Cole Smith L,10:59,0,0,-1,0,0,0,1,1,0/0
Predators,Stars,away,F,Steven Stamkos C,23:01,0,0,0,3,0,2,1,0,4/9
Predators,Stars,away,F,Philip Tomasino C,12:22,0,0,1,3,0,0,0,2,0/0
Predators,Stars,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Stars,away,F,Alexandre Carrier D,18:44,0,0,-1,0,2,2,0,0,0/0
Predators,Stars,away,F,Dante Fabbro D,12:50,0,0,0,1,1,0,1,3,0/0
Predators,Stars,away,F,Roman Josi D,29:07,0,1,0,4,2,0,1,2,0/0
Predators,Stars,away,F,Jeremy Lauzon D,16:27,0,0,0,2,0,0,1,1,0/0
Predators,Stars,away,F,Luke Schenn D,11:45,0,0,0,0,1,0,2,0,0/0
Predators,Stars,away,F,Brady Skjei D,19:00,0,0,-2,4,2,0,1,0,0/0
Predators,Stars,away,F,Luke Evangelista R,12:22,0,1,1,1,0,0,0,2,0/0
Predators,Stars,away,F,Filip Forsberg L,20:34,1,1,0,4,2,0,0,2,0/0
Predators,Stars,away,F,Mark Jankowski C,10:28,0,0,-1,0,1,0,0,2,3/4
Predators,Stars,away,F,Jonathan Marchessault R,22:18,0,2,1,6,0,2,0,2,0/0
Predators,Stars,away,F,Michael McCarron R,11:38,0,0,-1,2,1,0,0,1,5/7
Predators,Stars,away,F,Tommy Novak C,13:09,1,0,1,2,0,0,0,3,1/3
Predators,Stars,away,F,Gustav Nyquist C,16:08,0,0,-1,1,0,0,0,1,1/1
Predators,Stars,away,F,Ryan O'Reilly C,22:14,1,0,-1,1,1,0,1,0,13/19
Predators,Stars,away,F,Colton Sissons C,12:41,0,0,0,2,4,0,1,0,11/15
Predators,Stars,away,F,Cole Smith L,10:59,0,0,-1,0,0,0,1,1,0/0
Predators,Stars,away,F,Steven Stamkos C,23:01,0,0,0,3,0,2,1,0,4/9
Predators,Stars,away,F,Philip Tomasino C,12:22,0,0,1,3,0,0,0,2,0/0
Predators,Stars,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Stars,away,F,Alexandre Carrier D,18:44,0,0,-1,0,2,2,0,0,0/0
Predators,Stars,away,F,Dante Fabbro D,12:50,0,0,0,1,1,0,1,3,0/0
Predators,Stars,away,F,Roman Josi D,29:07,0,1,0,4,2,0,1,2,0/0
Predators,Stars,away,F,Jeremy Lauzon D,16:27,0,0,0,2,0,0,1,1,0/0
Predators,Stars,away,F,Luke Schenn D,11:45,0,0,0,0,1,0,2,0,0/0
Predators,Stars,away,F,Brady Skjei D,19:00,0,0,-2,4,2,0,1,0,0/0
