team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Blackhawks,home,D,Alexandre Carrier D,21:14,0,2,0,1,1,0,0,1,0/0
Predators,Blackhawks,home,D,Marc Del Gaizo D,11:15,0,0,1,2,2,2,0,0,0/0
Predators,Blackhawks,home,D,Roman Josi D,25:56,0,0,0,3,1,0,1,1,0/0
Predators,Blackhawks,home,D,Jeremy Lauzon D,19:08,0,0,0,0,1,0,0,2,0/0
Predators,Blackhawks,home,D,Luke Schenn D,13:36,0,0,0,2,1,0,0,0,0/0
Predators,Blackhawks,home,D,Brady Skjei D,20:10,1,0,-1,3,2,2,1,0,0/0
Predators,Blackhawks,home,D,Alexandre Carrier D,21:14,0,2,0,1,1,0,0,1,0/0
Predators,Blackhawks,home,D,Marc Del Gaizo D,11:15,0,0,1,2,2,2,0,0,0/0
Predators,Blackhawks,home,D,Roman Josi D,25:56,0,0,0,3,1,0,1,1,0/0
Predators,Blackhawks,home,D,Jeremy Lauzon D,19:08,0,0,0,0,1,0,0,2,0/0
Predators,Blackhawks,home,D,Luke Schenn D,13:36,0,0,0,2,1,0,0,0,0/0
Predators,Blackhawks,home,D,Brady Skjei D,20:10,1,0,-1,3,2,2,1,0,0/0
Predators,Blackhawks,home,F,Luke Evangelista R,11:46,0,1,-1,2,0,2,1,1,0/0
Predators,Blackhawks,home,F,Filip Forsberg L,19:10,1,0,1,7,0,0,1,1,0/0
Predators,Blackhawks,home,F,Mark Jankowski C,14:27,0,0,-1,1,0,0,0,0,5/7
Predators,Blackhawks,home,F,Zachary L'Heureux L,08:20,0,0,-1,1,0,0,0,1,0/0
Predators,Blackhawks,home,F,Jonathan Marchessault R,18:02,0,0,0,4,2,0,0,0,0/0
Predators,Blackhawks,home,F,Michael McCarron R,12:01,0,0,-1,1,1,7,0,0,5/11
Predators,Blackhawks,home,F,Tommy Novak C,10:45,0,1,0,2,1,0,1,0,4/5
Predators,Blackhawks,home,F,Gustav Nyquist C,14:55,1,1,2,1,1,0,0,0,0/0
Predators,Blackhawks,home,F,Ryan O'Reilly C,19:14,0,0,0,1,1,0,0,1,6/14
Predators,Blackhawks,home,F,Colton Sissons C,18:47,0,0,0,0,2,0,1,0,11/17
Predators,Blackhawks,home,F,Cole Smith L,12:51,0,1,0,2,0,2,0,0,0/0
Predators,Blackhawks,home,F,Steven Stamkos C,18:25,0,0,0,1,0,0,1,1,5/8
Predators,Blackhawks,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Blackhawks,home,F,Alexandre Carrier D,21:14,0,2,0,1,1,0,0,1,0/0
Predators,Blackhawks,home,F,Marc Del Gaizo D,11:15,0,0,1,2,2,2,0,0,0/0
Predators,Blackhawks,home,F,Roman Josi D,25:56,0,0,0,3,1,0,1,1,0/0
Predators,Blackhawks,home,F,Jeremy Lauzon D,19:08,0,0,0,0,1,0,0,2,0/0
Predators,Blackhawks,home,F,Luke Schenn D,13:36,0,0,0,2,1,0,0,0,0/0
Predators,Blackhawks,home,F,Brady Skjei D,20:10,1,0,-1,3,2,2,1,0,0/0
Predators,Blackhawks,home,F,Luke Evangelista R,11:46,0,1,-1,2,0,2,1,1,0/0
Predators,Blackhawks,home,F,Filip Forsberg L,19:10,1,0,1,7,0,0,1,1,0/0
Predators,Blackhawks,home,F,Mark Jankowski C,14:27,0,0,-1,1,0,0,0,0,5/7
Predators,Blackhawks,home,F,Zachary L'Heureux L,08:20,0,0,-1,1,0,0,0,1,0/0
Predators,Blackhawks,home,F,Jonathan Marchessault R,18:02,0,0,0,4,2,0,0,0,0/0
Predators,Blackhawks,home,F,Michael McCarron R,12:01,0,0,-1,1,1,7,0,0,5/11
Predators,Blackhawks,home,F,Tommy Novak C,10:45,0,1,0,2,1,0,1,0,4/5
Predators,Blackhawks,home,F,Gustav Nyquist C,14:55,1,1,2,1,1,0,0,0,0/0
Predators,Blackhawks,home,F,Ryan O'Reilly C,19:14,0,0,0,1,1,0,0,1,6/14
Predators,Blackhawks,home,F,Colton Sissons C,18:47,0,0,0,0,2,0,1,0,11/17
Predators,Blackhawks,home,F,Cole Smith L,12:51,0,1,0,2,0,2,0,0,0/0
Predators,Blackhawks,home,F,Steven Stamkos C,18:25,0,0,0,1,0,0,1,1,5/8
Predators,Blackhawks,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Blackhawks,home,F,Alexandre Carrier D,21:14,0,2,0,1,1,0,0,1,0/0
Predators,Blackhawks,home,F,Marc Del Gaizo D,11:15,0,0,1,2,2,2,0,0,0/0
Predators,Blackhawks,home,F,Roman Josi D,25:56,0,0,0,3,1,0,1,1,0/0
Predators,Blackhawks,home,F,Jeremy Lauzon D,19:08,0,0,0,0,1,0,0,2,0/0
Predators,Blackhawks,home,F,Luke Schenn D,13:36,0,0,0,2,1,0,0,0,0/0
Predators,Blackhawks,home,F,Brady Skjei D,20:10,1,0,-1,3,2,2,1,0,0/0
