team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Blue Jackets,away,D,Alexandre Carrier D,20:26,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,D,Dante Fabbro D,13:06,0,0,-2,0,2,0,0,2,0/0
Predators,Blue Jackets,away,D,Roman Josi D,27:10,0,0,-2,6,1,0,0,0,0/0
Predators,Blue Jackets,away,D,Jeremy Lauzon D,20:45,0,0,1,0,3,0,0,0,0/0
Predators,Blue Jackets,away,D,Luke Schenn D,15:22,0,0,0,2,1,0,0,1,0/0
Predators,Blue Jackets,away,D,Brady Skjei D,21:56,0,2,2,2,0,0,1,3,0/0
Predators,Blue Jackets,away,D,Alexandre Carrier D,20:26,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,D,Dante Fabbro D,13:06,0,0,-2,0,2,0,0,2,0/0
Predators,Blue Jackets,away,D,Roman Josi D,27:10,0,0,-2,6,1,0,0,0,0/0
Predators,Blue Jackets,away,D,Jeremy Lauzon D,20:45,0,0,1,0,3,0,0,0,0/0
Predators,Blue Jackets,away,D,Luke Schenn D,15:22,0,0,0,2,1,0,0,1,0/0
Predators,Blue Jackets,away,D,Brady Skjei D,21:56,0,2,2,2,0,0,1,3,0/0
Predators,Blue Jackets,away,F,Luke Evangelista R,06:56,0,0,-1,0,0,0,0,0,0/0
Predators,Blue Jackets,away,F,Filip Forsberg L,18:28,1,0,0,7,2,2,3,2,0/1
Predators,Blue Jackets,away,F,Mark Jankowski C,10:20,0,0,-1,0,0,0,0,0,1/1
Predators,Blue Jackets,away,F,Zachary L'Heureux L,13:34,0,1,2,0,1,0,1,0,0/0
Predators,Blue Jackets,away,F,Jonathan Marchessault R,19:03,1,0,0,5,0,0,0,1,0/1
Predators,Blue Jackets,away,F,Michael McCarron R,13:50,0,1,2,2,0,0,0,0,7/12
Predators,Blue Jackets,away,F,Tommy Novak C,14:12,0,0,0,2,0,2,1,3,3/5
Predators,Blue Jackets,away,F,Gustav Nyquist C,16:49,0,0,0,0,2,0,0,1,0/0
Predators,Blue Jackets,away,F,Ryan O'Reilly C,21:49,0,1,0,2,0,0,0,2,8/17
Predators,Blue Jackets,away,F,Colton Sissons C,12:50,0,0,-2,0,3,2,0,1,8/17
Predators,Blue Jackets,away,F,Cole Smith L,14:51,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,F,Steven Stamkos C,17:46,0,0,-1,1,1,0,0,0,2/3
Predators,Blue Jackets,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Blue Jackets,away,F,Alexandre Carrier D,20:26,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,F,Dante Fabbro D,13:06,0,0,-2,0,2,0,0,2,0/0
Predators,Blue Jackets,away,F,Roman Josi D,27:10,0,0,-2,6,1,0,0,0,0/0
Predators,Blue Jackets,away,F,Jeremy Lauzon D,20:45,0,0,1,0,3,0,0,0,0/0
Predators,Blue Jackets,away,F,Luke Schenn D,15:22,0,0,0,2,1,0,0,1,0/0
Predators,Blue Jackets,away,F,Brady Skjei D,21:56,0,2,2,2,0,0,1,3,0/0
Predators,Blue Jackets,away,F,Luke Evangelista R,06:56,0,0,-1,0,0,0,0,0,0/0
Predators,Blue Jackets,away,F,Filip Forsberg L,18:28,1,0,0,7,2,2,3,2,0/1
Predators,Blue Jackets,away,F,Mark Jankowski C,10:20,0,0,-1,0,0,0,0,0,1/1
Predators,Blue Jackets,away,F,Zachary L'Heureux L,13:34,0,1,2,0,1,0,1,0,0/0
Predators,Blue Jackets,away,F,Jonathan Marchessault R,19:03,1,0,0,5,0,0,0,1,0/1
Predators,Blue Jackets,away,F,Michael McCarron R,13:50,0,1,2,2,0,0,0,0,7/12
Predators,Blue Jackets,away,F,Tommy Novak C,14:12,0,0,0,2,0,2,1,3,3/5
Predators,Blue Jackets,away,F,Gustav Nyquist C,16:49,0,0,0,0,2,0,0,1,0/0
Predators,Blue Jackets,away,F,Ryan O'Reilly C,21:49,0,1,0,2,0,0,0,2,8/17
Predators,Blue Jackets,away,F,Colton Sissons C,12:50,0,0,-2,0,3,2,0,1,8/17
Predators,Blue Jackets,away,F,Cole Smith L,14:51,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,F,Steven Stamkos C,17:46,0,0,-1,1,1,0,0,0,2/3
Predators,Blue Jackets,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Blue Jackets,away,F,Alexandre Carrier D,20:26,1,0,2,2,0,0,1,0,0/0
Predators,Blue Jackets,away,F,Dante Fabbro D,13:06,0,0,-2,0,2,0,0,2,0/0
Predators,Blue Jackets,away,F,Roman Josi D,27:10,0,0,-2,6,1,0,0,0,0/0
Predators,Blue Jackets,away,F,Jeremy Lauzon D,20:45,0,0,1,0,3,0,0,0,0/0
Predators,Blue Jackets,away,F,Luke Schenn D,15:22,0,0,0,2,1,0,0,1,0/0
Predators,Blue Jackets,away,F,Brady Skjei D,21:56,0,2,2,2,0,0,1,3,0/0
