team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Lightning,home,D,Alexandre Carrier D,22:36,0,0,0,3,4,0,0,0,0/0
Predators,Lightning,home,D,Dante Fabbro D,11:32,0,0,0,1,1,0,0,3,0/0
Predators,Lightning,home,D,Roman Josi D,28:22,0,0,-2,6,1,0,0,2,0/0
Predators,Lightning,home,D,Jeremy Lauzon D,20:59,0,0,0,0,4,0,0,0,0/0
Predators,Lightning,home,D,Luke Schenn D,14:06,0,0,-1,2,4,0,0,1,0/0
Predators,Lightning,home,D,Brady Skjei D,19:22,0,1,0,0,0,0,0,1,0/0
Predators,Lightning,home,D,Alexandre Carrier D,22:36,0,0,0,3,4,0,0,0,0/0
Predators,Lightning,home,D,Dante Fabbro D,11:32,0,0,0,1,1,0,0,3,0/0
Predators,Lightning,home,D,Roman Josi D,28:22,0,0,-2,6,1,0,0,2,0/0
Predators,Lightning,home,D,Jeremy Lauzon D,20:59,0,0,0,0,4,0,0,0,0/0
Predators,Lightning,home,D,Luke Schenn D,14:06,0,0,-1,2,4,0,0,1,0/0
Predators,Lightning,home,D,Brady Skjei D,19:22,0,1,0,0,0,0,0,1,0/0
Predators,Lightning,home,F,Luke Evangelista R,11:13,0,0,0,5,0,0,0,0,0/0
Predators,Lightning,home,F,Filip Forsberg L,20:00,0,0,-3,2,1,2,0,1,0/0
Predators,Lightning,home,F,Mark Jankowski C,11:07,0,0,0,1,0,0,0,0,3/3
Predators,Lightning,home,F,Zachary L'Heureux L,08:31,0,0,0,0,1,2,0,0,0/0
Predators,Lightning,home,F,Jonathan Marchessault R,17:34,0,1,-1,1,1,0,0,1,0/1
Predators,Lightning,home,F,Michael McCarron R,12:32,0,0,0,0,0,0,0,0,0/6
Predators,Lightning,home,F,Tommy Novak C,14:08,0,0,-2,3,1,0,0,0,4/6
Predators,Lightning,home,F,Gustav Nyquist C,19:21,1,0,1,2,1,0,1,1,0/0
Predators,Lightning,home,F,Ryan O'Reilly C,21:31,1,0,-1,3,0,0,0,1,11/23
Predators,Lightning,home,F,Colton Sissons C,15:17,0,0,1,2,0,2,0,0,13/19
Predators,Lightning,home,F,Cole Smith L,14:53,0,0,0,0,2,0,0,1,0/1
Predators,Lightning,home,F,Steven Stamkos C,21:02,0,2,0,6,0,0,0,1,1/5
Predators,Lightning,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Lightning,home,F,Alexandre Carrier D,22:36,0,0,0,3,4,0,0,0,0/0
Predators,Lightning,home,F,Dante Fabbro D,11:32,0,0,0,1,1,0,0,3,0/0
Predators,Lightning,home,F,Roman Josi D,28:22,0,0,-2,6,1,0,0,2,0/0
Predators,Lightning,home,F,Jeremy Lauzon D,20:59,0,0,0,0,4,0,0,0,0/0
Predators,Lightning,home,F,Luke Schenn D,14:06,0,0,-1,2,4,0,0,1,0/0
Predators,Lightning,home,F,Brady Skjei D,19:22,0,1,0,0,0,0,0,1,0/0
Predators,Lightning,home,F,Luke Evangelista R,11:13,0,0,0,5,0,0,0,0,0/0
Predators,Lightning,home,F,Filip Forsberg L,20:00,0,0,-3,2,1,2,0,1,0/0
Predators,Lightning,home,F,Mark Jankowski C,11:07,0,0,0,1,0,0,0,0,3/3
Predators,Lightning,home,F,Zachary L'Heureux L,08:31,0,0,0,0,1,2,0,0,0/0
Predators,Lightning,home,F,Jonathan Marchessault R,17:34,0,1,-1,1,1,0,0,1,0/1
Predators,Lightning,home,F,Michael McCarron R,12:32,0,0,0,0,0,0,0,0,0/6
Predators,Lightning,home,F,Tommy Novak C,14:08,0,0,-2,3,1,0,0,0,4/6
Predators,Lightning,home,F,Gustav Nyquist C,19:21,1,0,1,2,1,0,1,1,0/0
Predators,Lightning,home,F,Ryan O'Reilly C,21:31,1,0,-1,3,0,0,0,1,11/23
Predators,Lightning,home,F,Colton Sissons C,15:17,0,0,1,2,0,2,0,0,13/19
Predators,Lightning,home,F,Cole Smith L,14:53,0,0,0,0,2,0,0,1,0/1
Predators,Lightning,home,F,Steven Stamkos C,21:02,0,2,0,6,0,0,0,1,1/5
Predators,Lightning,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Lightning,home,F,Alexandre Carrier D,22:36,0,0,0,3,4,0,0,0,0/0
Predators,Lightning,home,F,Dante Fabbro D,11:32,0,0,0,1,1,0,0,3,0/0
Predators,Lightning,home,F,Roman Josi D,28:22,0,0,-2,6,1,0,0,2,0/0
Predators,Lightning,home,F,Jeremy Lauzon D,20:59,0,0,0,0,4,0,0,0,0/0
Predators,Lightning,home,F,Luke Schenn D,14:06,0,0,-1,2,4,0,0,1,0/0
Predators,Lightning,home,F,Brady Skjei D,19:22,0,1,0,0,0,0,0,1,0/0
