team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Avalanche,away,D,Alexandre Carrier D,23:04,0,0,0,0,3,0,0,1,0/0
Predators,Avalanche,away,D,Marc Del Gaizo D,16:34,0,1,1,0,3,0,1,0,0/0
Predators,Avalanche,away,D,Roman Josi D,24:10,1,1,1,4,2,0,1,1,0/0
Predators,Avalanche,away,D,Jeremy Lauzon D,20:40,0,0,2,2,0,2,0,2,0/0
Predators,Avalanche,away,D,Luke Schenn D,16:00,0,0,0,0,2,2,0,1,0/0
Predators,Avalanche,away,D,Brady Skjei D,19:34,0,0,0,0,4,0,0,3,0/0
Predators,Avalanche,away,D,Alexandre Carrier D,23:04,0,0,0,0,3,0,0,1,0/0
Predators,Avalanche,away,D,Marc Del Gaizo D,16:34,0,1,1,0,3,0,1,0,0/0
Predators,Avalanche,away,D,Roman Josi D,24:10,1,1,1,4,2,0,1,1,0/0
Predators,Avalanche,away,D,Jeremy Lauzon D,20:40,0,0,2,2,0,2,0,2,0/0
Predators,Avalanche,away,D,Luke Schenn D,16:00,0,0,0,0,2,2,0,1,0/0
Predators,Avalanche,away,D,Brady Skjei D,19:34,0,0,0,0,4,0,0,3,0/0
Predators,Avalanche,away,F,Luke Evangelista R,10:29,0,0,0,2,0,0,0,0,0/0
Predators,Avalanche,away,F,Filip Forsberg L,18:00,1,0,1,5,0,2,1,0,0/0
Predators,Avalanche,away,F,Mark Jankowski L,10:43,0,0,0,0,0,0,0,1,0/4
Predators,Avalanche,away,F,Zachary L'Heureux L,10:45,0,1,1,1,0,0,0,1,0/0
Predators,Avalanche,away,F,Jonathan Marchessault R,18:39,0,1,0,3,1,0,0,2,0/0
Predators,Avalanche,away,F,Tommy Novak C,09:54,0,0,0,0,1,0,0,0,1/4
Predators,Avalanche,away,F,Gustav Nyquist R,15:53,1,1,2,1,2,0,0,0,1/1
Predators,Avalanche,away,F,Ryan O'Reilly C,19:20,0,1,1,0,2,0,0,0,15/25
Predators,Avalanche,away,F,Juuso Parssinen C,13:07,0,0,0,2,2,0,0,2,5/7
Predators,Avalanche,away,F,Colton Sissons C,14:53,1,0,2,2,2,0,1,0,7/13
Predators,Avalanche,away,F,Cole Smith R,14:11,0,0,0,2,1,0,0,1,0/1
Predators,Avalanche,away,F,Steven Stamkos C,16:56,1,1,-1,1,1,2,0,0,3/8
Predators,Avalanche,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Avalanche,away,F,Alexandre Carrier D,23:04,0,0,0,0,3,0,0,1,0/0
Predators,Avalanche,away,F,Marc Del Gaizo D,16:34,0,1,1,0,3,0,1,0,0/0
Predators,Avalanche,away,F,Roman Josi D,24:10,1,1,1,4,2,0,1,1,0/0
Predators,Avalanche,away,F,Jeremy Lauzon D,20:40,0,0,2,2,0,2,0,2,0/0
Predators,Avalanche,away,F,Luke Schenn D,16:00,0,0,0,0,2,2,0,1,0/0
Predators,Avalanche,away,F,Brady Skjei D,19:34,0,0,0,0,4,0,0,3,0/0
Predators,Avalanche,away,F,Luke Evangelista R,10:29,0,0,0,2,0,0,0,0,0/0
Predators,Avalanche,away,F,Filip Forsberg L,18:00,1,0,1,5,0,2,1,0,0/0
Predators,Avalanche,away,F,Mark Jankowski L,10:43,0,0,0,0,0,0,0,1,0/4
Predators,Avalanche,away,F,Zachary L'Heureux L,10:45,0,1,1,1,0,0,0,1,0/0
Predators,Avalanche,away,F,Jonathan Marchessault R,18:39,0,1,0,3,1,0,0,2,0/0
Predators,Avalanche,away,F,Tommy Novak C,09:54,0,0,0,0,1,0,0,0,1/4
Predators,Avalanche,away,F,Gustav Nyquist R,15:53,1,1,2,1,2,0,0,0,1/1
Predators,Avalanche,away,F,Ryan O'Reilly C,19:20,0,1,1,0,2,0,0,0,15/25
Predators,Avalanche,away,F,Juuso Parssinen C,13:07,0,0,0,2,2,0,0,2,5/7
Predators,Avalanche,away,F,Colton Sissons C,14:53,1,0,2,2,2,0,1,0,7/13
Predators,Avalanche,away,F,Cole Smith R,14:11,0,0,0,2,1,0,0,1,0/1
Predators,Avalanche,away,F,Steven Stamkos C,16:56,1,1,-1,1,1,2,0,0,3/8
Predators,Avalanche,away,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Avalanche,away,F,Alexandre Carrier D,23:04,0,0,0,0,3,0,0,1,0/0
Predators,Avalanche,away,F,Marc Del Gaizo D,16:34,0,1,1,0,3,0,1,0,0/0
Predators,Avalanche,away,F,Roman Josi D,24:10,1,1,1,4,2,0,1,1,0/0
Predators,Avalanche,away,F,Jeremy Lauzon D,20:40,0,0,2,2,0,2,0,2,0/0
Predators,Avalanche,away,F,Luke Schenn D,16:00,0,0,0,0,2,2,0,1,0/0
Predators,Avalanche,away,F,Brady Skjei D,19:34,0,0,0,0,4,0,0,3,0/0
