team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Predators,Panthers,home,D,Alexandre Carrier D,20:30,0,0,-1,0,5,0,0,0,0/0
Predators,Panthers,home,D,Marc Del Gaizo D,16:20,0,1,1,0,0,2,0,0,0/0
Predators,Panthers,home,D,Roman Josi D,21:29,0,1,-2,1,1,2,0,3,0/0
Predators,Panthers,home,D,Jeremy Lauzon D,19:02,0,0,-1,1,1,0,0,2,0/0
Predators,Panthers,home,D,Luke Schenn D,18:02,0,0,-1,3,0,6,0,0,0/0
Predators,Panthers,home,D,Brady Skjei D,19:33,0,0,-3,0,1,0,0,1,0/0
Predators,Panthers,home,D,Alexandre Carrier D,20:30,0,0,-1,0,5,0,0,0,0/0
Predators,Panthers,home,D,Marc Del Gaizo D,16:20,0,1,1,0,0,2,0,0,0/0
Predators,Panthers,home,D,Roman Josi D,21:29,0,1,-2,1,1,2,0,3,0/0
Predators,Panthers,home,D,Jeremy Lauzon D,19:02,0,0,-1,1,1,0,0,2,0/0
Predators,Panthers,home,D,Luke Schenn D,18:02,0,0,-1,3,0,6,0,0,0/0
Predators,Panthers,home,D,Brady Skjei D,19:33,0,0,-3,0,1,0,0,1,0/0
Predators,Panthers,home,F,Luke Evangelista R,14:30,0,1,1,1,0,2,0,0,0/0
Predators,Panthers,home,F,Filip Forsberg L,16:33,0,1,-1,0,1,0,0,0,0/0
Predators,Panthers,home,F,Mark Jankowski L,15:28,0,0,-1,0,0,0,1,0,8/12
Predators,Panthers,home,F,Zachary L'Heureux L,08:03,0,0,0,0,0,2,0,2,0/0
Predators,Panthers,home,F,Jonathan Marchessault R,13:04,0,0,-2,0,0,2,0,1,1/1
Predators,Panthers,home,F,Michael McCarron C,12:43,0,0,-2,0,2,4,1,1,8/17
Predators,Panthers,home,F,Gustav Nyquist R,14:51,0,0,-2,0,0,0,0,0,0/0
Predators,Panthers,home,F,Ryan O'Reilly C,17:55,0,0,-2,3,1,0,0,0,13/18
Predators,Panthers,home,F,Juuso Parssinen C,12:54,1,0,1,2,0,0,0,0,4/8
Predators,Panthers,home,F,Cole Smith R,13:37,0,0,0,0,1,0,0,1,0/1
Predators,Panthers,home,F,Steven Stamkos C,16:19,1,0,-1,5,1,2,0,1,4/7
Predators,Panthers,home,F,Philip Tomasino R,12:47,0,0,1,2,1,0,0,0,0/0
Predators,Panthers,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Panthers,home,F,Alexandre Carrier D,20:30,0,0,-1,0,5,0,0,0,0/0
Predators,Panthers,home,F,Marc Del Gaizo D,16:20,0,1,1,0,0,2,0,0,0/0
Predators,Panthers,home,F,Roman Josi D,21:29,0,1,-2,1,1,2,0,3,0/0
Predators,Panthers,home,F,Jeremy Lauzon D,19:02,0,0,-1,1,1,0,0,2,0/0
Predators,Panthers,home,F,Luke Schenn D,18:02,0,0,-1,3,0,6,0,0,0/0
Predators,Panthers,home,F,Brady Skjei D,19:33,0,0,-3,0,1,0,0,1,0/0
Predators,Panthers,home,F,Luke Evangelista R,14:30,0,1,1,1,0,2,0,0,0/0
Predators,Panthers,home,F,Filip Forsberg L,16:33,0,1,-1,0,1,0,0,0,0/0
Predators,Panthers,home,F,Mark Jankowski L,15:28,0,0,-1,0,0,0,1,0,8/12
Predators,Panthers,home,F,Zachary L'Heureux L,08:03,0,0,0,0,0,2,0,2,0/0
Predators,Panthers,home,F,Jonathan Marchessault R,13:04,0,0,-2,0,0,2,0,1,1/1
Predators,Panthers,home,F,Michael McCarron C,12:43,0,0,-2,0,2,4,1,1,8/17
Predators,Panthers,home,F,Gustav Nyquist R,14:51,0,0,-2,0,0,0,0,0,0/0
Predators,Panthers,home,F,Ryan O'Reilly C,17:55,0,0,-2,3,1,0,0,0,13/18
Predators,Panthers,home,F,Juuso Parssinen C,12:54,1,0,1,2,0,0,0,0,4/8
Predators,Panthers,home,F,Cole Smith R,13:37,0,0,0,0,1,0,0,1,0/1
Predators,Panthers,home,F,Steven Stamkos C,16:19,1,0,-1,5,1,2,0,1,4/7
Predators,Panthers,home,F,Philip Tomasino R,12:47,0,0,1,2,1,0,0,0,0/0
Predators,Panthers,home,F,Predators Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAlexandre
Predators,Panthers,home,F,Alexandre Carrier D,20:30,0,0,-1,0,5,0,0,0,0/0
Predators,Panthers,home,F,Marc Del Gaizo D,16:20,0,1,1,0,0,2,0,0,0/0
Predators,Panthers,home,F,Roman Josi D,21:29,0,1,-2,1,1,2,0,3,0/0
Predators,Panthers,home,F,Jeremy Lauzon D,19:02,0,0,-1,1,1,0,0,2,0/0
Predators,Panthers,home,F,Luke Schenn D,18:02,0,0,-1,3,0,6,0,0,0/0
Predators,Panthers,home,F,Brady Skjei D,19:33,0,0,-3,0,1,0,0,1,0/0
