game_id,game_date,team,opponent,home_away,team_score,opponent_score,shots_for,shots_against,result,goals_for,goals_against,games_played,wins,losses,ties,points,cum_goals_for,cum_goals_against,cum_shots_for,cum_shots_against,avg_goals_for,avg_goals_against,avg_shots_for,avg_shots_against,points_pct
2022020001,2022-10-07,NSH,SJS,home,4,1,32,31,W,4,1,1,1,0,0,2,4,1,32,31,4.0,1.0,32.0,31.0,1.0
2022020002,2022-10-08,NSH,SJS,away,3,2,18,33,W,3,2,2,2,0,0,4,7,3,50,64,3.5,1.5,25.0,32.0,1.0
2022020016,2022-10-13,NSH,DAL,home,1,4,32,29,L,1,4,3,2,1,0,4,8,7,82,93,2.67,2.33,27.33,31.0,0.667
2022020035,2022-10-15,NSH,DAL,away,1,5,30,22,L,1,5,4,2,2,0,4,9,12,112,115,2.25,3.0,28.0,28.75,0.5
2022020052,2022-10-18,NSH,LAK,home,3,4,32,35,L,3,4,5,2,3,0,4,12,16,144,150,2.4,3.2,28.8,30.0,0.4
2022020063,2022-10-20,NSH,CBJ,away,3,5,26,42,L,3,5,6,2,4,0,4,15,21,170,192,2.5,3.5,28.33,32.0,0.333
2022020083,2022-10-22,NSH,PHI,home,1,3,32,25,L,1,3,7,2,5,0,4,16,24,202,217,2.29,3.43,28.86,31.0,0.286
2022020115,2022-10-27,NSH,STL,home,6,2,42,35,W,6,2,8,3,5,0,6,22,26,244,252,2.75,3.25,30.5,31.5,0.375
2022020136,2022-10-29,NSH,WSH,home,0,3,34,35,L,0,3,9,3,6,0,6,22,29,278,287,2.44,3.22,30.89,31.89,0.333
2022020154,2022-11-01,NSH,EDM,away,4,7,23,37,L,4,7,10,3,7,0,6,26,36,301,324,2.6,3.6,30.1,32.4,0.3
2022020169,2022-11-03,NSH,CGY,away,4,1,32,30,W,4,1,11,4,7,0,8,30,37,333,354,2.73,3.36,30.27,32.18,0.364
2022020186,2022-11-05,NSH,VAN,away,4,3,30,45,W,4,3,12,5,7,0,10,34,40,363,399,2.83,3.33,30.25,33.25,0.417
2022020205,2022-11-08,NSH,SEA,away,1,5,25,20,L,1,5,13,5,8,0,10,35,45,388,419,2.69,3.46,29.85,32.23,0.385
2022020219,2022-11-10,NSH,COL,away,3,5,35,35,L,3,5,14,5,9,0,10,38,50,423,454,2.71,3.57,30.21,32.43,0.357
2022020232,2022-11-12,NSH,NYR,home,2,1,18,35,W,2,1,15,6,9,0,12,40,51,441,489,2.67,3.4,29.4,32.6,0.4
2022020254,2022-11-15,NSH,MIN,home,2,1,25,33,W,2,1,16,7,9,0,14,42,52,466,522,2.62,3.25,29.12,32.62,0.438
2022020267,2022-11-17,NSH,NYI,home,5,4,31,33,W,5,4,17,8,9,0,16,47,56,497,555,2.76,3.29,29.24,32.65,0.471
2022020285,2022-11-19,NSH,TBL,home,2,3,32,39,L,2,3,18,8,10,0,16,49,59,529,594,2.72,3.28,29.39,33.0,0.444
2022020297,2022-11-21,NSH,ARI,home,4,3,45,27,W,4,3,19,9,10,0,18,53,62,574,621,2.79,3.26,30.21,32.68,0.474
2022020311,2022-11-23,NSH,DET,away,0,3,26,29,L,0,3,20,9,11,0,18,53,65,600,650,2.65,3.25,30.0,32.5,0.45
2022020356,2022-11-29,NSH,ANA,home,2,1,41,35,W,2,1,21,10,11,0,20,55,66,641,685,2.62,3.14,30.52,32.62,0.476
