team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Hockey Club,away,D,Adam Fox D,23:34,0,3,1,0,1,0,1,2,0/0
Rangers,Hockey Club,away,D,Zac Jones D,15:26,0,0,1,1,0,0,0,0,0/0
Rangers,Hockey Club,away,D,Victor Mancini D,14:54,0,0,0,2,3,0,0,1,0/0
Rangers,Hockey Club,away,D,K'Andre Miller D,26:59,1,0,0,3,3,2,0,1,0/0
Rangers,Hockey Club,away,D,Braden Schneider D,18:39,1,0,-1,4,0,0,0,2,0/0
Rangers,Hockey Club,away,D,Jacob Trouba D,20:39,0,1,-2,2,2,0,1,2,0/0
Rangers,Hockey Club,away,D,Adam Fox D,23:34,0,3,1,0,1,0,1,2,0/0
Rangers,Hockey Club,away,D,Zac Jones D,15:26,0,0,1,1,0,0,0,0,0/0
Rangers,Hockey Club,away,D,Victor Mancini D,14:54,0,0,0,2,3,0,0,1,0/0
Rangers,Hockey Club,away,D,K'Andre Miller D,26:59,1,0,0,3,3,2,0,1,0/0
Rangers,Hockey Club,away,D,Braden Schneider D,18:39,1,0,-1,4,0,0,0,2,0/0
Rangers,Hockey Club,away,D,Jacob Trouba D,20:39,0,1,-2,2,2,0,1,2,0/0
Rangers,Hockey Club,away,F,Sam Carrick C,04:35,0,0,1,0,0,5,0,0,2/5
Rangers,Hockey Club,away,F,Filip Chytil C,12:57,0,0,3,1,1,0,0,0,2/9
Rangers,Hockey Club,away,F,Will Cuylle L,12:12,1,1,3,3,1,2,1,1,0/0
Rangers,Hockey Club,away,F,Adam Edstrom C,01:52,0,0,0,1,0,15,0,0,0/0
Rangers,Hockey Club,away,F,Kaapo Kakko R,12:19,0,1,3,1,0,0,0,1,0/0
Rangers,Hockey Club,away,F,Chris Kreider L,21:21,0,0,-2,2,0,0,1,1,3/6
Rangers,Hockey Club,away,F,Alexis Lafrenière L,23:41,0,1,-2,2,0,0,0,3,0/1
Rangers,Hockey Club,away,F,Artemi Panarin L,24:17,2,0,-1,4,1,0,0,2,0/0
Rangers,Hockey Club,away,F,Matt Rempe C,03:40,0,0,0,0,0,0,0,0,0/1
Rangers,Hockey Club,away,F,Reilly Smith R,19:01,0,0,-1,4,0,0,0,1,0/0
Rangers,Hockey Club,away,F,Vincent Trocheck C,24:56,0,1,-1,3,0,2,0,4,15/23
Rangers,Hockey Club,away,F,Mika Zibanejad C,23:54,0,0,-4,1,1,0,0,1,15/20
Rangers,Hockey Club,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Hockey Club,away,F,Adam Fox D,23:34,0,3,1,0,1,0,1,2,0/0
Rangers,Hockey Club,away,F,Zac Jones D,15:26,0,0,1,1,0,0,0,0,0/0
Rangers,Hockey Club,away,F,Victor Mancini D,14:54,0,0,0,2,3,0,0,1,0/0
Rangers,Hockey Club,away,F,K'Andre Miller D,26:59,1,0,0,3,3,2,0,1,0/0
Rangers,Hockey Club,away,F,Braden Schneider D,18:39,1,0,-1,4,0,0,0,2,0/0
Rangers,Hockey Club,away,F,Jacob Trouba D,20:39,0,1,-2,2,2,0,1,2,0/0
Rangers,Hockey Club,away,F,Sam Carrick C,04:35,0,0,1,0,0,5,0,0,2/5
Rangers,Hockey Club,away,F,Filip Chytil C,12:57,0,0,3,1,1,0,0,0,2/9
Rangers,Hockey Club,away,F,Will Cuylle L,12:12,1,1,3,3,1,2,1,1,0/0
Rangers,Hockey Club,away,F,Adam Edstrom C,01:52,0,0,0,1,0,15,0,0,0/0
Rangers,Hockey Club,away,F,Kaapo Kakko R,12:19,0,1,3,1,0,0,0,1,0/0
Rangers,Hockey Club,away,F,Chris Kreider L,21:21,0,0,-2,2,0,0,1,1,3/6
Rangers,Hockey Club,away,F,Alexis Lafrenière L,23:41,0,1,-2,2,0,0,0,3,0/1
Rangers,Hockey Club,away,F,Artemi Panarin L,24:17,2,0,-1,4,1,0,0,2,0/0
Rangers,Hockey Club,away,F,Matt Rempe C,03:40,0,0,0,0,0,0,0,0,0/1
Rangers,Hockey Club,away,F,Reilly Smith R,19:01,0,0,-1,4,0,0,0,1,0/0
Rangers,Hockey Club,away,F,Vincent Trocheck C,24:56,0,1,-1,3,0,2,0,4,15/23
Rangers,Hockey Club,away,F,Mika Zibanejad C,23:54,0,0,-4,1,1,0,0,1,15/20
Rangers,Hockey Club,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Hockey Club,away,F,Adam Fox D,23:34,0,3,1,0,1,0,1,2,0/0
Rangers,Hockey Club,away,F,Zac Jones D,15:26,0,0,1,1,0,0,0,0,0/0
Rangers,Hockey Club,away,F,Victor Mancini D,14:54,0,0,0,2,3,0,0,1,0/0
Rangers,Hockey Club,away,F,K'Andre Miller D,26:59,1,0,0,3,3,2,0,1,0/0
Rangers,Hockey Club,away,F,Braden Schneider D,18:39,1,0,-1,4,0,0,0,2,0/0
Rangers,Hockey Club,away,F,Jacob Trouba D,20:39,0,1,-2,2,2,0,1,2,0/0
