team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Ducks,away,D,Adam Fox D,25:24,0,0,0,3,2,0,1,1,0/0
Rangers,Ducks,away,D,Zac Jones D,14:38,0,0,0,1,0,0,0,1,0/0
Rangers,Ducks,away,D,Ryan Lindgren D,19:47,1,0,1,2,1,0,0,1,0/0
Rangers,Ducks,away,D,K'Andre Miller D,23:44,0,0,0,2,2,2,1,1,0/0
Rangers,Ducks,away,D,Braden Schneider D,15:20,0,0,0,1,4,0,0,0,0/0
Rangers,Ducks,away,D,Jacob Trouba D,19:09,0,0,1,0,0,0,1,1,0/0
Rangers,Ducks,away,D,Adam Fox D,25:24,0,0,0,3,2,0,1,1,0/0
Rangers,Ducks,away,D,Zac Jones D,14:38,0,0,0,1,0,0,0,1,0/0
Rangers,Ducks,away,D,Ryan Lindgren D,19:47,1,0,1,2,1,0,0,1,0/0
Rangers,Ducks,away,D,K'Andre Miller D,23:44,0,0,0,2,2,2,1,1,0/0
Rangers,Ducks,away,D,Braden Schneider D,15:20,0,0,0,1,4,0,0,0,0/0
Rangers,Ducks,away,D,Jacob Trouba D,19:09,0,0,1,0,0,0,1,1,0/0
Rangers,Ducks,away,F,Jonny Brodzinski C,08:01,0,0,0,2,1,0,0,0,1/2
Rangers,Ducks,away,F,Sam Carrick C,06:22,0,0,0,1,0,0,0,0,4/4
Rangers,Ducks,away,F,Filip Chytil C,16:31,0,1,1,4,0,0,0,0,5/9
Rangers,Ducks,away,F,Will Cuylle L,14:40,1,0,1,2,2,0,0,0,1/1
Rangers,Ducks,away,F,Adam Edstrom C,07:31,0,0,0,0,0,2,0,1,0/0
Rangers,Ducks,away,F,Kaapo Kakko R,13:01,0,1,1,1,0,0,1,1,0/0
Rangers,Ducks,away,F,Chris Kreider L,15:16,0,0,-1,2,2,0,1,0,3/6
Rangers,Ducks,away,F,Alexis Lafrenière L,20:07,0,1,1,1,0,0,0,0,1/1
Rangers,Ducks,away,F,Artemi Panarin L,22:49,0,1,1,6,1,0,0,0,0/0
Rangers,Ducks,away,F,Reilly Smith R,15:29,0,0,0,0,1,0,1,1,0/0
Rangers,Ducks,away,F,Vincent Trocheck C,23:04,0,0,1,1,2,0,1,1,4/17
Rangers,Ducks,away,F,Mika Zibanejad C,15:07,0,0,-1,3,0,0,1,1,9/16
Rangers,Ducks,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Ducks,away,F,Adam Fox D,25:24,0,0,0,3,2,0,1,1,0/0
Rangers,Ducks,away,F,Zac Jones D,14:38,0,0,0,1,0,0,0,1,0/0
Rangers,Ducks,away,F,Ryan Lindgren D,19:47,1,0,1,2,1,0,0,1,0/0
Rangers,Ducks,away,F,K'Andre Miller D,23:44,0,0,0,2,2,2,1,1,0/0
Rangers,Ducks,away,F,Braden Schneider D,15:20,0,0,0,1,4,0,0,0,0/0
Rangers,Ducks,away,F,Jacob Trouba D,19:09,0,0,1,0,0,0,1,1,0/0
Rangers,Ducks,away,F,Jonny Brodzinski C,08:01,0,0,0,2,1,0,0,0,1/2
Rangers,Ducks,away,F,Sam Carrick C,06:22,0,0,0,1,0,0,0,0,4/4
Rangers,Ducks,away,F,Filip Chytil C,16:31,0,1,1,4,0,0,0,0,5/9
Rangers,Ducks,away,F,Will Cuylle L,14:40,1,0,1,2,2,0,0,0,1/1
Rangers,Ducks,away,F,Adam Edstrom C,07:31,0,0,0,0,0,2,0,1,0/0
Rangers,Ducks,away,F,Kaapo Kakko R,13:01,0,1,1,1,0,0,1,1,0/0
Rangers,Ducks,away,F,Chris Kreider L,15:16,0,0,-1,2,2,0,1,0,3/6
Rangers,Ducks,away,F,Alexis Lafrenière L,20:07,0,1,1,1,0,0,0,0,1/1
Rangers,Ducks,away,F,Artemi Panarin L,22:49,0,1,1,6,1,0,0,0,0/0
Rangers,Ducks,away,F,Reilly Smith R,15:29,0,0,0,0,1,0,1,1,0/0
Rangers,Ducks,away,F,Vincent Trocheck C,23:04,0,0,1,1,2,0,1,1,4/17
Rangers,Ducks,away,F,Mika Zibanejad C,15:07,0,0,-1,3,0,0,1,1,9/16
Rangers,Ducks,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Ducks,away,F,Adam Fox D,25:24,0,0,0,3,2,0,1,1,0/0
Rangers,Ducks,away,F,Zac Jones D,14:38,0,0,0,1,0,0,0,1,0/0
Rangers,Ducks,away,F,Ryan Lindgren D,19:47,1,0,1,2,1,0,0,1,0/0
Rangers,Ducks,away,F,K'Andre Miller D,23:44,0,0,0,2,2,2,1,1,0/0
Rangers,Ducks,away,F,Braden Schneider D,15:20,0,0,0,1,4,0,0,0,0/0
Rangers,Ducks,away,F,Jacob Trouba D,19:09,0,0,1,0,0,0,1,1,0/0
