team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Islanders,away,D,Adam Fox D,19:58,0,1,1,2,0,4,2,0,0/0
Rangers,Islanders,away,D,Zac Jones D,13:53,0,1,1,0,4,0,1,0,0/0
Rangers,Islanders,away,D,Ryan Lindgren D,22:12,0,0,1,2,3,0,0,1,0/0
Rangers,Islanders,away,D,K'Andre Miller D,22:22,0,0,0,1,2,0,3,1,0/0
Rangers,Islanders,away,D,Braden Schneider D,15:17,0,1,1,2,0,0,0,3,0/0
Rangers,Islanders,away,D,Jacob Trouba D,23:13,0,1,0,3,7,2,0,0,0/0
Rangers,Islanders,away,D,Adam Fox D,19:58,0,1,1,2,0,4,2,0,0/0
Rangers,Islanders,away,D,Zac Jones D,13:53,0,1,1,0,4,0,1,0,0/0
Rangers,Islanders,away,D,Ryan Lindgren D,22:12,0,0,1,2,3,0,0,1,0/0
Rangers,Islanders,away,D,K'Andre Miller D,22:22,0,0,0,1,2,0,3,1,0/0
Rangers,Islanders,away,D,Braden Schneider D,15:17,0,1,1,2,0,0,0,3,0/0
Rangers,Islanders,away,D,Jacob Trouba D,23:13,0,1,0,3,7,2,0,0,0/0
Rangers,Islanders,away,F,Sam Carrick C,11:12,0,0,1,1,0,0,0,2,2/7
Rangers,Islanders,away,F,Filip Chytil C,14:37,0,0,-1,3,0,2,0,1,6/14
Rangers,Islanders,away,F,Will Cuylle L,15:23,0,0,0,2,1,0,0,1,0/1
Rangers,Islanders,away,F,Adam Edstrom C,08:55,1,0,1,2,1,0,0,0,0/0
Rangers,Islanders,away,F,Kaapo Kakko R,12:18,0,0,-1,4,0,0,0,0,0/0
Rangers,Islanders,away,F,Chris Kreider L,16:52,1,0,1,3,0,2,0,1,1/1
Rangers,Islanders,away,F,Alexis Lafrenière L,16:14,0,0,0,2,0,0,0,0,0/0
Rangers,Islanders,away,F,Artemi Panarin L,15:53,2,0,1,5,0,0,0,1,0/0
Rangers,Islanders,away,F,Reilly Smith R,15:58,0,1,1,1,0,0,1,0,0/0
Rangers,Islanders,away,F,Vincent Trocheck C,18:10,1,0,0,2,0,0,2,3,8/20
Rangers,Islanders,away,F,Jimmy Vesey L,08:28,0,0,0,2,0,0,1,0,0/0
Rangers,Islanders,away,F,Mika Zibanejad C,19:05,0,3,2,3,1,0,0,0,9/18
Rangers,Islanders,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Islanders,away,F,Adam Fox D,19:58,0,1,1,2,0,4,2,0,0/0
Rangers,Islanders,away,F,Zac Jones D,13:53,0,1,1,0,4,0,1,0,0/0
Rangers,Islanders,away,F,Ryan Lindgren D,22:12,0,0,1,2,3,0,0,1,0/0
Rangers,Islanders,away,F,K'Andre Miller D,22:22,0,0,0,1,2,0,3,1,0/0
Rangers,Islanders,away,F,Braden Schneider D,15:17,0,1,1,2,0,0,0,3,0/0
Rangers,Islanders,away,F,Jacob Trouba D,23:13,0,1,0,3,7,2,0,0,0/0
Rangers,Islanders,away,F,Sam Carrick C,11:12,0,0,1,1,0,0,0,2,2/7
Rangers,Islanders,away,F,Filip Chytil C,14:37,0,0,-1,3,0,2,0,1,6/14
Rangers,Islanders,away,F,Will Cuylle L,15:23,0,0,0,2,1,0,0,1,0/1
Rangers,Islanders,away,F,Adam Edstrom C,08:55,1,0,1,2,1,0,0,0,0/0
Rangers,Islanders,away,F,Kaapo Kakko R,12:18,0,0,-1,4,0,0,0,0,0/0
Rangers,Islanders,away,F,Chris Kreider L,16:52,1,0,1,3,0,2,0,1,1/1
Rangers,Islanders,away,F,Alexis Lafrenière L,16:14,0,0,0,2,0,0,0,0,0/0
Rangers,Islanders,away,F,Artemi Panarin L,15:53,2,0,1,5,0,0,0,1,0/0
Rangers,Islanders,away,F,Reilly Smith R,15:58,0,1,1,1,0,0,1,0,0/0
Rangers,Islanders,away,F,Vincent Trocheck C,18:10,1,0,0,2,0,0,2,3,8/20
Rangers,Islanders,away,F,Jimmy Vesey L,08:28,0,0,0,2,0,0,1,0,0/0
Rangers,Islanders,away,F,Mika Zibanejad C,19:05,0,3,2,3,1,0,0,0,9/18
Rangers,Islanders,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Islanders,away,F,Adam Fox D,19:58,0,1,1,2,0,4,2,0,0/0
Rangers,Islanders,away,F,Zac Jones D,13:53,0,1,1,0,4,0,1,0,0/0
Rangers,Islanders,away,F,Ryan Lindgren D,22:12,0,0,1,2,3,0,0,1,0/0
Rangers,Islanders,away,F,K'Andre Miller D,22:22,0,0,0,1,2,0,3,1,0/0
Rangers,Islanders,away,F,Braden Schneider D,15:17,0,1,1,2,0,0,0,3,0/0
Rangers,Islanders,away,F,Jacob Trouba D,23:13,0,1,0,3,7,2,0,0,0/0
