team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Sabres,away,D,Adam Fox D,23:31,0,0,-2,3,1,0,1,1,0/0
Rangers,Sabres,away,D,Zac Jones D,17:40,0,1,1,1,1,0,1,0,0/0
Rangers,Sabres,away,D,Ryan Lindgren D,20:18,0,0,-2,0,1,2,1,1,0/0
Rangers,Sabres,away,D,K'Andre Miller D,17:54,0,0,-3,0,0,0,1,0,0/0
Rangers,Sabres,away,D,Braden Schneider D,14:22,0,0,1,0,2,0,0,0,0/0
Rangers,Sabres,away,D,Jacob Trouba D,18:16,0,0,-3,1,0,0,0,1,0/0
Rangers,Sabres,away,D,Adam Fox D,23:31,0,0,-2,3,1,0,1,1,0/0
Rangers,Sabres,away,D,Zac Jones D,17:40,0,1,1,1,1,0,1,0,0/0
Rangers,Sabres,away,D,Ryan Lindgren D,20:18,0,0,-2,0,1,2,1,1,0/0
Rangers,Sabres,away,D,K'Andre Miller D,17:54,0,0,-3,0,0,0,1,0,0/0
Rangers,Sabres,away,D,Braden Schneider D,14:22,0,0,1,0,2,0,0,0,0/0
Rangers,Sabres,away,D,Jacob Trouba D,18:16,0,0,-3,1,0,0,0,1,0/0
Rangers,Sabres,away,F,Sam Carrick C,13:20,0,0,0,3,1,2,0,0,4/11
Rangers,Sabres,away,F,Filip Chytil C,12:25,0,0,-1,1,0,0,0,2,1/2
Rangers,Sabres,away,F,Will Cuylle L,13:48,1,0,-2,4,2,0,0,0,0/0
Rangers,Sabres,away,F,Adam Edstrom C,12:28,0,0,-1,1,0,0,0,0,0/0
Rangers,Sabres,away,F,Kaapo Kakko R,12:12,0,0,-1,1,0,2,1,0,0/0
Rangers,Sabres,away,F,Chris Kreider L,16:35,0,0,0,3,3,2,0,0,1/2
Rangers,Sabres,away,F,Alexis Lafrenière L,13:01,0,0,-2,0,0,0,0,0,1/2
Rangers,Sabres,away,F,Artemi Panarin L,16:48,0,1,0,1,0,0,0,1,0/0
Rangers,Sabres,away,F,Reilly Smith R,18:22,0,0,-2,1,0,0,0,0,0/0
Rangers,Sabres,away,F,Vincent Trocheck C,21:51,0,0,-1,2,1,0,0,2,12/24
Rangers,Sabres,away,F,Jimmy Vesey L,12:22,0,0,0,1,1,0,0,0,1/2
Rangers,Sabres,away,F,Mika Zibanejad C,17:53,0,0,-2,3,0,0,0,2,6/11
Rangers,Sabres,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Sabres,away,F,Adam Fox D,23:31,0,0,-2,3,1,0,1,1,0/0
Rangers,Sabres,away,F,Zac Jones D,17:40,0,1,1,1,1,0,1,0,0/0
Rangers,Sabres,away,F,Ryan Lindgren D,20:18,0,0,-2,0,1,2,1,1,0/0
Rangers,Sabres,away,F,K'Andre Miller D,17:54,0,0,-3,0,0,0,1,0,0/0
Rangers,Sabres,away,F,Braden Schneider D,14:22,0,0,1,0,2,0,0,0,0/0
Rangers,Sabres,away,F,Jacob Trouba D,18:16,0,0,-3,1,0,0,0,1,0/0
Rangers,Sabres,away,F,Sam Carrick C,13:20,0,0,0,3,1,2,0,0,4/11
Rangers,Sabres,away,F,Filip Chytil C,12:25,0,0,-1,1,0,0,0,2,1/2
Rangers,Sabres,away,F,Will Cuylle L,13:48,1,0,-2,4,2,0,0,0,0/0
Rangers,Sabres,away,F,Adam Edstrom C,12:28,0,0,-1,1,0,0,0,0,0/0
Rangers,Sabres,away,F,Kaapo Kakko R,12:12,0,0,-1,1,0,2,1,0,0/0
Rangers,Sabres,away,F,Chris Kreider L,16:35,0,0,0,3,3,2,0,0,1/2
Rangers,Sabres,away,F,Alexis Lafrenière L,13:01,0,0,-2,0,0,0,0,0,1/2
Rangers,Sabres,away,F,Artemi Panarin L,16:48,0,1,0,1,0,0,0,1,0/0
Rangers,Sabres,away,F,Reilly Smith R,18:22,0,0,-2,1,0,0,0,0,0/0
Rangers,Sabres,away,F,Vincent Trocheck C,21:51,0,0,-1,2,1,0,0,2,12/24
Rangers,Sabres,away,F,Jimmy Vesey L,12:22,0,0,0,1,1,0,0,0,1/2
Rangers,Sabres,away,F,Mika Zibanejad C,17:53,0,0,-2,3,0,0,0,2,6/11
Rangers,Sabres,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Sabres,away,F,Adam Fox D,23:31,0,0,-2,3,1,0,1,1,0/0
Rangers,Sabres,away,F,Zac Jones D,17:40,0,1,1,1,1,0,1,0,0/0
Rangers,Sabres,away,F,Ryan Lindgren D,20:18,0,0,-2,0,1,2,1,1,0/0
Rangers,Sabres,away,F,K'Andre Miller D,17:54,0,0,-3,0,0,0,1,0,0/0
Rangers,Sabres,away,F,Braden Schneider D,14:22,0,0,1,0,2,0,0,0,0/0
Rangers,Sabres,away,F,Jacob Trouba D,18:16,0,0,-3,1,0,0,0,1,0/0
