team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Jets,away,D,Adam Fox D,25:28,0,1,-2,2,1,0,1,1,0/0
Rangers,Jets,away,D,Zac Jones D,17:00,0,0,2,1,0,0,1,1,0/0
Rangers,Jets,away,D,Ryan Lindgren D,17:22,0,0,0,0,2,0,0,1,0/0
Rangers,Jets,away,D,K'Andre Miller D,19:19,0,0,-4,2,0,0,0,2,0/0
Rangers,Jets,away,D,Braden Schneider D,13:22,0,2,2,2,1,0,0,1,0/0
Rangers,Jets,away,D,Jacob Trouba D,17:36,0,0,-3,1,3,0,0,1,0/0
Rangers,Jets,away,D,Adam Fox D,25:28,0,1,-2,2,1,0,1,1,0/0
Rangers,Jets,away,D,Zac Jones D,17:00,0,0,2,1,0,0,1,1,0/0
Rangers,Jets,away,D,Ryan Lindgren D,17:22,0,0,0,0,2,0,0,1,0/0
Rangers,Jets,away,D,K'Andre Miller D,19:19,0,0,-4,2,0,0,0,2,0/0
Rangers,Jets,away,D,Braden Schneider D,13:22,0,2,2,2,1,0,0,1,0/0
Rangers,Jets,away,D,Jacob Trouba D,17:36,0,0,-3,1,3,0,0,1,0/0
Rangers,Jets,away,F,Sam Carrick C,09:28,0,0,-1,1,0,0,0,1,3/7
Rangers,Jets,away,F,Filip Chytil C,12:40,0,1,2,2,0,0,0,0,5/8
Rangers,Jets,away,F,Will Cuylle L,11:31,1,1,2,4,0,2,0,0,1/1
Rangers,Jets,away,F,Adam Edstrom C,07:56,0,0,-1,1,0,0,0,0,0/0
Rangers,Jets,away,F,Kaapo Kakko R,11:47,1,0,2,3,0,0,0,0,0/0
Rangers,Jets,away,F,Chris Kreider L,21:26,0,0,-1,2,2,0,0,1,0/1
Rangers,Jets,away,F,Alexis Lafrenière L,18:53,1,0,-4,2,1,0,1,2,0/1
Rangers,Jets,away,F,Artemi Panarin L,23:09,0,1,-4,5,1,0,1,2,0/0
Rangers,Jets,away,F,Reilly Smith R,16:34,0,0,0,2,1,0,0,1,0/0
Rangers,Jets,away,F,Vincent Trocheck C,24:55,0,0,-1,3,1,2,0,0,16/21
Rangers,Jets,away,F,Jimmy Vesey L,09:22,0,0,-1,0,1,0,0,1,1/1
Rangers,Jets,away,F,Mika Zibanejad C,20:20,0,0,-4,3,0,0,1,1,7/11
Rangers,Jets,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Jets,away,F,Adam Fox D,25:28,0,1,-2,2,1,0,1,1,0/0
Rangers,Jets,away,F,Zac Jones D,17:00,0,0,2,1,0,0,1,1,0/0
Rangers,Jets,away,F,Ryan Lindgren D,17:22,0,0,0,0,2,0,0,1,0/0
Rangers,Jets,away,F,K'Andre Miller D,19:19,0,0,-4,2,0,0,0,2,0/0
Rangers,Jets,away,F,Braden Schneider D,13:22,0,2,2,2,1,0,0,1,0/0
Rangers,Jets,away,F,Jacob Trouba D,17:36,0,0,-3,1,3,0,0,1,0/0
Rangers,Jets,away,F,Sam Carrick C,09:28,0,0,-1,1,0,0,0,1,3/7
Rangers,Jets,away,F,Filip Chytil C,12:40,0,1,2,2,0,0,0,0,5/8
Rangers,Jets,away,F,Will Cuylle L,11:31,1,1,2,4,0,2,0,0,1/1
Rangers,Jets,away,F,Adam Edstrom C,07:56,0,0,-1,1,0,0,0,0,0/0
Rangers,Jets,away,F,Kaapo Kakko R,11:47,1,0,2,3,0,0,0,0,0/0
Rangers,Jets,away,F,Chris Kreider L,21:26,0,0,-1,2,2,0,0,1,0/1
Rangers,Jets,away,F,Alexis Lafrenière L,18:53,1,0,-4,2,1,0,1,2,0/1
Rangers,Jets,away,F,Artemi Panarin L,23:09,0,1,-4,5,1,0,1,2,0/0
Rangers,Jets,away,F,Reilly Smith R,16:34,0,0,0,2,1,0,0,1,0/0
Rangers,Jets,away,F,Vincent Trocheck C,24:55,0,0,-1,3,1,2,0,0,16/21
Rangers,Jets,away,F,Jimmy Vesey L,09:22,0,0,-1,0,1,0,0,1,1/1
Rangers,Jets,away,F,Mika Zibanejad C,20:20,0,0,-4,3,0,0,1,1,7/11
Rangers,Jets,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Jets,away,F,Adam Fox D,25:28,0,1,-2,2,1,0,1,1,0/0
Rangers,Jets,away,F,Zac Jones D,17:00,0,0,2,1,0,0,1,1,0/0
Rangers,Jets,away,F,Ryan Lindgren D,17:22,0,0,0,0,2,0,0,1,0/0
Rangers,Jets,away,F,K'Andre Miller D,19:19,0,0,-4,2,0,0,0,2,0/0
Rangers,Jets,away,F,Braden Schneider D,13:22,0,2,2,2,1,0,0,1,0/0
Rangers,Jets,away,F,Jacob Trouba D,17:36,0,0,-3,1,3,0,0,1,0/0
