team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Rangers,Sharks,away,D,Adam Fox D,22:50,0,1,1,1,0,0,0,2,0/0
Rangers,Sharks,away,D,Zac Jones D,17:39,0,0,-1,1,2,2,0,1,0/0
Rangers,Sharks,away,D,Ryan Lindgren D,20:13,0,0,1,2,2,0,1,0,0/0
Rangers,Sharks,away,D,K'Andre Miller D,22:59,0,0,1,4,1,0,0,0,0/0
Rangers,Sharks,away,D,Braden Schneider D,15:49,0,0,0,0,1,2,0,0,0/0
Rangers,Sharks,away,D,Jacob Trouba D,19:40,0,0,2,1,3,0,0,0,0/0
Rangers,Sharks,away,D,Adam Fox D,22:50,0,1,1,1,0,0,0,2,0/0
Rangers,Sharks,away,D,Zac Jones D,17:39,0,0,-1,1,2,2,0,1,0/0
Rangers,Sharks,away,D,Ryan Lindgren D,20:13,0,0,1,2,2,0,1,0,0/0
Rangers,Sharks,away,D,K'Andre Miller D,22:59,0,0,1,4,1,0,0,0,0/0
Rangers,Sharks,away,D,Braden Schneider D,15:49,0,0,0,0,1,2,0,0,0/0
Rangers,Sharks,away,D,Jacob Trouba D,19:40,0,0,2,1,3,0,0,0,0/0
Rangers,Sharks,away,F,Sam Carrick C,13:11,0,1,0,2,0,0,1,0,4/8
Rangers,Sharks,away,F,Filip Chytil C,09:37,0,0,0,1,0,0,2,1,0/6
Rangers,Sharks,away,F,Will Cuylle L,13:36,0,0,0,2,1,0,0,0,0/0
Rangers,Sharks,away,F,Adam Edstrom C,10:02,0,0,0,1,1,0,0,0,0/0
Rangers,Sharks,away,F,Kaapo Kakko R,12:59,0,0,0,0,0,0,0,0,0/0
Rangers,Sharks,away,F,Chris Kreider L,15:51,0,0,1,5,1,0,1,0,2/2
Rangers,Sharks,away,F,Alexis Lafrenière L,16:54,0,1,1,2,0,0,0,2,1/1
Rangers,Sharks,away,F,Artemi Panarin L,20:23,0,1,1,5,0,0,1,0,0/1
Rangers,Sharks,away,F,Reilly Smith R,15:09,0,1,1,2,0,0,0,1,0/0
Rangers,Sharks,away,F,Vincent Trocheck C,21:50,1,0,1,2,2,0,1,0,7/11
Rangers,Sharks,away,F,Jimmy Vesey L,10:04,1,0,0,3,0,0,0,0,0/0
Rangers,Sharks,away,F,Mika Zibanejad C,17:10,1,0,1,1,1,2,3,0,8/15
Rangers,Sharks,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Sharks,away,F,Adam Fox D,22:50,0,1,1,1,0,0,0,2,0/0
Rangers,Sharks,away,F,Zac Jones D,17:39,0,0,-1,1,2,2,0,1,0/0
Rangers,Sharks,away,F,Ryan Lindgren D,20:13,0,0,1,2,2,0,1,0,0/0
Rangers,Sharks,away,F,K'Andre Miller D,22:59,0,0,1,4,1,0,0,0,0/0
Rangers,Sharks,away,F,Braden Schneider D,15:49,0,0,0,0,1,2,0,0,0/0
Rangers,Sharks,away,F,Jacob Trouba D,19:40,0,0,2,1,3,0,0,0,0/0
Rangers,Sharks,away,F,Sam Carrick C,13:11,0,1,0,2,0,0,1,0,4/8
Rangers,Sharks,away,F,Filip Chytil C,09:37,0,0,0,1,0,0,2,1,0/6
Rangers,Sharks,away,F,Will Cuylle L,13:36,0,0,0,2,1,0,0,0,0/0
Rangers,Sharks,away,F,Adam Edstrom C,10:02,0,0,0,1,1,0,0,0,0/0
Rangers,Sharks,away,F,Kaapo Kakko R,12:59,0,0,0,0,0,0,0,0,0/0
Rangers,Sharks,away,F,Chris Kreider L,15:51,0,0,1,5,1,0,1,0,2/2
Rangers,Sharks,away,F,Alexis Lafrenière L,16:54,0,1,1,2,0,0,0,2,1/1
Rangers,Sharks,away,F,Artemi Panarin L,20:23,0,1,1,5,0,0,1,0,0/1
Rangers,Sharks,away,F,Reilly Smith R,15:09,0,1,1,2,0,0,0,1,0/0
Rangers,Sharks,away,F,Vincent Trocheck C,21:50,1,0,1,2,2,0,1,0,7/11
Rangers,Sharks,away,F,Jimmy Vesey L,10:04,1,0,0,3,0,0,0,0,0/0
Rangers,Sharks,away,F,Mika Zibanejad C,17:10,1,0,1,1,1,2,3,0,8/15
Rangers,Sharks,away,F,Rangers Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOAdam
Rangers,Sharks,away,F,Adam Fox D,22:50,0,1,1,1,0,0,0,2,0/0
Rangers,Sharks,away,F,Zac Jones D,17:39,0,0,-1,1,2,2,0,1,0/0
Rangers,Sharks,away,F,Ryan Lindgren D,20:13,0,0,1,2,2,0,1,0,0/0
Rangers,Sharks,away,F,K'Andre Miller D,22:59,0,0,1,4,1,0,0,0,0/0
Rangers,Sharks,away,F,Braden Schneider D,15:49,0,0,0,0,1,2,0,0,0/0
Rangers,Sharks,away,F,Jacob Trouba D,19:40,0,0,2,1,3,0,0,0,0/0
