team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Penguins,away,D,Ben Chiarot D,18:03,0,0,-2,1,2,0,0,1,0/0
Red Wings,Penguins,away,D,Simon Edvinsson D,19:18,0,0,-2,3,0,2,0,0,0/0
Red Wings,Penguins,away,D,Erik Gustafsson D,20:11,0,1,-2,3,1,0,0,1,0/0
Red Wings,Penguins,away,D,Olli Maatta D,18:02,0,0,0,0,2,0,0,1,0/0
Red Wings,Penguins,away,D,Jeff Petry D,09:34,0,0,-1,1,0,0,0,2,0/0
Red Wings,Penguins,away,D,Moritz Seider D,26:43,0,1,0,3,1,0,2,1,0/0
Red Wings,Penguins,away,D,Ben Chiarot D,18:03,0,0,-2,1,2,0,0,1,0/0
Red Wings,Penguins,away,D,Simon Edvinsson D,19:18,0,0,-2,3,0,2,0,0,0/0
Red Wings,Penguins,away,D,Erik Gustafsson D,20:11,0,1,-2,3,1,0,0,1,0/0
Red Wings,Penguins,away,D,Olli Maatta D,18:02,0,0,0,0,2,0,0,1,0/0
Red Wings,Penguins,away,D,Jeff Petry D,09:34,0,0,-1,1,0,0,0,2,0/0
Red Wings,Penguins,away,D,Moritz Seider D,26:43,0,1,0,3,1,0,2,1,0/0
Red Wings,Penguins,away,F,Jonatan Berggren R,11:53,0,0,1,1,1,0,0,1,0/0
Red Wings,Penguins,away,F,J.T. Compher L,17:10,0,0,-1,0,0,0,0,1,2/14
Red Wings,Penguins,away,F,Andrew Copp C,14:03,0,0,-1,2,0,2,0,0,9/17
Red Wings,Penguins,away,F,Alex DeBrincat R,20:09,2,1,-2,5,0,0,0,0,0/0
Red Wings,Penguins,away,F,Christian Fischer R,13:34,0,0,-1,0,1,0,1,1,0/0
Red Wings,Penguins,away,F,Patrick Kane R,17:45,0,0,-1,3,0,0,0,0,0/0
Red Wings,Penguins,away,F,Dylan Larkin C,21:13,0,1,-2,1,1,0,0,0,15/29
Red Wings,Penguins,away,F,Tyler Motte C,11:03,0,0,0,2,1,0,2,1,0/0
Red Wings,Penguins,away,F,Michael Rasmussen C,13:31,0,0,1,2,3,0,0,1,1/3
Red Wings,Penguins,away,F,Lucas Raymond L,19:33,0,2,-2,1,0,0,2,0,0/0
Red Wings,Penguins,away,F,Vladimir Tarasenko R,13:50,1,0,0,4,0,0,0,1,0/0
Red Wings,Penguins,away,F,Joe Veleno C,11:37,0,0,0,0,1,0,0,2,5/6
Red Wings,Penguins,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Penguins,away,F,Ben Chiarot D,18:03,0,0,-2,1,2,0,0,1,0/0
Red Wings,Penguins,away,F,Simon Edvinsson D,19:18,0,0,-2,3,0,2,0,0,0/0
Red Wings,Penguins,away,F,Erik Gustafsson D,20:11,0,1,-2,3,1,0,0,1,0/0
Red Wings,Penguins,away,F,Olli Maatta D,18:02,0,0,0,0,2,0,0,1,0/0
Red Wings,Penguins,away,F,Jeff Petry D,09:34,0,0,-1,1,0,0,0,2,0/0
Red Wings,Penguins,away,F,Moritz Seider D,26:43,0,1,0,3,1,0,2,1,0/0
Red Wings,Penguins,away,F,Jonatan Berggren R,11:53,0,0,1,1,1,0,0,1,0/0
Red Wings,Penguins,away,F,J.T. Compher L,17:10,0,0,-1,0,0,0,0,1,2/14
Red Wings,Penguins,away,F,Andrew Copp C,14:03,0,0,-1,2,0,2,0,0,9/17
Red Wings,Penguins,away,F,Alex DeBrincat R,20:09,2,1,-2,5,0,0,0,0,0/0
Red Wings,Penguins,away,F,Christian Fischer R,13:34,0,0,-1,0,1,0,1,1,0/0
Red Wings,Penguins,away,F,Patrick Kane R,17:45,0,0,-1,3,0,0,0,0,0/0
Red Wings,Penguins,away,F,Dylan Larkin C,21:13,0,1,-2,1,1,0,0,0,15/29
Red Wings,Penguins,away,F,Tyler Motte C,11:03,0,0,0,2,1,0,2,1,0/0
Red Wings,Penguins,away,F,Michael Rasmussen C,13:31,0,0,1,2,3,0,0,1,1/3
Red Wings,Penguins,away,F,Lucas Raymond L,19:33,0,2,-2,1,0,0,2,0,0/0
Red Wings,Penguins,away,F,Vladimir Tarasenko R,13:50,1,0,0,4,0,0,0,1,0/0
Red Wings,Penguins,away,F,Joe Veleno C,11:37,0,0,0,0,1,0,0,2,5/6
Red Wings,Penguins,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Penguins,away,F,Ben Chiarot D,18:03,0,0,-2,1,2,0,0,1,0/0
Red Wings,Penguins,away,F,Simon Edvinsson D,19:18,0,0,-2,3,0,2,0,0,0/0
Red Wings,Penguins,away,F,Erik Gustafsson D,20:11,0,1,-2,3,1,0,0,1,0/0
Red Wings,Penguins,away,F,Olli Maatta D,18:02,0,0,0,0,2,0,0,1,0/0
Red Wings,Penguins,away,F,Jeff Petry D,09:34,0,0,-1,1,0,0,0,2,0/0
Red Wings,Penguins,away,F,Moritz Seider D,26:43,0,1,0,3,1,0,2,1,0/0
