team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Rangers,home,D,Ben Chiarot D,21:31,0,0,-1,0,1,2,1,1,0/0
Red Wings,Rangers,home,D,Simon Edvinsson D,18:36,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,home,D,Justin Holl D,19:06,0,1,0,0,1,2,0,1,0/0
Red Wings,Rangers,home,D,Albert Johansson D,11:27,0,0,0,0,1,0,0,1,0/0
Red Wings,Rangers,home,D,Olli Maatta D,16:03,0,0,0,1,0,0,0,1,0/0
Red Wings,Rangers,home,D,Moritz Seider D,25:57,0,0,-2,3,5,2,0,1,0/0
Red Wings,Rangers,home,D,Ben Chiarot D,21:31,0,0,-1,0,1,2,1,1,0/0
Red Wings,Rangers,home,D,Simon Edvinsson D,18:36,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,home,D,Justin Holl D,19:06,0,1,0,0,1,2,0,1,0/0
Red Wings,Rangers,home,D,Albert Johansson D,11:27,0,0,0,0,1,0,0,1,0/0
Red Wings,Rangers,home,D,Olli Maatta D,16:03,0,0,0,1,0,0,0,1,0/0
Red Wings,Rangers,home,D,Moritz Seider D,25:57,0,0,-2,3,5,2,0,1,0/0
Red Wings,Rangers,home,F,Jonatan Berggren R,12:54,0,0,-1,3,0,0,0,0,0/0
Red Wings,Rangers,home,F,J.T. Compher L,20:24,0,0,-1,5,2,0,0,0,9/20
Red Wings,Rangers,home,F,Andrew Copp C,14:46,0,0,-1,1,1,0,0,0,5/13
Red Wings,Rangers,home,F,Alex DeBrincat R,17:46,0,0,0,2,1,0,0,1,0/1
Red Wings,Rangers,home,F,Patrick Kane R,19:12,0,1,0,2,0,0,0,1,0/0
Red Wings,Rangers,home,F,Dylan Larkin C,23:37,1,0,1,2,2,0,0,0,7/21
Red Wings,Rangers,home,F,Tyler Motte C,10:06,0,0,-1,3,0,0,0,2,1/1
Red Wings,Rangers,home,F,Michael Rasmussen C,11:00,0,0,-1,0,0,0,0,0,2/3
Red Wings,Rangers,home,F,Lucas Raymond L,21:00,0,0,-1,5,0,0,0,1,0/0
Red Wings,Rangers,home,F,Vladimir Tarasenko R,14:47,0,0,0,3,1,0,1,0,0/0
Red Wings,Rangers,home,F,Joe Veleno C,10:59,0,0,-2,1,1,0,1,1,4/8
Red Wings,Rangers,home,F,Austin Watson L,04:54,0,0,-1,0,0,2,0,0,0/0
Red Wings,Rangers,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Rangers,home,F,Ben Chiarot D,21:31,0,0,-1,0,1,2,1,1,0/0
Red Wings,Rangers,home,F,Simon Edvinsson D,18:36,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,home,F,Justin Holl D,19:06,0,1,0,0,1,2,0,1,0/0
Red Wings,Rangers,home,F,Albert Johansson D,11:27,0,0,0,0,1,0,0,1,0/0
Red Wings,Rangers,home,F,Olli Maatta D,16:03,0,0,0,1,0,0,0,1,0/0
Red Wings,Rangers,home,F,Moritz Seider D,25:57,0,0,-2,3,5,2,0,1,0/0
Red Wings,Rangers,home,F,Jonatan Berggren R,12:54,0,0,-1,3,0,0,0,0,0/0
Red Wings,Rangers,home,F,J.T. Compher L,20:24,0,0,-1,5,2,0,0,0,9/20
Red Wings,Rangers,home,F,Andrew Copp C,14:46,0,0,-1,1,1,0,0,0,5/13
Red Wings,Rangers,home,F,Alex DeBrincat R,17:46,0,0,0,2,1,0,0,1,0/1
Red Wings,Rangers,home,F,Patrick Kane R,19:12,0,1,0,2,0,0,0,1,0/0
Red Wings,Rangers,home,F,Dylan Larkin C,23:37,1,0,1,2,2,0,0,0,7/21
Red Wings,Rangers,home,F,Tyler Motte C,10:06,0,0,-1,3,0,0,0,2,1/1
Red Wings,Rangers,home,F,Michael Rasmussen C,11:00,0,0,-1,0,0,0,0,0,2/3
Red Wings,Rangers,home,F,Lucas Raymond L,21:00,0,0,-1,5,0,0,0,1,0/0
Red Wings,Rangers,home,F,Vladimir Tarasenko R,14:47,0,0,0,3,1,0,1,0,0/0
Red Wings,Rangers,home,F,Joe Veleno C,10:59,0,0,-2,1,1,0,1,1,4/8
Red Wings,Rangers,home,F,Austin Watson L,04:54,0,0,-1,0,0,2,0,0,0/0
Red Wings,Rangers,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Rangers,home,F,Ben Chiarot D,21:31,0,0,-1,0,1,2,1,1,0/0
Red Wings,Rangers,home,F,Simon Edvinsson D,18:36,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,home,F,Justin Holl D,19:06,0,1,0,0,1,2,0,1,0/0
Red Wings,Rangers,home,F,Albert Johansson D,11:27,0,0,0,0,1,0,0,1,0/0
Red Wings,Rangers,home,F,Olli Maatta D,16:03,0,0,0,1,0,0,0,1,0/0
Red Wings,Rangers,home,F,Moritz Seider D,25:57,0,0,-2,3,5,2,0,1,0/0
