team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Rangers,away,D,Ben Chiarot D,19:31,0,1,-1,4,2,2,0,1,0/0
Red Wings,Rangers,away,D,Simon Edvinsson D,20:55,0,0,0,0,4,0,0,0,0/0
Red Wings,Rangers,away,D,Erik Gustafsson D,18:45,0,1,0,2,2,4,0,3,0/0
Red Wings,Rangers,away,D,Justin Holl D,16:15,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,away,D,Olli Maatta D,17:03,0,0,-2,0,1,0,0,3,0/0
Red Wings,Rangers,away,D,Moritz Seider D,21:54,1,0,1,4,2,0,1,0,0/0
Red Wings,Rangers,away,D,Ben Chiarot D,19:31,0,1,-1,4,2,2,0,1,0/0
Red Wings,Rangers,away,D,Simon Edvinsson D,20:55,0,0,0,0,4,0,0,0,0/0
Red Wings,Rangers,away,D,Erik Gustafsson D,18:45,0,1,0,2,2,4,0,3,0/0
Red Wings,Rangers,away,D,Justin Holl D,16:15,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,away,D,Olli Maatta D,17:03,0,0,-2,0,1,0,0,3,0/0
Red Wings,Rangers,away,D,Moritz Seider D,21:54,1,0,1,4,2,0,1,0,0/0
Red Wings,Rangers,away,F,Jonatan Berggren R,15:37,0,0,0,0,0,2,0,1,0/1
Red Wings,Rangers,away,F,J.T. Compher L,16:26,1,1,1,2,0,0,0,1,6/11
Red Wings,Rangers,away,F,Andrew Copp C,13:34,0,0,-1,0,0,0,1,0,8/18
Red Wings,Rangers,away,F,Alex DeBrincat R,17:44,0,0,0,1,0,2,0,0,0/1
Red Wings,Rangers,away,F,Christian Fischer R,10:18,0,0,-1,1,1,2,0,0,0/0
Red Wings,Rangers,away,F,Patrick Kane R,19:13,0,0,0,4,0,0,0,1,0/0
Red Wings,Rangers,away,F,Dylan Larkin C,18:47,0,0,0,2,0,0,0,1,11/22
Red Wings,Rangers,away,F,Tyler Motte C,09:33,0,0,-1,2,1,0,2,0,0/2
Red Wings,Rangers,away,F,Michael Rasmussen C,13:08,0,0,0,2,1,0,0,1,1/1
Red Wings,Rangers,away,F,Lucas Raymond L,15:26,0,1,0,4,1,0,0,0,0/0
Red Wings,Rangers,away,F,Vladimir Tarasenko R,15:29,0,0,0,2,1,0,1,2,0/0
Red Wings,Rangers,away,F,Joe Veleno C,12:36,0,0,-1,0,0,0,0,1,3/9
Red Wings,Rangers,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Rangers,away,F,Ben Chiarot D,19:31,0,1,-1,4,2,2,0,1,0/0
Red Wings,Rangers,away,F,Simon Edvinsson D,20:55,0,0,0,0,4,0,0,0,0/0
Red Wings,Rangers,away,F,Erik Gustafsson D,18:45,0,1,0,2,2,4,0,3,0/0
Red Wings,Rangers,away,F,Justin Holl D,16:15,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,away,F,Olli Maatta D,17:03,0,0,-2,0,1,0,0,3,0/0
Red Wings,Rangers,away,F,Moritz Seider D,21:54,1,0,1,4,2,0,1,0,0/0
Red Wings,Rangers,away,F,Jonatan Berggren R,15:37,0,0,0,0,0,2,0,1,0/1
Red Wings,Rangers,away,F,J.T. Compher L,16:26,1,1,1,2,0,0,0,1,6/11
Red Wings,Rangers,away,F,Andrew Copp C,13:34,0,0,-1,0,0,0,1,0,8/18
Red Wings,Rangers,away,F,Alex DeBrincat R,17:44,0,0,0,1,0,2,0,0,0/1
Red Wings,Rangers,away,F,Christian Fischer R,10:18,0,0,-1,1,1,2,0,0,0/0
Red Wings,Rangers,away,F,Patrick Kane R,19:13,0,0,0,4,0,0,0,1,0/0
Red Wings,Rangers,away,F,Dylan Larkin C,18:47,0,0,0,2,0,0,0,1,11/22
Red Wings,Rangers,away,F,Tyler Motte C,09:33,0,0,-1,2,1,0,2,0,0/2
Red Wings,Rangers,away,F,Michael Rasmussen C,13:08,0,0,0,2,1,0,0,1,1/1
Red Wings,Rangers,away,F,Lucas Raymond L,15:26,0,1,0,4,1,0,0,0,0/0
Red Wings,Rangers,away,F,Vladimir Tarasenko R,15:29,0,0,0,2,1,0,1,2,0/0
Red Wings,Rangers,away,F,Joe Veleno C,12:36,0,0,-1,0,0,0,0,1,3/9
Red Wings,Rangers,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Rangers,away,F,Ben Chiarot D,19:31,0,1,-1,4,2,2,0,1,0/0
Red Wings,Rangers,away,F,Simon Edvinsson D,20:55,0,0,0,0,4,0,0,0,0/0
Red Wings,Rangers,away,F,Erik Gustafsson D,18:45,0,1,0,2,2,4,0,3,0/0
Red Wings,Rangers,away,F,Justin Holl D,16:15,0,0,0,1,1,0,0,3,0/0
Red Wings,Rangers,away,F,Olli Maatta D,17:03,0,0,-2,0,1,0,0,3,0/0
Red Wings,Rangers,away,F,Moritz Seider D,21:54,1,0,1,4,2,0,1,0,0/0
