team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Devils,away,D,Ben Chiarot D,15:07,0,0,0,1,3,7,0,0,0/0
Red Wings,Devils,away,D,Simon Edvinsson D,20:15,0,1,1,0,4,0,0,0,0/0
Red Wings,Devils,away,D,Erik Gustafsson D,12:15,0,0,0,0,0,0,0,0,0/0
Red Wings,Devils,away,D,Justin Holl D,13:16,0,0,2,2,0,0,0,2,0/0
Red Wings,Devils,away,D,Olli Maatta D,13:34,0,0,2,0,0,0,1,1,0/0
Red Wings,Devils,away,D,Jeff Petry D,16:11,0,0,0,1,2,2,1,1,0/0
Red Wings,Devils,away,D,Moritz Seider D,24:51,0,0,1,1,3,2,0,1,0/0
Red Wings,Devils,away,D,Ben Chiarot D,15:07,0,0,0,1,3,7,0,0,0/0
Red Wings,Devils,away,D,Simon Edvinsson D,20:15,0,1,1,0,4,0,0,0,0/0
Red Wings,Devils,away,D,Erik Gustafsson D,12:15,0,0,0,0,0,0,0,0,0/0
Red Wings,Devils,away,D,Justin Holl D,13:16,0,0,2,2,0,0,0,2,0/0
Red Wings,Devils,away,D,Olli Maatta D,13:34,0,0,2,0,0,0,1,1,0/0
Red Wings,Devils,away,D,Jeff Petry D,16:11,0,0,0,1,2,2,1,1,0/0
Red Wings,Devils,away,D,Moritz Seider D,24:51,0,0,1,1,3,2,0,1,0/0
Red Wings,Devils,away,F,Jonatan Berggren R,12:26,0,0,0,1,0,0,2,0,0/0
Red Wings,Devils,away,F,Andrew Copp C,13:40,0,1,2,1,1,0,2,1,9/14
Red Wings,Devils,away,F,Alex DeBrincat R,19:01,1,1,1,3,0,0,0,0,0/0
Red Wings,Devils,away,F,Christian Fischer R,10:37,1,0,2,1,0,5,0,0,0/0
Red Wings,Devils,away,F,Patrick Kane R,18:38,1,1,0,3,0,2,1,0,0/0
Red Wings,Devils,away,F,Marco Kasper C,18:44,0,0,0,1,3,0,0,0,3/10
Red Wings,Devils,away,F,Dylan Larkin C,23:00,1,0,1,3,0,2,3,1,13/26
Red Wings,Devils,away,F,Michael Rasmussen C,14:40,1,0,1,1,1,0,0,0,2/3
Red Wings,Devils,away,F,Lucas Raymond L,20:27,0,2,1,0,0,2,0,1,0/0
Red Wings,Devils,away,F,Vladimir Tarasenko R,15:59,0,0,0,0,0,0,0,1,0/0
Red Wings,Devils,away,F,Joe Veleno C,11:07,0,0,1,1,0,0,0,1,1/3
Red Wings,Devils,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Devils,away,F,Ben Chiarot D,15:07,0,0,0,1,3,7,0,0,0/0
Red Wings,Devils,away,F,Simon Edvinsson D,20:15,0,1,1,0,4,0,0,0,0/0
Red Wings,Devils,away,F,Erik Gustafsson D,12:15,0,0,0,0,0,0,0,0,0/0
Red Wings,Devils,away,F,Justin Holl D,13:16,0,0,2,2,0,0,0,2,0/0
Red Wings,Devils,away,F,Olli Maatta D,13:34,0,0,2,0,0,0,1,1,0/0
Red Wings,Devils,away,F,Jeff Petry D,16:11,0,0,0,1,2,2,1,1,0/0
Red Wings,Devils,away,F,Moritz Seider D,24:51,0,0,1,1,3,2,0,1,0/0
Red Wings,Devils,away,F,Jonatan Berggren R,12:26,0,0,0,1,0,0,2,0,0/0
Red Wings,Devils,away,F,Andrew Copp C,13:40,0,1,2,1,1,0,2,1,9/14
Red Wings,Devils,away,F,Alex DeBrincat R,19:01,1,1,1,3,0,0,0,0,0/0
Red Wings,Devils,away,F,Christian Fischer R,10:37,1,0,2,1,0,5,0,0,0/0
Red Wings,Devils,away,F,Patrick Kane R,18:38,1,1,0,3,0,2,1,0,0/0
Red Wings,Devils,away,F,Marco Kasper C,18:44,0,0,0,1,3,0,0,0,3/10
Red Wings,Devils,away,F,Dylan Larkin C,23:00,1,0,1,3,0,2,3,1,13/26
Red Wings,Devils,away,F,Michael Rasmussen C,14:40,1,0,1,1,1,0,0,0,2/3
Red Wings,Devils,away,F,Lucas Raymond L,20:27,0,2,1,0,0,2,0,1,0/0
Red Wings,Devils,away,F,Vladimir Tarasenko R,15:59,0,0,0,0,0,0,0,1,0/0
Red Wings,Devils,away,F,Joe Veleno C,11:07,0,0,1,1,0,0,0,1,1/3
Red Wings,Devils,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Devils,away,F,Ben Chiarot D,15:07,0,0,0,1,3,7,0,0,0/0
Red Wings,Devils,away,F,Simon Edvinsson D,20:15,0,1,1,0,4,0,0,0,0/0
Red Wings,Devils,away,F,Erik Gustafsson D,12:15,0,0,0,0,0,0,0,0,0/0
Red Wings,Devils,away,F,Justin Holl D,13:16,0,0,2,2,0,0,0,2,0/0
Red Wings,Devils,away,F,Olli Maatta D,13:34,0,0,2,0,0,0,1,1,0/0
Red Wings,Devils,away,F,Jeff Petry D,16:11,0,0,0,1,2,2,1,1,0/0
Red Wings,Devils,away,F,Moritz Seider D,24:51,0,0,1,1,3,2,0,1,0/0
