team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Sabres,home,D,Ben Chiarot D,18:36,0,0,0,2,3,0,0,2,0/0
Red Wings,Sabres,home,D,Simon Edvinsson D,22:49,0,1,1,0,4,0,0,3,0/0
Red Wings,Sabres,home,D,Erik Gustafsson D,15:18,0,0,-1,1,1,0,0,2,0/0
Red Wings,Sabres,home,D,Justin Holl D,13:23,0,0,-1,0,1,0,0,3,0/0
Red Wings,Sabres,home,D,Jeff Petry D,19:43,0,0,0,0,2,0,0,1,0/0
Red Wings,Sabres,home,D,Moritz Seider D,24:35,0,2,0,3,1,0,0,3,0/0
Red Wings,Sabres,home,D,Ben Chiarot D,18:36,0,0,0,2,3,0,0,2,0/0
Red Wings,Sabres,home,D,Simon Edvinsson D,22:49,0,1,1,0,4,0,0,3,0/0
Red Wings,Sabres,home,D,Erik Gustafsson D,15:18,0,0,-1,1,1,0,0,2,0/0
Red Wings,Sabres,home,D,Justin Holl D,13:23,0,0,-1,0,1,0,0,3,0/0
Red Wings,Sabres,home,D,Jeff Petry D,19:43,0,0,0,0,2,0,0,1,0/0
Red Wings,Sabres,home,D,Moritz Seider D,24:35,0,2,0,3,1,0,0,3,0/0
Red Wings,Sabres,home,F,Jonatan Berggren R,13:06,0,0,0,2,0,2,0,0,1/1
Red Wings,Sabres,home,F,J.T. Compher L,13:59,0,0,-1,2,2,2,0,2,9/15
Red Wings,Sabres,home,F,Andrew Copp C,11:12,0,0,-1,0,0,0,0,0,10/17
Red Wings,Sabres,home,F,Alex DeBrincat R,19:41,1,0,0,4,0,0,0,1,1/1
Red Wings,Sabres,home,F,Christian Fischer R,11:56,0,0,-1,0,0,0,1,3,0/0
Red Wings,Sabres,home,F,Patrick Kane R,17:12,0,0,-2,0,0,0,0,1,0/0
Red Wings,Sabres,home,F,Marco Kasper C,14:45,0,0,1,0,0,2,2,1,8/14
Red Wings,Sabres,home,F,Dylan Larkin C,21:40,0,0,0,5,0,2,0,1,20/25
Red Wings,Sabres,home,F,Michael Rasmussen C,11:40,1,0,-1,3,2,0,0,2,0/0
Red Wings,Sabres,home,F,Lucas Raymond L,20:14,1,1,1,2,0,0,0,0,0/0
Red Wings,Sabres,home,F,Vladimir Tarasenko R,13:19,0,0,0,0,0,0,0,1,0/0
Red Wings,Sabres,home,F,Joe Veleno C,10:46,0,0,-2,1,1,0,1,1,0/0
Red Wings,Sabres,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Sabres,home,F,Ben Chiarot D,18:36,0,0,0,2,3,0,0,2,0/0
Red Wings,Sabres,home,F,Simon Edvinsson D,22:49,0,1,1,0,4,0,0,3,0/0
Red Wings,Sabres,home,F,Erik Gustafsson D,15:18,0,0,-1,1,1,0,0,2,0/0
Red Wings,Sabres,home,F,Justin Holl D,13:23,0,0,-1,0,1,0,0,3,0/0
Red Wings,Sabres,home,F,Jeff Petry D,19:43,0,0,0,0,2,0,0,1,0/0
Red Wings,Sabres,home,F,Moritz Seider D,24:35,0,2,0,3,1,0,0,3,0/0
Red Wings,Sabres,home,F,Jonatan Berggren R,13:06,0,0,0,2,0,2,0,0,1/1
Red Wings,Sabres,home,F,J.T. Compher L,13:59,0,0,-1,2,2,2,0,2,9/15
Red Wings,Sabres,home,F,Andrew Copp C,11:12,0,0,-1,0,0,0,0,0,10/17
Red Wings,Sabres,home,F,Alex DeBrincat R,19:41,1,0,0,4,0,0,0,1,1/1
Red Wings,Sabres,home,F,Christian Fischer R,11:56,0,0,-1,0,0,0,1,3,0/0
Red Wings,Sabres,home,F,Patrick Kane R,17:12,0,0,-2,0,0,0,0,1,0/0
Red Wings,Sabres,home,F,Marco Kasper C,14:45,0,0,1,0,0,2,2,1,8/14
Red Wings,Sabres,home,F,Dylan Larkin C,21:40,0,0,0,5,0,2,0,1,20/25
Red Wings,Sabres,home,F,Michael Rasmussen C,11:40,1,0,-1,3,2,0,0,2,0/0
Red Wings,Sabres,home,F,Lucas Raymond L,20:14,1,1,1,2,0,0,0,0,0/0
Red Wings,Sabres,home,F,Vladimir Tarasenko R,13:19,0,0,0,0,0,0,0,1,0/0
Red Wings,Sabres,home,F,Joe Veleno C,10:46,0,0,-2,1,1,0,1,1,0/0
Red Wings,Sabres,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Sabres,home,F,Ben Chiarot D,18:36,0,0,0,2,3,0,0,2,0/0
Red Wings,Sabres,home,F,Simon Edvinsson D,22:49,0,1,1,0,4,0,0,3,0/0
Red Wings,Sabres,home,F,Erik Gustafsson D,15:18,0,0,-1,1,1,0,0,2,0/0
Red Wings,Sabres,home,F,Justin Holl D,13:23,0,0,-1,0,1,0,0,3,0/0
Red Wings,Sabres,home,F,Jeff Petry D,19:43,0,0,0,0,2,0,0,1,0/0
Red Wings,Sabres,home,F,Moritz Seider D,24:35,0,2,0,3,1,0,0,3,0/0
