team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Oilers,away,D,Ben Chiarot D,18:28,0,0,1,1,0,0,0,3,0/0
Red Wings,Oilers,away,D,Simon Edvinsson D,24:40,0,0,-1,3,2,0,1,1,0/0
Red Wings,Oilers,away,D,Albert Johansson D,15:06,0,0,-1,0,2,0,0,0,0/0
Red Wings,Oilers,away,D,Olli Maatta D,17:32,0,0,-1,2,1,0,0,1,0/0
Red Wings,Oilers,away,D,Jeff Petry D,18:06,0,1,2,0,4,0,0,0,0/0
Red Wings,Oilers,away,D,Moritz Seider D,24:56,0,0,-2,1,3,0,0,0,0/0
Red Wings,Oilers,away,D,Ben Chiarot D,18:28,0,0,1,1,0,0,0,3,0/0
Red Wings,Oilers,away,D,Simon Edvinsson D,24:40,0,0,-1,3,2,0,1,1,0/0
Red Wings,Oilers,away,D,Albert Johansson D,15:06,0,0,-1,0,2,0,0,0,0/0
Red Wings,Oilers,away,D,Olli Maatta D,17:32,0,0,-1,2,1,0,0,1,0/0
Red Wings,Oilers,away,D,Jeff Petry D,18:06,0,1,2,0,4,0,0,0,0/0
Red Wings,Oilers,away,D,Moritz Seider D,24:56,0,0,-2,1,3,0,0,0,0/0
Red Wings,Oilers,away,F,Jonatan Berggren R,14:06,0,0,-2,4,0,0,0,0,0/2
Red Wings,Oilers,away,F,J.T. Compher L,18:08,1,0,1,1,2,0,0,1,4/13
Red Wings,Oilers,away,F,Andrew Copp C,16:44,1,1,1,2,1,2,0,0,8/9
Red Wings,Oilers,away,F,Alex DeBrincat R,16:59,0,0,0,2,1,0,0,0,0/0
Red Wings,Oilers,away,F,Christian Fischer R,12:49,0,0,0,2,1,0,0,0,1/1
Red Wings,Oilers,away,F,Patrick Kane R,15:23,0,2,2,1,0,0,0,1,0/0
Red Wings,Oilers,away,F,Marco Kasper C,13:56,0,0,-1,2,1,0,0,0,7/10
Red Wings,Oilers,away,F,Dylan Larkin C,18:39,0,0,-1,4,0,2,0,0,8/13
Red Wings,Oilers,away,F,Michael Rasmussen C,11:32,0,0,0,0,0,0,0,0,0/0
Red Wings,Oilers,away,F,Lucas Raymond L,16:13,0,0,0,0,1,0,0,3,0/0
Red Wings,Oilers,away,F,Vladimir Tarasenko R,12:34,0,0,-2,0,1,0,0,1,0/0
Red Wings,Oilers,away,F,Joe Veleno C,11:21,0,0,0,1,0,5,0,0,7/10
Red Wings,Oilers,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Oilers,away,F,Ben Chiarot D,18:28,0,0,1,1,0,0,0,3,0/0
Red Wings,Oilers,away,F,Simon Edvinsson D,24:40,0,0,-1,3,2,0,1,1,0/0
Red Wings,Oilers,away,F,Albert Johansson D,15:06,0,0,-1,0,2,0,0,0,0/0
Red Wings,Oilers,away,F,Olli Maatta D,17:32,0,0,-1,2,1,0,0,1,0/0
Red Wings,Oilers,away,F,Jeff Petry D,18:06,0,1,2,0,4,0,0,0,0/0
Red Wings,Oilers,away,F,Moritz Seider D,24:56,0,0,-2,1,3,0,0,0,0/0
Red Wings,Oilers,away,F,Jonatan Berggren R,14:06,0,0,-2,4,0,0,0,0,0/2
Red Wings,Oilers,away,F,J.T. Compher L,18:08,1,0,1,1,2,0,0,1,4/13
Red Wings,Oilers,away,F,Andrew Copp C,16:44,1,1,1,2,1,2,0,0,8/9
Red Wings,Oilers,away,F,Alex DeBrincat R,16:59,0,0,0,2,1,0,0,0,0/0
Red Wings,Oilers,away,F,Christian Fischer R,12:49,0,0,0,2,1,0,0,0,1/1
Red Wings,Oilers,away,F,Patrick Kane R,15:23,0,2,2,1,0,0,0,1,0/0
Red Wings,Oilers,away,F,Marco Kasper C,13:56,0,0,-1,2,1,0,0,0,7/10
Red Wings,Oilers,away,F,Dylan Larkin C,18:39,0,0,-1,4,0,2,0,0,8/13
Red Wings,Oilers,away,F,Michael Rasmussen C,11:32,0,0,0,0,0,0,0,0,0/0
Red Wings,Oilers,away,F,Lucas Raymond L,16:13,0,0,0,0,1,0,0,3,0/0
Red Wings,Oilers,away,F,Vladimir Tarasenko R,12:34,0,0,-2,0,1,0,0,1,0/0
Red Wings,Oilers,away,F,Joe Veleno C,11:21,0,0,0,1,0,5,0,0,7/10
Red Wings,Oilers,away,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Oilers,away,F,Ben Chiarot D,18:28,0,0,1,1,0,0,0,3,0/0
Red Wings,Oilers,away,F,Simon Edvinsson D,24:40,0,0,-1,3,2,0,1,1,0/0
Red Wings,Oilers,away,F,Albert Johansson D,15:06,0,0,-1,0,2,0,0,0,0/0
Red Wings,Oilers,away,F,Olli Maatta D,17:32,0,0,-1,2,1,0,0,1,0/0
Red Wings,Oilers,away,F,Jeff Petry D,18:06,0,1,2,0,4,0,0,0,0/0
Red Wings,Oilers,away,F,Moritz Seider D,24:56,0,0,-2,1,3,0,0,0,0/0
