team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Blackhawks,home,D,Ben Chiarot D,19:32,0,0,-1,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,D,Simon Edvinsson D,21:49,0,0,4,2,1,0,0,0,0/0
Red Wings,Blackhawks,home,D,Erik Gustafsson D,15:01,0,0,0,2,1,2,0,1,0/0
Red Wings,Blackhawks,home,D,Albert Johansson D,15:53,0,0,0,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,D,Jeff Petry D,19:07,0,0,-1,0,2,0,1,1,0/0
Red Wings,Blackhawks,home,D,Moritz Seider D,24:37,0,1,4,1,3,0,0,3,0/0
Red Wings,Blackhawks,home,D,Ben Chiarot D,19:32,0,0,-1,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,D,Simon Edvinsson D,21:49,0,0,4,2,1,0,0,0,0/0
Red Wings,Blackhawks,home,D,Erik Gustafsson D,15:01,0,0,0,2,1,2,0,1,0/0
Red Wings,Blackhawks,home,D,Albert Johansson D,15:53,0,0,0,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,D,Jeff Petry D,19:07,0,0,-1,0,2,0,1,1,0/0
Red Wings,Blackhawks,home,D,Moritz Seider D,24:37,0,1,4,1,3,0,0,3,0/0
Red Wings,Blackhawks,home,F,Jonatan Berggren R,13:37,0,0,0,0,1,0,0,0,0/0
Red Wings,Blackhawks,home,F,J.T. Compher L,15:32,0,0,1,1,0,0,0,1,3/7
Red Wings,Blackhawks,home,F,Andrew Copp C,14:37,1,0,1,1,0,0,0,0,2/5
Red Wings,Blackhawks,home,F,Alex DeBrincat R,17:58,1,1,2,2,1,0,1,2,1/1
Red Wings,Blackhawks,home,F,Christian Fischer R,13:22,0,0,0,0,0,0,0,1,1/3
Red Wings,Blackhawks,home,F,Patrick Kane R,19:04,0,0,2,2,0,0,1,2,0/0
Red Wings,Blackhawks,home,F,Marco Kasper C,14:36,0,0,0,2,1,2,1,1,5/8
Red Wings,Blackhawks,home,F,Dylan Larkin C,19:13,1,1,2,4,0,0,0,2,10/18
Red Wings,Blackhawks,home,F,Michael Rasmussen C,12:06,0,1,0,1,0,0,1,0,0/0
Red Wings,Blackhawks,home,F,Lucas Raymond L,17:23,0,1,1,1,1,0,1,0,0/0
Red Wings,Blackhawks,home,F,Vladimir Tarasenko R,12:11,0,0,0,2,1,0,1,1,0/0
Red Wings,Blackhawks,home,F,Joe Veleno C,10:43,1,0,0,2,1,0,0,1,3/11
Red Wings,Blackhawks,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Blackhawks,home,F,Ben Chiarot D,19:32,0,0,-1,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,F,Simon Edvinsson D,21:49,0,0,4,2,1,0,0,0,0/0
Red Wings,Blackhawks,home,F,Erik Gustafsson D,15:01,0,0,0,2,1,2,0,1,0/0
Red Wings,Blackhawks,home,F,Albert Johansson D,15:53,0,0,0,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,F,Jeff Petry D,19:07,0,0,-1,0,2,0,1,1,0/0
Red Wings,Blackhawks,home,F,Moritz Seider D,24:37,0,1,4,1,3,0,0,3,0/0
Red Wings,Blackhawks,home,F,Jonatan Berggren R,13:37,0,0,0,0,1,0,0,0,0/0
Red Wings,Blackhawks,home,F,J.T. Compher L,15:32,0,0,1,1,0,0,0,1,3/7
Red Wings,Blackhawks,home,F,Andrew Copp C,14:37,1,0,1,1,0,0,0,0,2/5
Red Wings,Blackhawks,home,F,Alex DeBrincat R,17:58,1,1,2,2,1,0,1,2,1/1
Red Wings,Blackhawks,home,F,Christian Fischer R,13:22,0,0,0,0,0,0,0,1,1/3
Red Wings,Blackhawks,home,F,Patrick Kane R,19:04,0,0,2,2,0,0,1,2,0/0
Red Wings,Blackhawks,home,F,Marco Kasper C,14:36,0,0,0,2,1,2,1,1,5/8
Red Wings,Blackhawks,home,F,Dylan Larkin C,19:13,1,1,2,4,0,0,0,2,10/18
Red Wings,Blackhawks,home,F,Michael Rasmussen C,12:06,0,1,0,1,0,0,1,0,0/0
Red Wings,Blackhawks,home,F,Lucas Raymond L,17:23,0,1,1,1,1,0,1,0,0/0
Red Wings,Blackhawks,home,F,Vladimir Tarasenko R,12:11,0,0,0,2,1,0,1,1,0/0
Red Wings,Blackhawks,home,F,Joe Veleno C,10:43,1,0,0,2,1,0,0,1,3/11
Red Wings,Blackhawks,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Blackhawks,home,F,Ben Chiarot D,19:32,0,0,-1,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,F,Simon Edvinsson D,21:49,0,0,4,2,1,0,0,0,0/0
Red Wings,Blackhawks,home,F,Erik Gustafsson D,15:01,0,0,0,2,1,2,0,1,0/0
Red Wings,Blackhawks,home,F,Albert Johansson D,15:53,0,0,0,1,1,0,0,1,0/0
Red Wings,Blackhawks,home,F,Jeff Petry D,19:07,0,0,-1,0,2,0,1,1,0/0
Red Wings,Blackhawks,home,F,Moritz Seider D,24:37,0,1,4,1,3,0,0,3,0/0
