team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Red Wings,Kings,home,D,Ben Chiarot D,22:40,0,0,-1,1,3,0,0,1,0/0
Red Wings,Kings,home,D,Erik Gustafsson D,19:36,0,0,-1,2,1,0,0,3,0/0
Red Wings,Kings,home,D,Justin Holl D,14:18,0,0,-1,0,1,0,0,2,0/0
Red Wings,Kings,home,D,Albert Johansson D,13:57,0,0,-1,1,2,0,0,2,0/0
Red Wings,Kings,home,D,Jeff Petry D,22:09,0,0,-1,0,2,0,0,1,0/0
Red Wings,Kings,home,D,Moritz Seider D,25:29,0,0,-1,2,0,0,0,1,0/0
Red Wings,Kings,home,D,Ben Chiarot D,22:40,0,0,-1,1,3,0,0,1,0/0
Red Wings,Kings,home,D,Erik Gustafsson D,19:36,0,0,-1,2,1,0,0,3,0/0
Red Wings,Kings,home,D,Justin Holl D,14:18,0,0,-1,0,1,0,0,2,0/0
Red Wings,Kings,home,D,Albert Johansson D,13:57,0,0,-1,1,2,0,0,2,0/0
Red Wings,Kings,home,D,Jeff Petry D,22:09,0,0,-1,0,2,0,0,1,0/0
Red Wings,Kings,home,D,Moritz Seider D,25:29,0,0,-1,2,0,0,0,1,0/0
Red Wings,Kings,home,F,Jonatan Berggren R,14:10,0,0,-1,0,0,0,1,1,0/0
Red Wings,Kings,home,F,J.T. Compher L,14:34,0,0,0,0,1,2,0,0,5/8
Red Wings,Kings,home,F,Andrew Copp C,15:21,0,0,0,0,0,0,0,2,4/10
Red Wings,Kings,home,F,Alex DeBrincat R,16:45,0,1,-2,2,0,0,1,3,0/1
Red Wings,Kings,home,F,Christian Fischer R,13:26,0,0,0,0,1,0,0,0,0/0
Red Wings,Kings,home,F,Patrick Kane R,17:56,0,0,0,0,0,0,0,4,0/0
Red Wings,Kings,home,F,Marco Kasper C,14:52,0,0,-1,1,0,0,1,1,7/18
Red Wings,Kings,home,F,Dylan Larkin C,16:45,1,0,-2,2,0,0,1,2,9/20
Red Wings,Kings,home,F,Tyler Motte C,13:02,0,0,0,1,1,0,0,0,0/0
Red Wings,Kings,home,F,Lucas Raymond L,16:10,0,0,-2,4,0,0,0,1,0/0
Red Wings,Kings,home,F,Vladimir Tarasenko R,14:14,0,1,-1,2,0,0,0,0,0/0
Red Wings,Kings,home,F,Joe Veleno C,13:59,0,0,0,0,0,0,0,0,5/11
Red Wings,Kings,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Kings,home,F,Ben Chiarot D,22:40,0,0,-1,1,3,0,0,1,0/0
Red Wings,Kings,home,F,Erik Gustafsson D,19:36,0,0,-1,2,1,0,0,3,0/0
Red Wings,Kings,home,F,Justin Holl D,14:18,0,0,-1,0,1,0,0,2,0/0
Red Wings,Kings,home,F,Albert Johansson D,13:57,0,0,-1,1,2,0,0,2,0/0
Red Wings,Kings,home,F,Jeff Petry D,22:09,0,0,-1,0,2,0,0,1,0/0
Red Wings,Kings,home,F,Moritz Seider D,25:29,0,0,-1,2,0,0,0,1,0/0
Red Wings,Kings,home,F,Jonatan Berggren R,14:10,0,0,-1,0,0,0,1,1,0/0
Red Wings,Kings,home,F,J.T. Compher L,14:34,0,0,0,0,1,2,0,0,5/8
Red Wings,Kings,home,F,Andrew Copp C,15:21,0,0,0,0,0,0,0,2,4/10
Red Wings,Kings,home,F,Alex DeBrincat R,16:45,0,1,-2,2,0,0,1,3,0/1
Red Wings,Kings,home,F,Christian Fischer R,13:26,0,0,0,0,1,0,0,0,0/0
Red Wings,Kings,home,F,Patrick Kane R,17:56,0,0,0,0,0,0,0,4,0/0
Red Wings,Kings,home,F,Marco Kasper C,14:52,0,0,-1,1,0,0,1,1,7/18
Red Wings,Kings,home,F,Dylan Larkin C,16:45,1,0,-2,2,0,0,1,2,9/20
Red Wings,Kings,home,F,Tyler Motte C,13:02,0,0,0,1,1,0,0,0,0/0
Red Wings,Kings,home,F,Lucas Raymond L,16:10,0,0,-2,4,0,0,0,1,0/0
Red Wings,Kings,home,F,Vladimir Tarasenko R,14:14,0,1,-1,2,0,0,0,0,0/0
Red Wings,Kings,home,F,Joe Veleno C,13:59,0,0,0,0,0,0,0,0,5/11
Red Wings,Kings,home,F,Red Wings Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBen
Red Wings,Kings,home,F,Ben Chiarot D,22:40,0,0,-1,1,3,0,0,1,0/0
Red Wings,Kings,home,F,Erik Gustafsson D,19:36,0,0,-1,2,1,0,0,3,0/0
Red Wings,Kings,home,F,Justin Holl D,14:18,0,0,-1,0,1,0,0,2,0/0
Red Wings,Kings,home,F,Albert Johansson D,13:57,0,0,-1,1,2,0,0,2,0/0
Red Wings,Kings,home,F,Jeff Petry D,22:09,0,0,-1,0,2,0,0,1,0/0
Red Wings,Kings,home,F,Moritz Seider D,25:29,0,0,-1,2,0,0,0,1,0/0
