team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Panthers,away,D,Bowen Byram D,17:32,0,0,-1,1,0,0,0,1,0/0
Sabres,Panthers,away,D,Connor Clifton D,17:26,0,1,2,3,2,0,0,4,0/0
Sabres,Panthers,away,D,Rasmus Dahlin D,23:45,0,1,3,0,3,0,1,2,0/0
Sabres,Panthers,away,D,Dennis Gilbert D,04:49,0,0,0,0,1,0,0,2,0/0
Sabres,Panthers,away,D,Henri Jokiharju D,14:35,1,0,2,1,1,0,0,0,0/0
Sabres,Panthers,away,D,Owen Power D,23:14,0,0,1,0,0,0,0,3,0/0
Sabres,Panthers,away,D,Mattias Samuelsson D,17:24,1,0,1,4,0,0,0,0,0/0
Sabres,Panthers,away,D,Bowen Byram D,17:32,0,0,-1,1,0,0,0,1,0/0
Sabres,Panthers,away,D,Connor Clifton D,17:26,0,1,2,3,2,0,0,4,0/0
Sabres,Panthers,away,D,Rasmus Dahlin D,23:45,0,1,3,0,3,0,1,2,0/0
Sabres,Panthers,away,D,Dennis Gilbert D,04:49,0,0,0,0,1,0,0,2,0/0
Sabres,Panthers,away,D,Henri Jokiharju D,14:35,1,0,2,1,1,0,0,0,0/0
Sabres,Panthers,away,D,Owen Power D,23:14,0,0,1,0,0,0,0,3,0/0
Sabres,Panthers,away,D,Mattias Samuelsson D,17:24,1,0,1,4,0,0,0,0,0/0
Sabres,Panthers,away,F,Zach Benson L,10:03,0,0,0,1,0,0,0,0,0/0
Sabres,Panthers,away,F,Dylan Cozens C,21:54,0,0,1,2,1,0,1,0,8/20
Sabres,Panthers,away,F,Jordan Greenway L,17:05,1,0,3,2,3,4,0,0,0/0
Sabres,Panthers,away,F,Peyton Krebs C,14:20,0,1,1,1,0,0,0,0,3/6
Sabres,Panthers,away,F,Jiri Kulich C,17:39,0,0,1,2,3,0,1,0,2/5
Sabres,Panthers,away,F,Beck Malenstyn L,01:52,0,0,0,0,0,0,0,0,0/0
Sabres,Panthers,away,F,Ryan McLeod C,17:50,0,1,2,1,1,0,0,1,10/16
Sabres,Panthers,away,F,Jack Quinn R,16:36,0,1,1,3,0,0,1,1,0/1
Sabres,Panthers,away,F,Tage Thompson C,20:56,1,0,1,3,0,0,0,0,8/13
Sabres,Panthers,away,F,Alex Tuch R,20:35,1,1,1,3,2,0,3,0,1/1
Sabres,Panthers,away,F,Jason Zucker L,17:58,0,1,1,0,1,2,0,0,0/0
Sabres,Panthers,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Panthers,away,F,Bowen Byram D,17:32,0,0,-1,1,0,0,0,1,0/0
Sabres,Panthers,away,F,Connor Clifton D,17:26,0,1,2,3,2,0,0,4,0/0
Sabres,Panthers,away,F,Rasmus Dahlin D,23:45,0,1,3,0,3,0,1,2,0/0
Sabres,Panthers,away,F,Dennis Gilbert D,04:49,0,0,0,0,1,0,0,2,0/0
Sabres,Panthers,away,F,Henri Jokiharju D,14:35,1,0,2,1,1,0,0,0,0/0
Sabres,Panthers,away,F,Owen Power D,23:14,0,0,1,0,0,0,0,3,0/0
Sabres,Panthers,away,F,Mattias Samuelsson D,17:24,1,0,1,4,0,0,0,0,0/0
Sabres,Panthers,away,F,Zach Benson L,10:03,0,0,0,1,0,0,0,0,0/0
Sabres,Panthers,away,F,Dylan Cozens C,21:54,0,0,1,2,1,0,1,0,8/20
Sabres,Panthers,away,F,Jordan Greenway L,17:05,1,0,3,2,3,4,0,0,0/0
Sabres,Panthers,away,F,Peyton Krebs C,14:20,0,1,1,1,0,0,0,0,3/6
Sabres,Panthers,away,F,Jiri Kulich C,17:39,0,0,1,2,3,0,1,0,2/5
Sabres,Panthers,away,F,Beck Malenstyn L,01:52,0,0,0,0,0,0,0,0,0/0
Sabres,Panthers,away,F,Ryan McLeod C,17:50,0,1,2,1,1,0,0,1,10/16
Sabres,Panthers,away,F,Jack Quinn R,16:36,0,1,1,3,0,0,1,1,0/1
Sabres,Panthers,away,F,Tage Thompson C,20:56,1,0,1,3,0,0,0,0,8/13
Sabres,Panthers,away,F,Alex Tuch R,20:35,1,1,1,3,2,0,3,0,1/1
Sabres,Panthers,away,F,Jason Zucker L,17:58,0,1,1,0,1,2,0,0,0/0
Sabres,Panthers,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Panthers,away,F,Bowen Byram D,17:32,0,0,-1,1,0,0,0,1,0/0
Sabres,Panthers,away,F,Connor Clifton D,17:26,0,1,2,3,2,0,0,4,0/0
Sabres,Panthers,away,F,Rasmus Dahlin D,23:45,0,1,3,0,3,0,1,2,0/0
Sabres,Panthers,away,F,Dennis Gilbert D,04:49,0,0,0,0,1,0,0,2,0/0
Sabres,Panthers,away,F,Henri Jokiharju D,14:35,1,0,2,1,1,0,0,0,0/0
Sabres,Panthers,away,F,Owen Power D,23:14,0,0,1,0,0,0,0,3,0/0
Sabres,Panthers,away,F,Mattias Samuelsson D,17:24,1,0,1,4,0,0,0,0,0/0
