team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Blackhawks,home,D,Bowen Byram D,20:27,0,0,1,1,3,0,0,1,0/0
Sabres,Blackhawks,home,D,Connor Clifton D,15:37,0,1,0,1,1,0,2,0,0/0
Sabres,Blackhawks,home,D,Rasmus Dahlin D,23:51,0,0,1,0,1,0,0,1,0/0
Sabres,Blackhawks,home,D,Henri Jokiharju D,17:42,0,0,0,0,0,0,0,1,0/0
Sabres,Blackhawks,home,D,Owen Power D,20:10,0,1,1,0,1,0,0,0,0/0
Sabres,Blackhawks,home,D,Mattias Samuelsson D,15:48,0,0,1,0,1,0,0,2,0/0
Sabres,Blackhawks,home,D,Bowen Byram D,20:27,0,0,1,1,3,0,0,1,0/0
Sabres,Blackhawks,home,D,Connor Clifton D,15:37,0,1,0,1,1,0,2,0,0/0
Sabres,Blackhawks,home,D,Rasmus Dahlin D,23:51,0,0,1,0,1,0,0,1,0/0
Sabres,Blackhawks,home,D,Henri Jokiharju D,17:42,0,0,0,0,0,0,0,1,0/0
Sabres,Blackhawks,home,D,Owen Power D,20:10,0,1,1,0,1,0,0,0,0/0
Sabres,Blackhawks,home,D,Mattias Samuelsson D,15:48,0,0,1,0,1,0,0,2,0/0
Sabres,Blackhawks,home,F,Zach Benson L,13:17,0,0,-1,0,1,0,1,0,0/0
Sabres,Blackhawks,home,F,Dylan Cozens C,17:27,0,1,1,1,0,0,0,0,3/12
Sabres,Blackhawks,home,F,Peyton Krebs C,10:51,0,1,0,1,0,2,0,0,8/14
Sabres,Blackhawks,home,F,Jiri Kulich C,15:19,0,0,0,5,0,0,0,1,0/0
Sabres,Blackhawks,home,F,Sam Lafferty C,12:10,0,0,0,2,2,0,0,0,0/0
Sabres,Blackhawks,home,F,Beck Malenstyn L,11:16,1,0,0,2,1,2,0,0,0/0
Sabres,Blackhawks,home,F,Ryan McLeod C,14:15,1,0,0,1,0,0,0,1,7/11
Sabres,Blackhawks,home,F,JJ Peterka R,20:43,1,1,2,1,0,2,0,0,0/0
Sabres,Blackhawks,home,F,Jack Quinn R,15:16,0,0,0,1,1,0,0,1,0/0
Sabres,Blackhawks,home,F,Tage Thompson C,19:18,1,1,2,2,1,0,0,1,5/12
Sabres,Blackhawks,home,F,Alex Tuch R,18:57,0,1,3,3,1,0,1,0,2/4
Sabres,Blackhawks,home,F,Jason Zucker L,15:36,0,0,-1,1,0,0,0,1,0/1
Sabres,Blackhawks,home,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Blackhawks,home,F,Bowen Byram D,20:27,0,0,1,1,3,0,0,1,0/0
Sabres,Blackhawks,home,F,Connor Clifton D,15:37,0,1,0,1,1,0,2,0,0/0
Sabres,Blackhawks,home,F,Rasmus Dahlin D,23:51,0,0,1,0,1,0,0,1,0/0
Sabres,Blackhawks,home,F,Henri Jokiharju D,17:42,0,0,0,0,0,0,0,1,0/0
Sabres,Blackhawks,home,F,Owen Power D,20:10,0,1,1,0,1,0,0,0,0/0
Sabres,Blackhawks,home,F,Mattias Samuelsson D,15:48,0,0,1,0,1,0,0,2,0/0
Sabres,Blackhawks,home,F,Zach Benson L,13:17,0,0,-1,0,1,0,1,0,0/0
Sabres,Blackhawks,home,F,Dylan Cozens C,17:27,0,1,1,1,0,0,0,0,3/12
Sabres,Blackhawks,home,F,Peyton Krebs C,10:51,0,1,0,1,0,2,0,0,8/14
Sabres,Blackhawks,home,F,Jiri Kulich C,15:19,0,0,0,5,0,0,0,1,0/0
Sabres,Blackhawks,home,F,Sam Lafferty C,12:10,0,0,0,2,2,0,0,0,0/0
Sabres,Blackhawks,home,F,Beck Malenstyn L,11:16,1,0,0,2,1,2,0,0,0/0
Sabres,Blackhawks,home,F,Ryan McLeod C,14:15,1,0,0,1,0,0,0,1,7/11
Sabres,Blackhawks,home,F,JJ Peterka R,20:43,1,1,2,1,0,2,0,0,0/0
Sabres,Blackhawks,home,F,Jack Quinn R,15:16,0,0,0,1,1,0,0,1,0/0
Sabres,Blackhawks,home,F,Tage Thompson C,19:18,1,1,2,2,1,0,0,1,5/12
Sabres,Blackhawks,home,F,Alex Tuch R,18:57,0,1,3,3,1,0,1,0,2/4
Sabres,Blackhawks,home,F,Jason Zucker L,15:36,0,0,-1,1,0,0,0,1,0/1
Sabres,Blackhawks,home,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Blackhawks,home,F,Bowen Byram D,20:27,0,0,1,1,3,0,0,1,0/0
Sabres,Blackhawks,home,F,Connor Clifton D,15:37,0,1,0,1,1,0,2,0,0/0
Sabres,Blackhawks,home,F,Rasmus Dahlin D,23:51,0,0,1,0,1,0,0,1,0/0
Sabres,Blackhawks,home,F,Henri Jokiharju D,17:42,0,0,0,0,0,0,0,1,0/0
Sabres,Blackhawks,home,F,Owen Power D,20:10,0,1,1,0,1,0,0,0,0/0
Sabres,Blackhawks,home,F,Mattias Samuelsson D,15:48,0,0,1,0,1,0,0,2,0/0
