team,opponent,location,position,name,toi,goals,assists,plus_minus,shots,blocks,pim,takeaways,giveaways,faceoffs
Sabres,Stars,away,D,Bowen Byram D,18:55,0,0,1,1,0,0,0,1,0/0
Sabres,Stars,away,D,Connor Clifton D,15:42,0,0,1,0,5,2,4,2,0/0
Sabres,Stars,away,D,Rasmus Dahlin D,23:39,0,0,1,5,2,2,0,3,0/0
Sabres,Stars,away,D,Henri Jokiharju D,19:42,0,0,0,1,2,0,0,1,0/0
Sabres,Stars,away,D,Owen Power D,21:16,0,3,1,1,4,0,1,0,0/0
Sabres,Stars,away,D,Mattias Samuelsson D,18:55,0,0,0,0,2,0,1,0,0/0
Sabres,Stars,away,D,Bowen Byram D,18:55,0,0,1,1,0,0,0,1,0/0
Sabres,Stars,away,D,Connor Clifton D,15:42,0,0,1,0,5,2,4,2,0/0
Sabres,Stars,away,D,Rasmus Dahlin D,23:39,0,0,1,5,2,2,0,3,0/0
Sabres,Stars,away,D,Henri Jokiharju D,19:42,0,0,0,1,2,0,0,1,0/0
Sabres,Stars,away,D,Owen Power D,21:16,0,3,1,1,4,0,1,0,0/0
Sabres,Stars,away,D,Mattias Samuelsson D,18:55,0,0,0,0,2,0,1,0,0/0
Sabres,Stars,away,F,Dylan Cozens C,17:15,0,0,0,4,0,0,0,1,4/13
Sabres,Stars,away,F,Jordan Greenway L,19:27,0,0,1,1,6,0,1,0,0/0
Sabres,Stars,away,F,Peyton Krebs C,10:06,1,0,0,1,0,2,0,0,6/7
Sabres,Stars,away,F,Jiri Kulich C,13:42,0,0,0,0,0,0,1,0,0/0
Sabres,Stars,away,F,Sam Lafferty C,07:21,0,0,0,0,1,0,1,1,1/1
Sabres,Stars,away,F,Beck Malenstyn L,08:18,0,1,1,1,1,0,0,1,1/1
Sabres,Stars,away,F,Ryan McLeod C,18:35,1,0,0,1,2,0,0,0,3/14
Sabres,Stars,away,F,JJ Peterka R,16:06,0,0,1,1,0,0,0,3,0/0
Sabres,Stars,away,F,Jack Quinn R,13:33,0,0,0,0,1,0,0,1,0/0
Sabres,Stars,away,F,Tage Thompson C,16:48,1,1,1,3,0,0,0,1,3/10
Sabres,Stars,away,F,Alex Tuch R,18:08,1,1,2,3,2,0,1,1,1/3
Sabres,Stars,away,F,Jason Zucker L,16:32,0,1,0,2,0,0,0,0,0/0
Sabres,Stars,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Stars,away,F,Bowen Byram D,18:55,0,0,1,1,0,0,0,1,0/0
Sabres,Stars,away,F,Connor Clifton D,15:42,0,0,1,0,5,2,4,2,0/0
Sabres,Stars,away,F,Rasmus Dahlin D,23:39,0,0,1,5,2,2,0,3,0/0
Sabres,Stars,away,F,Henri Jokiharju D,19:42,0,0,0,1,2,0,0,1,0/0
Sabres,Stars,away,F,Owen Power D,21:16,0,3,1,1,4,0,1,0,0/0
Sabres,Stars,away,F,Mattias Samuelsson D,18:55,0,0,0,0,2,0,1,0,0/0
Sabres,Stars,away,F,Dylan Cozens C,17:15,0,0,0,4,0,0,0,1,4/13
Sabres,Stars,away,F,Jordan Greenway L,19:27,0,0,1,1,6,0,1,0,0/0
Sabres,Stars,away,F,Peyton Krebs C,10:06,1,0,0,1,0,2,0,0,6/7
Sabres,Stars,away,F,Jiri Kulich C,13:42,0,0,0,0,0,0,1,0,0/0
Sabres,Stars,away,F,Sam Lafferty C,07:21,0,0,0,0,1,0,1,1,1/1
Sabres,Stars,away,F,Beck Malenstyn L,08:18,0,1,1,1,1,0,0,1,1/1
Sabres,Stars,away,F,Ryan McLeod C,18:35,1,0,0,1,2,0,0,0,3/14
Sabres,Stars,away,F,JJ Peterka R,16:06,0,0,1,1,0,0,0,3,0/0
Sabres,Stars,away,F,Jack Quinn R,13:33,0,0,0,0,1,0,0,1,0/0
Sabres,Stars,away,F,Tage Thompson C,16:48,1,1,1,3,0,0,0,1,3/10
Sabres,Stars,away,F,Alex Tuch R,18:08,1,1,2,3,2,0,1,1,1/3
Sabres,Stars,away,F,Jason Zucker L,16:32,0,1,0,2,0,0,0,0,0/0
Sabres,Stars,away,F,Sabres Defenseman:,TOI,G,A,+/-,S,B,PM,TK,GV,FOBowen
Sabres,Stars,away,F,Bowen Byram D,18:55,0,0,1,1,0,0,0,1,0/0
Sabres,Stars,away,F,Connor Clifton D,15:42,0,0,1,0,5,2,4,2,0/0
Sabres,Stars,away,F,Rasmus Dahlin D,23:39,0,0,1,5,2,2,0,3,0/0
Sabres,Stars,away,F,Henri Jokiharju D,19:42,0,0,0,1,2,0,0,1,0/0
Sabres,Stars,away,F,Owen Power D,21:16,0,3,1,1,4,0,1,0,0/0
Sabres,Stars,away,F,Mattias Samuelsson D,18:55,0,0,0,0,2,0,1,0,0/0
